name_modification_flags,ID,best_name,best_name_prob,best_common,best_common_prob,best_full,best_full_prob,article_count,extracted_url,extracted_url_status,extracted_url_country,extracted_url_coordinates,wayback_url,publication_date,affiliation,authors,grant_ids,grant_agencies,num_citations,affiliation_countries,best_name_original,url_validation,paper_titles,source_batch,qc_manual_review,qc_fix_applied,qc_confidence,qc_issue_category
TITLE_CAPITALIZED,30670918,HEATSTER,0.99859446,heatster,0.99859446,,0.99859446,1,http://applbio.biologie.uni-frankfurt.de/hsf/heatster/,200,Germany,"(50.1155,8.6842)",,2019-01-07,"Department of Biosciences, Molecular Cell Biology of Plants, Goethe University, Frankfurt am Main, Germany.","Berz J, Ebersberger I, Scharf KD, Schleiff E, Schuster S, Simm S",,,21.0,Germany,heatster,ok,HEATSTER: A Database and Web Server for Identification and Classification of Heat Stress Transcription Factors in Plants.,2010-2022,,,,
TITLE_CAPITALIZED,27219127,MIMIC-III,0.9985596,mimic-iii,0.9985596,,0.9985596,1,http://mimic.physionet.org,200,United States,"(42.3584,-71.0598)",,2016-05-24,"Laboratory for Computational Physiology, MIT Institute for Medical Engineering and Science, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139, USA.","Celi LA, Feng M, Ghassemi M, Johnson AE, Lehman LW, Mark RG, Moody B, Pollard TJ, Shen L, Szolovits P","R01 EB001659, R01 EB017205, R01 GM104987, R01-EB001659, R01-EB017205, R01-GM104987","NIBIB NIH HHS, NIGMS NIH HHS",2993.0,"Andorra, United States",mimic-iii,ok,"MIMIC-III, a freely accessible critical care database.",2010-2022,,,,
TITLE_CAPITALIZED,31611808,Myo-REG,0.9985554,,0.9985554,myo-reg,0.9985554,1,https://myoreg.uniroma2.it/,200,Italy,"(41.8919,12.5113)",,2019-09-27,"Department of Biology, University of Rome Tor Vergata, Rome, Italy.","Castagnoli L, Cerquone Perpetuini A, Cesareni G, Ferrentino F, Fuoco C, Gargioli C, Giuliani G, Iannuccelli M, Licata L, Micarelli E, Palma A, Paoluzi S, Perfetto L, Petrilli LL, Reggio A, Rosina M, Sacco F, Vumbaca S, Zuccotti A",322749,"Associazione Italiana per la Ricerca sul Cancro, European Research Council",8.0,Italy,myo-reg,ok,Myo-REG: A Portal for Signaling Interactions in Muscle Regeneration.,2010-2022,,,,
TITLE_CAPITALIZED,29209195,PRED+CT,0.9984398,pred+ct,0.9984398,,0.9984398,1,http://archive.ics.uci.edu/ml/datasets/EEG+Database,200,United States,"(33.6695,-117.8231)",,2017-11-21,"Department of Psychology, University of New Mexico, Albuquerque, NM, United States.","Cavanagh JF, Mueen A, Napolitano A, Wu C","1P20GM109089-01A1, P20 GM109089","NIGMS NIH HHS, National Institutes of Health",33.0,"Mexico, United States",pred+ct,ok,The Patient Repository for EEG Data + Computational Tools (PRED+CT).,2010-2022,,,,
TITLE_CAPITALIZED,32354365,PRECISE,0.9984063,precise,0.9984063,,0.9984063,1,https://www.ichom.org/portfolio/pregnancy-and-childbirth/,200,United States,"(37.7621,-122.3971)",,2020-04-30,"Department of Women and Children's Health, School of Life Course Sciences, Faculty of Life Sciences and Medicine, King's College London, Becket House, Room BH.05.11, 1 Lambeth Palace Road, London, SE1 7EU, UK. Laura.A.Magee@kcl.ac.uk.","Chin P, Craik R, D'Alessandro U, Daniele M, Etyang AK, Li L, Magee LA, Ogochukwu O, Roca A, Sevene E, Strang A, Tchavana C, Temmerman M, Tu D, Tumtaweetikul W, von Dadelszen P","MR/P012019/1, MR/P027938/1, MR/S019669/1, RP-2014-05-019","Medical Research Council, National Institute for Health Research (NIHR)",8.0,"Andorra, United Kingdom",precise,ok,"The PRECISE (PREgnancy Care Integrating translational Science, Everywhere) database: open-access data collection in maternal and newborn health.",2010-2022,,,,
"CAPITALIZED,TITLE_CAPITALIZED",26038690,UnoViS,0.9983906,unovis,0.9983906,,0.9983906,1,http://www.medit.hia.rwth-aachen.de/UnoViS,200,France,"(48.5839,7.7455)",,2015-06-02,"Chair of Medical Information Technology, RWTH Aachen University, Pauwelsstr. 20, 52074 Aachen, Germany.","Antink CH, Czaplik M, Eilebrecht B, Leonhardt S, Walocha R, Wartzek T",,,11.0,Germany,unovis,ok,UnoViS: the MedIT public unobtrusive vital signs database.,2010-2022,,,,
"CAPITALIZED,TITLE_CAPITALIZED",27633273,ZikaVR,0.9983599,zikavr,0.9983599,,0.9983599,1,http://bioinfo.imtech.res.in/manojk/zikavr/,200,India,"(30.7363,76.7884)",,2016-09-16,"Bioinformatics Centre, Institute of Microbial Technology, Council of Scientific and Industrial Research (CSIR), Sector 39A, Chandigarh, 160036, India.","Bhardwaj A, Dar SA, Dhanda SK, Gupta AK, Kaur G, Kaur K, Khan MS, Kumar M, Monga I, Nagpal G, Qureshi A, Raghava GP, Rajput A, Sehgal M, Sharma S, Singh S, Thakur A, Usmani SS",,,29.0,"Andorra, India",zikavr,ok,"ZikaVR: An Integrated Zika Virus Resource for Genomics, Proteomics, Phylogenetic and Therapeutic Analysis.",2010-2022,,,,
CAPITALIZED,27782103,SYNS,0.99829763,syns,0.99829763,,0.99829763,1,https://syns.soton.ac.uk,200,United Kingdom,"(50.9644,-1.4193)",,2016-10-26,"Centre for Vision and Cognition, Psychology, University of Southampton, UK.","Adams WJ, Elder JH, Graf EW, Leyland J, Lugtigheid AJ, Muryy A","EP/K005952/1, fsf010001","Engineering and Physical Sciences Research Council, Natural Environment Research Council",53.0,"Andorra, United Kingdom",syns,ok,The Southampton-York Natural Scenes (SYNS) dataset: Statistics of surface attitude.,2010-2022,,,,
TITLE_CAPITALIZED,31831740,MIMIC-CXR,0.99828213,mimic-cxr,0.99828213,,0.99828213,1,https://mimic-cxr.mit.edu,200,United States,"(42.3584,-71.0598)",,2019-12-12,"Institute of Medical Engineering & Science, Massachusetts Institute of Technology, Cambridge, MA, USA. aewj@mit.edu.","Berkowitz SJ, Deng CY, Greenbaum NR, Horng S, Johnson AEW, Lungren MP, Mark RG, Pollard TJ","NIH-R01-EB017205, R01 EB017205, R01 GM104987","NIBIB NIH HHS, NIGMS NIH HHS, Philips, U.S. Department of Health &amp; Human Services | National Institutes of Health, U.S. Department of Health &amp; Human Services | National Institutes of Health (NIH)",494.0,United States,mimic-cxr,ok,"MIMIC-CXR, a de-identified publicly available database of chest radiographs with free-text reports.",2010-2022,,,,
TITLE_CAPITALIZED,34028497,NeuroCirc,0.99824953,,0.99824953,neurocirc,0.99824953,1,https://voineagulab.github.io/NeuroCirc/,200,United States,"(37.7621,-122.3971)",,2021-10-01,"Department of Biotechnology and Biomolecular Sciences, University of New South Wales, Sydney, NSW 2052, Australia.","Alinejad-Rokny H, Gokool A, Voineagu I, Walsh K",FT170100359,"ARC Future Fellowship, UNSW Scientia fellowship",6.0,"Andorra, Australia",neurocirc,review,NeuroCirc: an integrative resource of circular RNA expression in the human brain.,2010-2022,,,,
TITLE_CAPITALIZED,25380779,PolyprOnline,0.99824667,,0.99824667,polypronline,0.99824667,1,http://www.dsimb.inserm.fr/dsimb_tools/polyproline,200,France,"(48.8534,2.3488)",,2014-11-07,"Inserm U1134, Paris, France, Université Paris Diderot, Sorbonne Paris Cité, UMR_S 1134, Paris, France, Institut National de la Transfusion Sanguine, Paris, France and Laboratory of Excellence GR-Ex, Paris, France Inserm U1134, Paris, France, Université Paris Diderot, Sorbonne Paris Cité, UMR_S 1134, Paris, France, Institut National de la Transfusion Sanguine, Paris, France and Laboratory of Excellence GR-Ex, Paris, France Inserm U1134, Paris, France, Université Paris Diderot, Sorbonne Paris Cité, UMR_S 1134, Paris, France, Institut National de la Transfusion Sanguine, Paris, France and Laboratory of Excellence GR-Ex, Paris, France.","Chebrek R, Gelly JC, Leonard S, de Brevern AG",,,32.0,"Andorra, France",polypronline,ok,PolyprOnline: polyproline helix II and secondary structure assignment database.,2010-2022,,,,
"CAPITALIZED,TITLE_CAPITALIZED",25233118,BioSWR,0.9982461,bioswr,0.9982461,,0.9982461,1,http://inb.bsc.es/BioSWR/and,200,Spain,"(40.9688,-5.6639)",,2014-09-18,"Barcelona Supercomputing Center, Life-Sciences Department, National Institute of Bioinformatics, Computational Bioinformatics Node, Barcelona, Spain.","Gelpi JL, Repchevsky D",,,1.0,Spain,bioswr,ok,BioSWR--semantic web services registry for bioinformatics.,2010-2022,,,,
TITLE_CAPITALIZED,31243428,MiTPeptideDB,0.9982304,,0.9982304,mitpeptidedb,0.9982304,1,http://bit.ly/MiTPeptideDB,200,United States,"(40.7143,-74.0060)",,2020-01-01,"Bioinformatics Platform, Center for Applied Medical Research, University of Navarra, Pamplona 31008, Spain.","Garin-Muga A, Guruceaga E, Segura V","33/2015, DPI2015-68982-R, PT13/0001/0002, PT17/0019/0013","Departamento de Salud of Gobierno de Navarra, Ministerio de Economía y Competitividad, PRB3-ISCIII, PRBB-ISCIII, ProteoRed-ISCIII platform, The Bioinformatics Platform of CIMA",8.0,Spain,mitpeptidedb,ok,MiTPeptideDB: a proteogenomic resource for the discovery of novel peptides.,2010-2022,,,,
TITLE_CAPITALIZED,31680133,SCNBase,0.9981197,,0.9981197,scnbase,0.9981197,1,https://scnbase.org/,200,United States,"(42.0347,-93.6199)",,2019-01-01,"Genome Informatics Facility, Iowa State University, Osborne Dr, Ames, IA 50011, USA.","Baber L, Baum TJ, Juvale PS, Maier TR, Masonbrink R, Seetharam AS, Severin AJ","ACI-1445606, ACI-1548562","Hatch Act and State of Iowa Funds, National Science Foundation, North Central Soybean Research Program",9.0,United States,scnbase,ok,SCNBase: a genomics portal for the soybean cyst nematode (Heterodera glycines).,2010-2022,,,,
TITLE_CAPITALIZED,31117939,EcRBPome,0.998084,,0.998084,ecrbpome,0.998084,1,http://caps.ncbs.res.in/ecrbpome,200,India,"(12.9719,77.5937)",,2019-05-22,"National Centre for Biological Sciences, Tata Institute of Fundamental Research, Bellary Road, Bangalore, Karnataka, 560 065, India.","Ghosh P, Guita N, Joshi A, Offmann B, Sowdhamini R",SB/S2/JCB-071/2015,"Department of Science and Technology, JC Bose fellowship",2.0,India,ecrbpome,ok,EcRBPome: a comprehensive database of all known E. coli RNA-binding proteins.,2010-2022,,,,
TITLE_CAPITALIZED,34143875,U-Limb,0.99806523,u-limb,0.99806523,,0.99806523,1,https://motion-database.humanoids.kit.edu/,200,Germany,"(49.0094,8.4044)",,2021-06-01,"Research Center ""Enrico Piaggio"" and Dipartimento di Ingegneria dell'Informazione, University of Pisa Largo Lucio Lazzarino 1, 56122 Pisa, Italy.","Averta G, Barontini F, Bianchi M, Bicchi A, Catrambone V, Haddadin S, Handjaras G, Held JPO, Hu T, Jakubowitz E, Kanzler CM, Kühn J, Lambercy O, Leo A, Obermeier A, Ricciardi E, Schwarz A, Valenza G",,Horizon 2020 Framework Programme,15.0,"Andorra, Italy",u-limb,ok,"U-Limb: A multi-modal, multi-center database on arm motion control in healthy and post-stroke conditions.",2010-2022,,,,
TITLE_CAPITALIZED,"26507857, 30395307",BloodSpot,0.99805605,,0.99805605,bloodspot,0.99805605,2,http://www.bloodspot.eu,200,Denmark,"(55.6759,12.5655)",,2015-10-26,"The Finsen Laboratory, Rigshospitalet, Faculty of Health Sciences, University of Copenhagen, Denmark Biotech Research and Innovation Centre (BRIC), University of Copenhagen, Copenhagen, Denmark The Bioinformatics Centre, Department of Biology, Faculty of Natural Sciences, University of Copenhagen, Denmark Danish Stem Cell Centre (DanStem) Faculty of Health Sciences, University of Copenhagen, Denmark.; Centre for Genomic Medicine, Rigshospitalet, University of Copenhagen Copenhagen, DK-2100 Copenhagen, Denmark.","Bagger FO, Kinalis S, Laursen LG, Porse BT, Pundhir S, Rapin N, Sasivarevic D, Sohi SH, Sønderby CK, Winther O","NNF10SA1016550, NNF15CC0027852, Porse group, R182-2014-3881, R193-2015-1611","Lundbeck Foundation, Novo Nordisk Fonden, Novo Nordisk Foundation, Novo Nordisk Foundation Section for Basic Stem Cell Biology",431.0,"Andorra, Denmark",bloodspot,ok,BloodSpot: a database of gene expression profiles and transcriptional programs for healthy and malignant haematopoiesis. | BloodSpot: a database of healthy and malignant haematopoiesis updated with purified and single cell mRNA sequencing profiles.,2010-2022,,,,
TITLE_CAPITALIZED,34309639,MUSTARD,0.9978569,mustard,0.9978569,,0.9978569,1,http://clingen.igib.res.in/mustard/,200,India,"(28.6519,77.2315)",,2021-07-01,"Indraprastha Institute of Information Technology, Okhla Industrial Estate, Phase III, Delhi 110020, India.","Mittal G, Pandhare K, R I A, Scaria V, Vatsyayan A",IndiGen (2019),"Council of Scientific and Industrial Research, India",,India,mustard,ok,MUSTARD-a comprehensive resource of mutation-specific therapies in cancer.,2010-2022,,,,
TITLE_CAPITALIZED,22820202,SpliceSeq,0.9978519,,0.9978519,spliceseq,0.9978519,1,http://bioinformatics.mdanderson.org/main/SpliceSeq:Overview,200,United States,"(29.7633,-95.3633)",,2012-07-20,"In Silico Solutions, Fairfax, VA, USA. mryan@insilico.us.com","Cleland J, Kim R, Ryan MC, Weinstein JN, Wong WC","P30 CA016672, U24CA143883",NCI NIH HHS,167.0,"Comoros, United States",spliceseq,ok,SpliceSeq: a resource for analysis and visualization of RNA-Seq data on alternative splicing and its functional impacts.,2010-2022,,,,
TITLE_CAPITALIZED,30561430,REACHES,0.9977081,reaches,0.9977081,,0.9977081,1,http://reaches.rcec.sinica.edu.tw,200,"Taiwan, Province of China","(25.0531,121.5264)",,2018-12-18,"Research Center for Environmental Changes, Academia Sinica, 128 Academia Road, Section 2, Nankang, Taipei 11529, Taiwan.","Fan IC, Hsu CT, Hsu SM, Lee SY, Liao HM, Liao YC, Lin KE, Lin YS, Tan PH, Ting TT, Wan CW, Wang PK",,,9.0,,reaches,ok,Construction of the REACHES climate database based on historical documents of China.,2010-2022,,,,
TITLE_CAPITALIZED,25914639,NeuroVault,0.9975134,,0.9975134,neurovault,0.9975134,1,http://neurovault.org/collections/439/,200,United States,"(37.7621,-122.3971)",,2015-04-10,"Max Planck Research Group for Neuroanatomy and Connectivity, Max Planck Institute for Human Cognitive and Brain Sciences Leipzig, Germany ; Department of Psychology, Stanford University Stanford, CA, USA.","Ghosh SS, Gorgolewski KJ, Margulies DS, Maumet C, Nichols TE, Poldrack RA, Poline JB, Rivera G, Schwarz Y, Sochat VV, Varoquaux G, Yarkoni T","100309, 100309/A/12/Z, R01 MH096906","NIMH NIH HHS, Wellcome Trust",413.0,"Andorra, Germany, United States",neurovault,ok,NeuroVault.org: a web-based repository for collecting and sharing unthresholded statistical maps of the human brain.,2010-2022,,,,
"CAPITALIZED,TITLE_CAPITALIZED",24675726,GoMAP,0.997381,gomap,0.997381,,0.997381,1,http://www.bio-toolkit.com/GoMap/project/,200,United States,"(36.2083,-115.9839)",,2014-03-27,"School of Life Sciences, University of Nevada Las Vegas, Las Vegas, Nevada, United States of America.","Alaniz IJ, Bartlett AN, Brandon NR, Brooks SB, Brown FA, Bufi F, Chakarova M, David RP, Deverasetty S, Dobritch KM, Guerra HP, Hedden MW, Levit KS, Mathew KR, Matti R, Maza DQ, Mistry S, Novakovic N, Pomerantz A, Rafalski TF, Rathnayake V, Rezapour N, Ross CA, Sargeant DP, Schiller MR, Schooler SG, Songao S, Strong CL, Tuggle SL, Wing HJ, Yousif S","AI078708, DK078735, GM07689, R21 AI078708, RR027140, S10 RR027140","NCRR NIH HHS, NIAID NIH HHS, NIDDK NIH HHS, NIGMS NIH HHS",2.0,United States,gomap,ok,The Geogenomic Mutational Atlas of Pathogens (GoMAP) web system.,2010-2022,,,,
TITLE_CAPITALIZED,26506615,TransNewGuinea.org,0.9971772,,0.9971772,transnewguinea.org,0.9971772,1,http://TransNewGuinea.org/api/v1/?format=json,200,United States,"(37.7621,-122.3971)",,2015-10-27,"ARC Centre of Excellence for the Dynamics of Language, Australian National University, Canberra, Australia; ANU College of Asia and the Pacific, Australian National University, Canberra, Australia; Max Planck Institute for the Science of Human History, Jena, Germany.",Greenhill SJ,,,10.0,"Andorra, Australia, Germany",transnewguinea.org,ok,TransNewGuinea.org: An Online Database of New Guinea Languages.,2010-2022,,,,
TITLE_CAPITALIZED,32715037,PANGAEA,0.9971761,pangaea,0.9971761,,0.9971761,1,https://atd.eac.esa.int/sites/PANGAEAMinDB,200,Germany,"(49.8875,8.6446)",,2020-07-03,"European Space Agency (ESA), HRE-OT, Linder Höhe, D-51147 Cologne, Germany.","Bessone L, Drozdovskiy I, Franke M, Jahoda P, Kaliwoda M, Lennert P, Ligeza G, Massironi M, Payler SJ, Pozzobon R, Sauro F, Turchi L, Vodnik P",,,2.0,Germany,pangaea,ok,The PANGAEA mineralogical database.,2010-2022,,,,
CAPITALIZED,34478489,FORUM,0.9971653,forum,0.9971653,,0.9971653,1,https://forum-webapp.semantic-metabolomics.fr,200,France,"(43.2970,5.3811)",,2021-11-01,"Toxalim (Research Center in Food Toxicology), Université de Toulouse, INRAE, ENVT, INP-Purpan, UPS, Toulouse 31300, France.","Delmas M, Duperier C, Filangi O, Frainay C, Garrier W, Giacomoni F, Jourdan F, Paulhe N, Pitarch Y, Saunier PE, Vinson F","825489, ANR-INBS-0010","European Union’s Horizon 2020 research and innovation program, French MetaboHUB infrastructure, French Ministry of Research and National Research Agency",5.0,France,forum,ok,FORUM: building a Knowledge Graph from public databases and scientific literature to extract associations between chemicals and diseases.,2010-2022,,,,
CAPITALIZED,31539030,TASUKE,0.99709827,tasuke,0.99709827,,0.99709827,1,https://tasuke.dna.affrc.go.jp/,200,Japan,"(36.3500,140.1000)",,2019-12-01,"Advanced Analysis Center, National Agriculture and Food Research Organization, Tsukuba, Ibaraki 305-8602, Japan.","Itoh R, Itoh T, Kawahara Y, Kumagai M, Nishikawa D, Tabei N, Tanaka T, Wakimoto H",IVG-2001,"Development of Genome Information Database System for Innovation of Crop and Livestock Production, Forestry and Fisheries of Japan, Genomics-based Technology for Agricultural Improvement, Ministry of Agriculture",27.0,"Andorra, Japan",tasuke,ok,TASUKE+: a web-based platform for exploring genome-wide association studies results and large-scale resequencing data.,2010-2022,,,,
CAPITALIZED,31553576,EFI,0.9970524,efi,0.9970524,,0.9970524,1,https://efi.igb.illinois.edu/,200,United States,"(40.1106,-88.2073)",,2019-10-04,,"Gerlt JA, Oberg N, Zallot R","P01 GM118303, P01GM118303, U54 GM093342, U54GM093342","NIGMS NIH HHS, National Institute of General Medical Sciences",554.0,,efi,ok,"The EFI Web Resource for Genomic Enzymology Tools: Leveraging Protein, Genome, and Metagenome Databases to Discover Novel Enzymes and Metabolic Pathways.",2010-2022,,,,
"CAPITALIZED,TITLE_CAPITALIZED",31549018,SoyCSN,0.9970501,soycsn,0.9970501,,0.9970501,1,http://soykb.org/SoyCSN,200,United States,"(38.9517,-92.3341)",,2019-09-17,Department of Electrical Engineering and Computer Science University of Missouri St. Louis MO USA.,"Hossain MS, Joshi T, Lyu Z, Schmutz J, Stacey G, Wang J, Xu D","#IOS‐1546873, #IOS‐1734145, CNS‐1429294",National Science Foundation,15.0,"Andorra, United States",soycsn,ok,SoyCSN: Soybean context-specific network analysis and prediction based on tissue-specific transcriptome data.,2010-2022,,,,
TITLE_CAPITALIZED,28605771,CHOmine,0.99697924,,0.99697924,chomine,0.99697924,1,http://www.chogenome.org,200,United States,"(39.6837,-75.7497)",,2017-01-01,"Department of Biotechnology, University of Natural Resources and Life Sciences, Muthgasse 19, 1190 Vienna, Austria.","Borth N, Gerstl MP, Hanscho M, Ruckerbauer DE, Zanghellini J",,,2.0,"Andorra, Austria",chomine,ok,CHOmine: an integrated data warehouse for CHO systems biology and modeling.,2010-2022,,,,
TITLE_CAPITALIZED,27453469,SRMAtlas,0.9969367,,0.9969367,srmatlas,0.9969367,1,http://www.srmatlas.org/,200,United States,"(47.6062,-122.3321)",,2016-07-21,"Institute for Systems Biology, Seattle, WA 98109, USA.","Aebersold R, Aitchison JD, Blattmann P, Brusniak MY, Campbell DS, Carapito C, Chu CS, Demir E, Deutsch EW, Grimes B, Hood L, Hoopmann MR, Huang CY, Kapousouz M, Kusebauch U, Lam H, Moritz RL, Picotti P, Ratushny AV, Rinner O, Sander C, Shteynberg D, Slagel J, Spicer DA, Stevens J, Sun Z, Tran T","130530, 233226, 670821, ERC-2008-ADG 233226, ERC-2014-ADG 270821, P41 GM109824, P50 GM076547, R01 GM087221, RC2 HG005805, S10 RR027584, U41 HG006623","European Research Council, NCRR NIH HHS, NHGRI NIH HHS, NIGMS NIH HHS, Swiss National Science Foundation",234.0,United States,srmatlas,ok,Human SRMAtlas: A Resource of Targeted Assays to Quantify the Complete Human Proteome.,2010-2022,,,,
CAPITALIZED,31397853,MGOB,0.9968786,mgob,0.9968786,,0.9968786,1,http://mgob.ucd.ie,200,Ireland,"(53.3331,-6.2489)",,2019-09-01,"UCD Conway Institute, School of Medicine, University College Dublin, Belfield, Dublin 4, Ireland.","Byrne KP, Douglass AP, Wolfe KH","105341/Z/14/Z, 13/IA/1910","Science Foundation Ireland, Wellcome Trust",7.0,Ireland,mgob,ok,The Methylotroph Gene Order Browser (MGOB) reveals conserved synteny and ancestral centromere locations in the yeast family Pichiaceae.,2010-2022,,,,
"CAPITALIZED,TITLE_CAPITALIZED",24267822,HuPSON,0.99665016,hupson,0.99665016,,0.99665016,1,http://www.scai.fraunhofer.de/en/business-research-areas/bioinformatics/downloads.html,200,Germany,"(49.0094,8.4044)",,2013-11-22,"Fraunhofer Institute for Algorithms and Scientific Computing (SCAI), Schloss Birlinghoven, Sankt Augustin, Germany. michaela.guendel@scai-extern.fraunhofer.de.","Gündel M, Hofmann-Apitius M, Li H, Malhotra A, Mevissen HT, Wang J, Younesi E, Zhang B, de Bono B",,,6.0,"Andorra, Germany",hupson,ok,HuPSON: the human physiology simulation ontology.,2010-2022,,,,
CAPITALIZED,26868053,CLD,0.99656373,cld,0.99656373,,0.99656373,1,http://www.corvids.de/cld,200,Germany,"(50.1155,8.6842)",,2016-02-11,"Botanic Garden and Botanical Museum Berlin-Dahlem, Freie Universität Berlin, Koenigin-Luise-Str. 6-8, Berlin 14195, Germany Section Ornithology, Zoological Research Museum Alexander Koenig, Centre for Taxonomy and Evolutionary Research, Adenauerallee 160, Bonn 53113, Germany g.droege@bgbm.org.","Droege G, Töpfer T",,,4.0,"Andorra, Germany",cld,ok,The Corvids Literature Database--500 years of ornithological research from a crow's perspective.,2010-2022,,,,
,23730305,systems genetics resource,0.99573946,,0.99573946,systems genetics resource,0.99573946,1,http://systems.genetics.ucla.edu,200,United States,"(37.5395,-122.2998)",,2013-05-20,"Department of Human Genetics, University of California Los Angeles, Los Angeles, CA, USA.","Drake TA, Ghazalpour A, Ingram-Drake LA, Lusis AJ, Pan C, Papp JC, Sobel EM, van Nas A","P01 HL028481, P01 HL030568, R01 GM053275, R01 HL094322, T32 HD007228","NHLBI NIH HHS, NICHD NIH HHS, NIGMS NIH HHS",10.0,United States,systems genetics resource,ok,The systems genetics resource: a web application to mine global data for complex disease traits.,2010-2022,,,,
TITLE_CAPITALIZED,32855428,HIT-COVID,0.9955499,hit-covid,0.9955499,,0.9955499,1,https://data.humdata.org/dataset/acaps-covid19-government-measures-dataset,200,United States,"(39.0437,-77.4875)",,2020-08-27,"Department of Epidemiology, Johns Hopkins Bloomberg School of Public Health, Baltimore, Maryland, USA.","Azman AS, Jones FK, Labrique AB, Leavitt SV, Lee EC, Peters DH, Ung L, Zheng Q",R01 GM122876,NIGMS NIH HHS,69.0,United States,hit-covid,ok,"HIT-COVID, a global database tracking public health interventions to COVID-19.",2010-2022,,,,
TITLE_CAPITALIZED,28135259,ProteomeTools,0.99535537,,0.99535537,proteometools,0.99535537,1,http://www.proteometools.org,200,Germany,"(48.1499,11.6175)",,2017-01-30,"Chair of Proteomics and Bioanalytics, Technical University of Munich, Freising, Germany.","Aebersold R, Aiche S, Bailey DJ, Delanghe B, Deutsch EW, Ehrlich HC, Gessulat S, Huhmer A, Knaute T, Kramer K, Kusebauch U, Kuster B, Moehring T, Moritz RL, Reimer U, Schlegl J, Schmidt T, Schnatbaum K, Weininger M, Wenschuh H, Wilhelm M, Yu P, Zerweck J, Zolg DP","130530, 233226, 670821, P50 GM076547, R01 GM087221, RC2 HG005805, S10 RR027584","European Research Council, NCRR NIH HHS, NHGRI NIH HHS, NIGMS NIH HHS, Swiss National Science Foundation",178.0,"Andorra, Germany",proteometools,ok,Building ProteomeTools based on a complete synthetic human proteome.,2010-2022,,,,
TITLE_CAPITALIZED,22123846,PlateletWeb,0.99532735,,0.99532735,plateletweb,0.99532735,1,http://plateletweb.bioapps.biozentrum.uni-wuerzburg.de,200,Germany,"(49.7939,9.9512)",,2011-11-28,"Department of Bioinformatics, Biocenter, University of Wuerzburg, Germany.","Birschmann I, Boyanova D, Dandekar T, Dittrich M, Nilla S",,,77.0,Germany,plateletweb,ok,PlateletWeb: a systems biologic analysis of signaling networks in human platelets.,2010-2022,,,,
TITLE_CAPITALIZED,33343418,CPSYMAP,0.99528176,cpsymap,0.99528176,,0.99528176,1,https://ncnp-cpsy-rmap.web.app/,200,United States,"(38.0088,-122.1175)",,2020-12-04,"Department of Life Sciences, Graduate School of Arts and Sciences, The University of Tokyo, Tokyo, Japan.","Katahira K, Kato A, Kunisato Y, Okimura T, Yamashita Y",,,6.0,"Andorra, Japan",cpsymap,ok,Computational Psychiatry Research Map (CPSYMAP): A New Database for Visualizing Research Papers.,2010-2022,,,,
TITLE_CAPITALIZED,27670113,Mouse Intestinal Bacterial Collection,0.9952108,,0.9952108,mouse intestinal bacterial collection,0.9952108,1,http://www.dsmz.de/miBC,200,Germany,"(54.0891,13.4024)",,2016-08-08,"ZIEL Institute for Food and Health, Core Facility NGS/Microbiome, Technical University of Munich, 85354 Freising, Germany.","Abt B, Baines JF, Bresciani A, Brugiroux S, Bui TP, Clavel T, Foesel BU, Garzetti D, Haller D, Hornef MW, Hugenholtz F, Just S, Kristiansen K, Kumar N, Lagkouvardos I, Martínez I, Meier-Kolthoff JP, Nielsen HB, Overmann J, Peterson DA, Plugge CM, Pukall R, Smidt H, Stecher B, Walter J, Wang J, Wenning M, Ziegler C",R01 GM099525,NIGMS NIH HHS,318.0,"Andorra, Germany",mouse intestinal bacterial collection,ok,The Mouse Intestinal Bacterial Collection (miBC) provides host-specific insight into cultured diversity and functional potential of the gut microbiota.,2010-2022,,,,
CAPITALIZED,21846260,PICS,0.99498403,pics,0.99498403,,0.99498403,1,http://clipserve.clip.ubc.ca/pics/,200,Canada,"(49.2497,-123.1193)",,2011-11-01,"Institute for Molecular Medicine and Cell Research, University of Freiburg, Germany. oliver.schilling@mol-med.uni-freiburg.de","Overall CM, Schilling O, auf dem Keller U",,Canadian Institutes of Health Research,50.0,"Andorra, Germany",pics,ok,"Factor Xa subsite mapping by proteome-derived peptide libraries improved using WebPICS, a resource for proteomic identification of cleavage sites.",2010-2022,,,,
TITLE_CAPITALIZED,"30517703, 34174819",UniBind,0.9949337,,0.9949337,unibind,0.9949337,2,http://unibind.uio.no,200,Norway,"(59.9127,10.7461)",,2019-02-01,"Centre for Molecular Medicine Norway (NCMM), University of Oslo, Oslo, Norway.; Centre for Molecular Medicine Norway (NCMM), Nordic EMBL Partnership, University of Oslo, 0349, Oslo, Norway.","Ballester B, Boddie P, Castro-Mondragon JA, Chèneby J, Gheorghe M, Khan A, Mathelier A, Puig RR, Sandve GK",#187615,Norwegian Research Council,125.0,Norway,unibind,ok,A map of direct TF-DNA interactions in the human genome. | UniBind: maps of high-confidence direct TF-DNA interactions across nine species.,2010-2022,,,,
