entity_text,paper_count,pmids,entity_type,sources,mean_confidence
Transformer,73,"34232869,35536809,35655148,35657113,35772910,35974061,36094335,36095029,36593326,36738650,37200157,37507396,37587836,37665714,37864911,37874958,37956160,38012574,38105227,38155169,38190692,38228610,38572168,38704403,38710786,38805433,38878555,38957452,39066514,39094795,39101502,39101690,39120645,39164302,39213391,39225779,39230709,39251639,39259689,39312689,39334272,39444035,39455647,39502384,39576587,39585721,39631034,39640612,39714579,39747823,39774456,39780059,39838963,39930026,39994539,39999194,40036690,40044786,40050418,40057225,40069254,40148406,40184563,40193601,40195405,40295551,40315689,40335579,40341210,40389708,40436975,40498850,40514376",COM,ruler,1.0
PubChem,62,"34850941,35037224,35227770,35255958,35294761,35325185,35369609,35381376,35415670,35458710,35643512,36156625,36284750,36305812,36321230,36370100,36395823,36467581,37027007,37058588,37129482,37291365,37342759,37371536,37431591,37450416,37589022,37623730,37673902,37722101,37829020,37897341,37904411,37918093,37978560,37994677,38311838,38418571,38596315,38622746,38665156,38758924,38814564,38880887,38885636,38979651,39080729,39134728,39503579,39526373,39558158,39558165,39578580,39609715,39658041,39957787,40108717,40175056,40200282,40211375,40274264,40700252",COM,ruler,1.0
Ensembl,55,"34634797,34723319,34751401,34788826,34791415,34792170,34986604,34999909,35143654,35354358,35556129,35918364,36124785,36268869,36318249,36385508,36394265,36394420,36420896,36610989,36624667,36755307,36882164,37053306,37173739,37227514,37280537,37521110,37784172,37933859,37947586,37953337,38025697,38035367,38127855,38256255,38458603,38504112,38597606,38626724,39095083,39157583,39412445,39494541,39514846,39530236,39565199,39588754,39588765,39658041,39910777,40097274,40392208,40417655,40996716",COM,ruler,1.0
GEO,50,"34850125,34935889,35028350,35193506,35414795,35524556,35592546,35609980,35657113,35809855,36266291,36318256,36326108,36474475,36760999,36847572,36968016,37055532,37180100,37227514,37386732,37460827,37461161,37707574,37747225,37889077,37933855,38017352,38035367,38379334,38491529,38517778,38525301,38564425,38606287,38650009,38654053,38717988,38753488,38770717,38806182,38855325,38926513,39018385,39213211,39402558,39468922,39476302,39530087,40413228",COM,ruler,1.0
CiteSpace,49,"35154305,35173728,35221786,35627380,35627690,35646825,35663940,35682025,35769473,35795675,35846692,35886193,35935954,36081985,36224012,36341351,36378377,36673842,36776551,36910227,37183322,37202634,37464256,37471311,37960750,38067743,38102171,38497584,38681072,38790809,38856921,39381001,39397792,39430756,39445018,39493751,39610043,39633813,39686412,39910843,39943272,39944353,39944643,40070374,40212143,40213549,40309112,40527861,40557160",COM,statistical,1.0
Pfam,48,"34424339,34850923,34986599,35141219,35148171,35148686,35186498,35346024,35430947,35495109,35670735,35753700,36011344,36169226,36208223,36300618,36350672,36419248,36472426,36483087,36648327,36764355,37045837,37061086,37704037,37811892,38015957,38371639,38747283,38803272,38824125,38886663,39134029,39171834,39215721,39526372,39540428,39565196,39569321,39658041,39672676,39766814,39916697,40216665,40367087,40400345,40410160,40606672",COM,ruler,1.0
ClinVar,48,"34664660,35148171,35156024,35311657,35330423,35337356,35821017,36063453,36130085,36300680,36305828,36332611,36370100,36469362,36651276,36681081,36789265,37123454,37128447,37280537,37386017,37994677,38040041,38059438,38284225,38373162,38440907,38575974,38602506,38640488,38749504,38768635,39112918,39226898,39227781,39348154,39382066,39404758,39436017,39465390,39484850,39498263,39658041,39709002,39825153,39998433,40067792,40109352",COM,ruler,1.0
RefSeq,45,"34718745,34850941,34951622,35080120,35217168,35354358,35580044,35639517,35687095,35758788,35804320,35859338,36124785,36370100,36420896,36748555,36814618,36896476,37280537,37350639,37639797,37761836,37904256,37962425,37994677,38035367,38127855,38504112,38659008,38846350,38980436,39101213,39157583,39201310,39205165,39306700,39522045,39526381,39936323,39960880,39977364,40119728,40327749,40411446,40996716",COM,ruler,1.0
UniProtKB,44,"34755880,34788826,34850820,35053288,35147037,35186498,35403696,35495109,35640594,35751824,35939284,36350627,36350672,36399505,36408920,36484697,36510133,36558536,36755307,36912607,37045837,37053306,37874958,37904585,37947313,38256255,38309384,38532297,39101213,39251610,39475123,39506806,39514846,39540428,39552041,39565202,39565895,39830014,39858555,39989025,40100125,40210874,40400345,40996716",COM,ruler,1.0
ChEMBL,44,"35255958,35458710,35643512,35695435,35876159,36103300,36175836,36252922,36395823,36609528,36923950,37137934,37149650,37151295,37169224,37572442,37682956,37722101,37726809,37933841,37978560,38016694,38069801,38084920,38112004,38206320,38311838,38470995,38581840,38622746,38957398,38979651,39075547,39110924,39433759,39503579,39558158,39833831,40097274,40133788,40175056,40316178,40458637,40467651",COM,ruler,1.0
prokaryotes,41,"34634793,34709630,34791440,34904653,35350714,35411389,35440731,35561201,35676297,35694833,35715423,35953824,36224545,36243963,36350662,36917632,37036103,37623730,37897352,37956405,38179456,38317726,38422081,38454513,38458968,38593165,38660008,38907008,38990885,39388605,39470737,39483755,39535043,39730187,39806487,39819733,39890791,39956814,40136077,40273288,40391087",FUL,ruler,1.0
Gene Expression Omnibus,41,"34935889,35238331,35524556,35560008,35584008,35592546,35609980,35657113,35863045,36095221,36189892,36266291,36333579,36755307,36760999,36847572,37227514,37352010,37386732,37461161,37707574,37933855,38022697,38227799,38443825,38525301,38564425,38606287,38650009,38654053,38706955,38717988,38743124,38805754,38926513,39018385,39101486,39402558,39530087,39999010,40392208",FUL,ruler,1.0
Kyoto Encyclopedia of Genes and Genomes,39,"34849572,35380657,35422973,35639952,35689503,35904089,36011344,36156625,36208223,36209090,36354662,36394420,36847572,36896476,37003963,37499616,37589022,37643078,37823598,37846038,38015957,38090151,38336614,38371639,38603733,38650009,38855325,38926513,39001614,39019974,39213211,39363510,39470845,39508840,39724366,39766814,39985759,40543694,40606672",FUL,ruler,1.0
GBIF,37,"35068980,35437413,35837835,35977947,36761504,36761550,36761561,36761627,37332535,37900105,37919263,37919303,38090598,38312334,38312338,38327298,38327327,38327374,38357419,38384789,38443673,38469223,38469226,38495308,38505537,38650359,38776381,38903959,38912109,38974676,39346622,39623597,39720205,39958908,40021691,40329811,40500268",COM,ruler,1.0
ChatGPT,37,"37501529,37507396,37758604,37789187,37953349,37991290,38000386,38028668,38028967,38076260,38307909,38314912,38390029,38541171,38550240,38572754,38704403,38774631,38781458,38886470,38896539,38918477,38935678,38957452,38987117,39068189,39094795,39115390,39415960,39487529,39522019,39538127,39910777,39999194,40169010,40169679,40375935",COM,"statistical,v2_bert",0.991839054054054
Reactome,33,"32877338,34718410,34718729,34788843,34986604,35037224,35348650,35609982,36175836,36289281,36362077,37053306,37070209,37180100,37199469,37467006,37732505,37791887,37941124,37986220,38035367,38218959,38713862,38806182,38843230,38979651,39041916,39227781,39558161,39565895,39657145,40210874,40265842",COM,ruler,1.0
SRA,32,"34469540,34850941,35193506,35244718,35325039,35586731,35752825,35918364,35941762,36130056,36318256,36382399,36401317,36622170,36652461,36968016,37311148,37639797,37798675,37889077,37994677,38025697,38034874,38241320,38317726,38622429,38802746,39479298,39500943,40057525,40413396,40442190",COM,ruler,1.0
eQTL,32,"34459872,34850103,35213211,35452708,35643189,35672401,35863045,35879321,35947748,35977827,36063453,36071064,36293349,36330496,36350671,36352464,36608684,36822265,37658226,37721944,37751945,37791879,37870463,38129112,38459946,38546325,38749504,39420631,39587678,40154479,40335902,40542429",COM,ruler,1.0
SEER,30,"35844853,36840860,37033061,37088416,37245087,37249645,37293503,37344326,37428248,37773106,37867528,37891423,38148585,38175391,38181016,38181293,38660300,38821404,38848143,38914571,39043573,39102880,39102882,39331900,39333608,39341114,39373617,39476302,40281195,40661946",COM,statistical,1.0
PyPI,28,"35799364,36259946,36312750,36426870,36534166,36688705,36774895,36803795,36864613,36944259,36988912,37058511,37669275,38006335,38192003,38383060,38832467,39013340,39066220,39240327,39520544,39786428,39894387,40140766,40238188,40434923,40511982,40596788",COM,statistical,1.0
Zenodo,28,"35451453,35821017,36083008,36582986,36637211,37369670,37489036,37699009,37846051,38006335,38011649,38114921,38608321,38802733,38906921,39259175,39431411,39657951,39898792,39909853,40037522,40233101,40238183,40279264,40313391,40372465,40475080,40687097",COM,v2_bert,0.8482436607142858
STRING,28,"34850820,34927675,35183129,35327526,35575379,36088548,36209090,36370105,36456625,36548962,36624667,36847572,36991458,37123454,37323558,37461161,38277370,38341646,38492232,38679191,38896860,39230709,39276156,39558183,39658041,39724242,40543694,41171287",COM,ruler,1.0
CAD,27,"35176595,35281604,35612104,35646870,35845738,36276466,36276926,36535208,36854565,37391501,37600121,37789571,37851613,37937827,38141446,38189730,38267314,38409608,38519557,38724597,39068171,39071967,39289354,40092663,40133599,40467684,40800752",COM,ruler,1.0
gnomAD,27,"34718705,34904638,34984576,34990463,35148171,35330423,35474383,35583122,35995307,36121795,36300680,36323850,36528806,36789265,37311148,37845247,38242438,38582080,38749656,39192052,39227781,39460617,39498263,39530225,39729312,40102419,40225917",COM,ruler,1.0
AlphaFold Protein Structure Database,25,"34791371,34986604,35904542,35958127,36108094,36243970,36382391,36776141,36883717,37140053,37464277,37589594,37850517,37933859,37977136,38035367,38557634,38843230,38984796,39402214,39413165,39565202,39565206,39574394,40133787",FUL,ruler,1.0
DrugBank,25,"34986599,35325185,35443040,35821017,36175836,36420558,36892110,36923950,37790806,37897362,37953279,38197419,38206320,38438913,38518843,38713861,38979784,39075547,39402285,39558158,40338521,40458637,40544187,40700252,40996717",COM,ruler,1.0
RMSE,24,"35165316,35241693,35348582,36169978,36271097,36460685,38112004,38301367,38365784,38649344,38735985,39090119,39172803,39300179,39394222,39394400,39592634,39792898,39913370,40038323,40069206,40425575,40507586,40542019",COM,statistical,1.0
automated annotation,23,"35548855,36071107,36310247,36469142,36748555,37183449,37217502,37387130,37523489,37636259,37665714,37739812,38011649,38057859,38300514,38733346,39107460,39134412,39187482,40013940,40057531,40157887,40382431",FUL,ruler,1.0
ProteomeXchange,23,"34723319,34871441,35066208,35354825,35934186,36370099,36529941,36549590,36558536,36744907,36760999,37059743,37534389,37816770,38017352,38038272,38413438,38574199,39101213,39371417,39389962,39494541,40410165",COM,ruler,1.0
G protein,22,"34570219,35799226,35836068,36395823,36646374,37766984,37890715,38123152,38123153,38123154,38213027,38412860,38495099,38769103,38878854,39003735,39090231,39504465,39558158,39993325,40268234,40513649",FUL,ruler,1.0
ENCODE,22,"34755879,35037207,35412637,35672401,35701419,35782725,36317479,36318256,36582986,36652461,36862752,37202401,37682478,37871161,37889077,38025697,38114921,38581418,38603611,38640488,39558172,39638559",COM,ruler,1.0
SHAP,21,"35378437,35511882,35880126,36174933,36350503,36520016,36825752,37149650,37820269,37891423,37947586,38559304,38630692,39033257,39082653,39762115,39962099,40119500,40292995,40467750,40661946",COM,statistical,1.0
D,21,"35576425,36610985,36931205,37094074,37140058,37410599,37521861,37605816,37847815,37953279,38109500,38177985,38228642,38241422,38395961,38738618,39289369,39384587,39700114,40351053,40355463",COM,v2_bert,0.7218509633333333
interaction database,21,"34634800,34718726,34761267,35007753,35174520,35713861,35842742,35910656,36209090,36373614,36447388,36875148,37289843,37566630,37953380,39180399,39401100,39558161,39588765,39797570,39888724",FUL,ruler,1.0
HPO,21,"35134823,35143074,35143083,35234913,35504357,35524573,35655307,36205845,36328766,36561149,37248747,37791887,37926714,37953324,38040041,38284225,39633268,39724242,39787917,40087567,40996704",COM,ruler,1.0
Sequence Read Archive,21,"34469540,35244718,35556129,35560008,36130056,36367311,36401317,36652461,37311148,37387170,37784104,37917105,38314912,38317726,38755321,39479298,39500943,39788962,40057525,40098071,40500266",FUL,ruler,1.0
PRIDE,21,"34636883,34723319,34904638,35066208,35411045,35701420,36370099,36529941,36847572,36961377,37567758,38556628,38810119,39389992,39475123,39494541,39588754,40057523,40296452,40410165,40545850",COM,ruler,1.0
ACMG,20,"35039090,35169226,35180879,35802133,36251279,36681081,36916756,37195695,37386017,37551357,37647638,37898381,37956311,38440907,38573379,39112918,39546087,39636577,39658089,40417484",COM,statistical,1.0
https://link.springer.com/bookseries/8901,20,"35337333,35337346,35337352,35337353,35337355,35337357,35337358,35337359,35337363,35337366,36941620,36941625,36941644,36941659,36941668,36941681,36941694,36941711,36941722,36941729",COM,statistical,1.0
UCSC Genome Browser,20,"34643708,34718705,34850907,34986604,35088925,35549894,36305828,36420891,36420896,36624667,37221043,37883436,37897357,37953330,38035367,39443154,39460617,39530237,39592010,39658041",COM,ruler,1.0
Global Biodiversity Information Facility,20,"35437393,35837835,36761504,36761561,38312338,38327298,38327374,38357419,38424443,38443673,38469223,38505537,38650359,38903959,38974676,39346622,39871100,39958908,40037615,40500268",FUL,ruler,1.0
ENA,19,"35134858,35941762,36067158,36350640,36624667,36847572,36932341,37356897,37376690,37484460,37889039,37956313,37962425,38025697,38035367,38597606,38724907,38907897,39346622",COM,ruler,1.0
C,19,"35135182,35161692,35562653,35597369,36276466,36406113,36412016,36464767,36508412,36549193,37023843,37855690,38013027,38310806,38763400,39237205,39609461,39657946,40800985",COM,v2_bert,0.7269747615789474
Convolutional Neural Network,19,"35165358,35290901,35650384,36289312,36696455,37697022,37822886,37880351,38238391,38910179,39389998,39557738,39820822,39880865,39930026,40065042,40251192,40355699,40368970",FUL,statistical,1.0
Database,19,"35275211,35835615,35892614,36197704,36217102,36618584,36758542,36819896,36828269,36917632,37450167,38115123,38393149,38683336,38802544,39215544,39588765,40130027,40481042",FUL,v2_bert,0.6304739863157894
OMIM,19,"35311657,35504357,35524573,35857265,36289281,36651276,36732862,37791887,37904411,38040041,38203654,38284225,38733902,38843230,39241757,39348154,39465390,39633268,40543694",COM,ruler,1.0
BioBERT,19,"34983371,35920772,36006843,36300629,36329384,36474140,36755230,37914988,37993103,38015956,38520725,38733346,38954836,38987117,39230709,39379460,39631489,39820357,40996710",COM,statistical,1.0
regulatory relationships,18,"34554254,34747466,34871445,35188184,36300630,36399495,36575796,36774895,36833209,37805704,39053644,39133097,39134412,39565208,39793886,40019186,40281032,40538029",FUL,ruler,1.0
ClinGen,18,"35039090,35180879,35366592,36251279,36541006,36617168,36808730,36916756,37285317,38040041,38440907,38663031,39043627,39198917,39241757,39404758,39793579,40067792",COM,ruler,1.0
CTD,17,"35821017,36169237,36624667,37068705,37070209,37094074,37461161,38581280,38979651,39104826,39196748,39385618,39446852,39818139,39833831,39836634,39982792",COM,ruler,1.0
A large-scale,17,"36733253,36823289,37019916,37369643,37612327,38049850,38110415,39693144,39695144,39875412,39900705,39973009,40057526,40103760,40108146,40410207,40483273",FUL,statistical,1.0
European Nucleotide Archive,17,"35134858,35804320,35870891,36067158,36350640,36847572,36932341,37356897,37376690,37484460,37889039,37956313,38724907,39346622,39475723,39558184,39797569",FUL,ruler,1.0
ASD,17,"35063127,35131258,35524165,36140719,36368308,37456110,37561047,37803253,37870448,37935738,38491000,38566045,38811573,38924852,38982129,39283002,40372465",COM,ruler,1.0
A,17,"35025668,35697698,35762804,35869511,36043394,37031236,37797858,38010338,38179668,39213390,39215721,39295118,39356679,39424499,39693482,40295936,40602433",COM,v2_bert,0.8255383747058823
GENCODE,16,"35044822,35468141,36124785,36170113,36420896,36882164,37280537,37904256,38127855,38504112,38518981,39157583,39514846,39565199,40119728,40996716",COM,ruler,1.0
DDA,16,"35132134,35548855,35672356,35793413,36005855,36402891,37093804,37438352,37456110,37831087,38171828,38968027,39004851,39224509,39389962,40164738",COM,statistical,1.0
InterPro,16,"35641095,35751824,36350672,36394420,36847572,37061086,37248633,37933859,37962385,38597606,38819572,38917322,39540428,39565202,39658041,40484097",COM,ruler,1.0
Human Protein Atlas,15,"34978699,35325185,36108145,36175767,36604173,37508506,37540443,37791887,38206988,38232391,38345567,39514846,39812750,39822275,40462185",FUL,ruler,1.0
EMG,15,"35064126,36922536,38040770,38059067,38129422,38272936,38609440,39127752,39333541,39824832,40075069,40118852,40148353,40393988,40476387",COM,statistical,1.0
GPU,15,"34991450,37285215,37552222,37907498,37975878,37988145,38355413,38438345,38739583,39041910,39237105,39488701,39788105,39821779,40341180",COM,statistical,1.0
h,15,"35568950,35681126,36869285,37194023,37340399,37391755,37620754,38229051,38498357,38714913,38940573,39175079,39434095,40089661,40295995",FUL,v2_bert,0.9164169933333334
GTDB,15,"34520557,34986604,35544233,36125864,36383786,36399059,37258857,37303742,38189256,38613393,38643272,38846350,39522045,39773409,40584559",COM,ruler,1.0
GWAS Catalog,15,"34664660,35418025,36056235,36190496,36316489,36350656,36582986,36869294,37139553,37142970,37233759,37870463,38608311,38674412,39530240",COM,statistical,1.0
OECD,15,"35159786,35192406,36520016,37296454,37368656,38349723,38483583,38523647,38598715,38789065,39668276,39789009,39879562,40185740,40710990",COM,statistical,1.0
DNN,15,"36124251,37053159,37158278,37667031,37853025,38012574,38189730,38365928,38709873,38750071,38778085,39300129,39361557,40155442,40439670",COM,statistical,1.0
Genome,15,"35259302,35330423,35438138,35715150,36168211,36306438,36463398,36479579,36600474,36896476,38164508,38436570,38958457,39433728,39937662",FUL,v2_bert,0.6280910526666666
MAP,15,"35348650,35639514,35678569,35864937,35908805,36831997,37171844,37435612,37649967,38064432,38533822,38621181,38734312,38865215,40127300",COM,ruler,1.0
P,14,"35710807,36774895,37123823,37623798,37749380,37962425,38092800,38182602,38305800,38312097,39569397,39753885,39894387,40410165",COM,v2_bert,0.7912211578571429
Comparative Toxicogenomics Database,14,"35094093,36169237,36399413,37068705,37776009,38979651,39104826,39196748,39385618,39446852,39818139,39833831,39836634,39982792",FUL,ruler,1.0
S,14,"36018484,36400030,36420904,36928528,37092604,37130913,37271097,38238779,38396257,38426333,39138517,39395790,40259421,40259822",COM,v2_bert,0.7321766271428573
LAMP,14,"35081119,35260715,35460467,35684258,37099532,37828369,38489299,38653014,39033535,39146233,39445836,39949805,40128264,40234204",COM,ruler,1.0
IPD,14,"34991484,36350643,36624667,37968000,38227595,38400869,38425721,38907896,38907897,38936817,38988407,39333410,39436012,39702467",COM,ruler,1.0
MIMIC,14,"35504931,35717401,35769376,36596836,36844249,36996758,38760409,38763952,38781078,38789452,39455647,39531422,39837961,40417494",COM,statistical,1.0
MTB,13,"35165358,36073491,36469333,36497903,37059737,38317726,38374088,39482572,39609355,40073368,40128264,40380393,40526350",COM,ruler,1.0
WikiPathways,13,"35174439,35325185,35558518,35838944,36454444,36480100,36715855,36882166,36944905,37142846,37855672,37941138,38053130",COM,ruler,1.0
R&D,13,"35242914,35280732,35319597,35599136,36408524,37465389,37582061,38472250,38505831,39297317,40008227,40189049,40397096",COM,statistical,1.0
OpenAI,13,"37501529,37507396,38000386,38028967,38520725,38719344,38987117,39115390,39192204,39718779,39910777,40057225,40499132",COM,statistical,1.0
SERS,13,"35180897,36431921,37918093,38624007,38970677,39093951,39191106,39233482,39371477,39501899,39889147,40102313,40113206",COM,"statistical,v2_bert",0.9677894576923076
