pmid,title,abstract,in_linguistic,in_setfit,ling_score,setfit_confidence,primary_entity_long,primary_entity_short,primary_score,status,matched_long_short,all_long,all_short,ner_source,ner_confidence,entity_from_title,db_keyword_found,title_entity_in_ner,very_high_conf,baseline_entity_match,all_urls,resource_url,has_resource_url,url_context,article_count
"21646343, 27098042",g:Profiler--a web server for functional interpretation of gene lists (2011 update).,"Functional interpretation of candidate gene lists is an essential task in modern biomedical research. Here, we present the 2011 update of g:Profiler (http://biit.cs.ut.ee/gprofiler/), a popular collection of web tools for functional analysis. g:GOSt and g:Cocoa combine comprehensive methods for interpreting gene lists, ordered lists and list collections in the context of biomedical ontologies, pathways, transcription factor and microRNA regulatory motifs and protein-protein interactions. Additional tools, namely the biomolecule ID mapping service (g:Convert), gene expression similarity searcher (g:Sorter) and gene homology searcher (g:Orth) provide numerous ways for further analysis and interpretation. In this update, we have implemented several features of interest to the community: (i) functional analysis of single nucleotide polymorphisms and other DNA polymorphisms is supported by chromosomal queries; (ii) network analysis identifies enriched protein-protein interaction modules in gene lists; (iii) functional analysis covers human disease genes; and (iv) improved statistics and filtering provide more concise results. g:Profiler is a regularly updated resource that is available for a wide range of species, including mammals, plants, fungi and insects.",True,False,4.0,0.7186402,g:profiler,,22.99642926,ok,,g:profiler-a | ensembl | g:profiler--a,,v2,0.9988917,g,True,False,False,,http://biit.cs.ut.ee/gprofiler/,http://biit.cs.ut.ee/gprofiler/,True,".... Here, we present the 2011 update of g:Profiler (http://biit.cs.ut.ee/gprofiler/), a popular collection of web tools for functiona...",2
"29069473, 33170268",Genome Variation Map: a data repository of genome variations in BIG Data Center.,"The Genome Variation Map (GVM; http://bigd.big.ac.cn/gvm/) is a public data repository of genome variations. As a core resource in the BIG Data Center, Beijing Institute of Genomics, Chinese Academy of Sciences, GVM dedicates to collect, integrate and visualize genome variations for a wide range of species, accepts submissions of different types of genome variations from all over the world and provides free open access to all publicly available data in support of worldwide research activities. Unlike existing related databases, GVM features integration of a large number of genome variations for a broad diversity of species including human, cultivated plants and domesticated animals. Specifically, the current implementation of GVM not only houses a total of ∼4.9 billion variants for 19 species including chicken, dog, goat, human, poplar, rice and tomato, but also incorporates 8669 individual genotypes and 13 262 manually curated high-quality genotype-to-phenotype associations for non-human species. In addition, GVM provides friendly intuitive web interfaces for data submission, browse, search and visualization. Collectively, GVM serves as an important resource for archiving genomic variation data, helpful for better understanding population genetic diversity and deciphering complex mechanisms associated with different phenotypes.",True,False,4.0,,genome variation map,,22.99592435,ok,gvm | genome variation map,,gvm,spacy+v2,0.99592435,Genome Variation Map,True,True,True,,http://bigd.big.ac.cn/gvm/,http://bigd.big.ac.cn/gvm/,True,The Genome Variation Map (GVM; http://bigd.big.ac.cn/gvm/) is a public data repository of genome variations...,2
"22064862, 24185697",The Candida genome database incorporates multiple Candida species: multispecies search and analysis tools with curated gene and protein information for Candida albicans and Candida glabrata.,"The Candida Genome Database (CGD, http://www.candidagenome.org/) is an internet-based resource that provides centralized access to genomic sequence data and manually curated functional information about genes and proteins of the fungal pathogen Candida albicans and other Candida species. As the scope of Candida research, and the number of sequenced strains and related species, has grown in recent years, the need for expanded genomic resources has also grown. To answer this need, CGD has expanded beyond storing data solely for C. albicans, now integrating data from multiple species. Herein we describe the incorporation of this multispecies information, which includes curated gene information and the reference sequence for C. glabrata, as well as orthology relationships that interconnect Locus Summary pages, allowing easy navigation between genes of C. albicans and C. glabrata. These orthology relationships are also used to predict GO annotations of their products. We have also added protein information pages that display domains, structural information and physicochemical properties; bibliographic pages highlighting important topic areas in Candida biology; and a laboratory strain lineage page that describes the lineage of commonly used laboratory strains. All of these data are freely available at http://www.candidagenome.org/. We welcome feedback from the research community at candida-curator@lists.stanford.edu.",True,False,4.0,,candida genome database,,22.9958132,ok,cgd | candida genome database,candida genome,cgd,spacy+v2,0.9967621,Candida genome database incorporates multiple Candida species,True,False,False,,http://www.candidagenome.org/,http://www.candidagenome.org/,True,"The Candida Genome Database (CGD, http://www.candidagenome.org/) is an internet-based resource that provides cent...",2
"24077912, 28349240","The Human Gene Mutation Database: building a comprehensive mutation repository for clinical and molecular genetics, diagnostic testing and personalized genomic medicine.","The Human Gene Mutation Database (HGMD®) is a comprehensive collection of germline mutations in nuclear genes that underlie, or are associated with, human inherited disease. By June 2013, the database contained over 141,000 different lesions detected in over 5,700 different genes, with new mutation entries currently accumulating at a rate exceeding 10,000 per annum. HGMD was originally established in 1996 for the scientific study of mutational mechanisms in human genes. However, it has since acquired a much broader utility as a central unified disease-oriented mutation repository utilized by human molecular geneticists, genome scientists, molecular biologists, clinicians and genetic counsellors as well as by those specializing in biopharmaceuticals, bioinformatics and personalized genomics. The public version of HGMD (http://www.hgmd.org) is freely available to registered users from academic institutions/non-profit organizations whilst the subscription version (HGMD Professional) is available to academic, clinical and commercial users under license via BIOBASE GmbH.",True,False,3.0,,human gene mutation database,,22.9948285,ok,hgmd | human gene mutation database,hgmd<sup | gmd professional,hgmd | hgmd®,spacy+v2,0.9948285,Human Gene Mutation Database,True,True,True,,http://www.hgmd.org,http://www.hgmd.org,True,...ersonalized genomics. The public version of HGMD (http://www.hgmd.org) is freely available to registered users from aca...,2
"21478484, 23255149",The Rat Genome Database pathway portal.,"The set of interacting molecules collectively referred to as a pathway or network represents a fundamental structural unit, the building block of the larger, highly integrated networks of biological systems. The scientific community's interest in understanding the fine details of how pathways work, communicate with each other and synergize, and how alterations in one or several pathways may converge into a disease phenotype, places heightened demands on pathway data and information providers. To meet such demands, the Rat Genome Database [(RGD) http://rgd.mcw.edu] has adopted a multitiered approach to pathway data acquisition and presentation. Resources and tools are continuously added or expanded to offer more comprehensive pathway data sets as well as enhanced pathway data manipulation, exploration and visualization capabilities. At RGD, users can easily identify genes in pathways, see how pathways relate to each other and visualize pathways in a dynamic and integrated manner. They can access these and other components from several entry points and effortlessly navigate between them and they can download the data of interest. The Pathway Portal resources at RGD are presented, and future directions are discussed. Database URL: http://rgd.mcw.edu.",True,False,3.0,,rat genome database,,22.99193907,ok,rgd | rat genome database,,rgd,spacy+v2,0.99608725,,True,False,False,,http://rgd.mcw.edu,http://rgd.mcw.edu,True,"...meet such demands, the Rat Genome Database [(RGD) http://rgd.mcw.edu] has adopted a multitiered approach to pathway da...",2
"24271399, 25501940",The Structure-Function Linkage Database.,"The Structure-Function Linkage Database (SFLD, http://sfld.rbvi.ucsf.edu/) is a manually curated classification resource describing structure-function relationships for functionally diverse enzyme superfamilies. Members of such superfamilies are diverse in their overall reactions yet share a common ancestor and some conserved active site features associated with conserved functional attributes such as a partial reaction. Thus, despite their different functions, members of these superfamilies 'look alike', making them easy to misannotate. To address this complexity and enable rational transfer of functional features to unknowns only for those members for which we have sufficient functional information, we subdivide superfamily members into subgroups using sequence information, and lastly into families, sets of enzymes known to catalyze the same reaction using the same mechanistic strategy. Browsing and searching options in the SFLD provide access to all of these levels. The SFLD offers manually curated as well as automatically classified superfamily sets, both accompanied by search and download options for all hierarchical levels. Additional information includes multiple sequence alignments, tab-separated files of functional and other attributes, and sequence similarity networks. The latter provide a new and intuitively powerful way to visualize functional trends mapped to the context of sequence similarity.",True,False,3.0,,structure-function linkage database,,22.99107283,ok,,,sfld,spacy+v2,0.9942904,,True,False,False,,http://sfld.rbvi.ucsf.edu/,http://sfld.rbvi.ucsf.edu/,True,"The Structure-Function Linkage Database (SFLD, http://sfld.rbvi.ucsf.edu/) is a manually curated classification resource de...",2
"23093593, 28053164",The Papillomavirus Episteme: a central resource for papillomavirus sequence data and analysis.,"The goal of the Papillomavirus Episteme (PaVE) is to provide an integrated resource for the analysis of papillomavirus (PV) genome sequences and related information. The PaVE is a freely accessible, web-based tool (http://pave.niaid.nih.gov) created around a relational database, which enables storage, analysis and exchange of sequence information. From a design perspective, the PaVE adopts an Open Source software approach and stresses the integration and reuse of existing tools. Reference PV genome sequences have been extracted from publicly available databases and reannotated using a custom-created tool. To date, the PaVE contains 241 annotated PV genomes, 2245 genes and regions, 2004 protein sequences and 47 protein structures, which users can explore, analyze or download. The PaVE provides scientists with the data and tools needed to accelerate scientific progress for the study and treatment of diseases caused by PVs.",True,False,5.0,,papillomavirus episteme,,22.9796158,ok,,,pave,spacy+v2,0.9796158,Papillomavirus Episteme,True,True,True,,http://pave.niaid.nih.gov,http://pave.niaid.nih.gov,True,"...The PaVE is a freely accessible, web-based tool (http://pave.niaid.nih.gov) created around a relational database, which enab...",2
"24163125, 31328773",Tripal v1.1: a standards-based toolkit for construction of online genetic and genomic databases.,"Tripal is an open-source freely available toolkit for construction of online genomic and genetic databases. It aims to facilitate development of community-driven biological websites by integrating the GMOD Chado database schema with Drupal, a popular website creation and content management software. Tripal provides a suite of tools for interaction with a Chado database and display of content therein. The tools are designed to be generic to support the various ways in which data may be stored in Chado. Previous releases of Tripal have supported organisms, genomic libraries, biological stocks, stock collections and genomic features, their alignments and annotations. Also, Tripal and its extension modules provided loaders for commonly used file formats such as FASTA, GFF, OBO, GAF, BLAST XML, KEGG heir files and InterProScan XML. Default generic templates were provided for common views of biological data, which could be customized using an open Application Programming Interface to change the way data are displayed. Here, we report additional tools and functionality that are part of release v1.1 of Tripal. These include (i) a new bulk loader that allows a site curator to import data stored in a custom tab delimited format; (ii) full support of every Chado table for Drupal Views (a powerful tool allowing site developers to construct novel displays and search pages); (iii) new modules including 'Feature Map', 'Genetic', 'Publication', 'Project', 'Contact' and the 'Natural Diversity' modules. Tutorials, mailing lists, download and set-up instructions, extension modules and other documentation can be found at the Tripal website located at http://tripal.info. DATABASE URL: http://tripal.info/.",True,False,4.0,,,tripal,22.9578638,ok,,,kegg,v2,0.9578638,Tripal,True,True,True,,http://tripal.info | http://tripal.info/,http://tripal.info,True,...ion can be found at the Tripal website located at http://tripal.info. DATABASE URL: http://tripal.info/.,2
"27185889, 29564830",CTLPScanner: a web server for chromothripsis-like pattern detection.,"Chromothripsis is a recently observed phenomenon in cancer cells in which one or several chromosomes shatter into pieces with subsequent inaccurate reassembly and clonal propagation. This type of event generates a potentially vast number of mutations within a relatively short-time period, and has been considered as a new paradigm in cancer development. Despite recent advances, much work is still required to better understand the molecular mechanisms of this phenomenon, and thus an easy-to-use tool is in urgent need for automatically detecting and annotating chromothripsis. Here we present CTLPScanner, a web server for detection of chromothripsis-like pattern (CTLP) in genomic array data. The output interface presents intuitive graphical representations of detected chromosome pulverization region, as well as detailed results in table format. CTLPScanner also provides additional information for associated genes in chromothripsis region to help identify the potential candidates involved in tumorigenesis. To assist in performing meta-data analysis, we integrated over 50 000 pre-processed genomic arrays from The Cancer Genome Atlas and Gene Expression Omnibus into CTLPScanner. The server allows users to explore the presence of chromothripsis signatures from public data resources, without carrying out any local data processing. CTLPScanner is freely available at http://cgma.scu.edu.cn/CTLPScanner/.",True,False,9.0,,ctlpscanner,,20.9990355,ok,,gene expression omnibus | the cancer genome atlas,,v2,0.9993134,CTLPScanner,True,True,True,,http://cgma.scu.edu.cn/CTLPScanner/,http://cgma.scu.edu.cn/CTLPScanner/,True,...ta processing. CTLPScanner is freely available at http://cgma.scu.edu.cn/CTLPScanner/.,2
"25990723, 31028400",MS2PIP prediction server: compute and visualize MS2 peak intensity predictions for CID and HCD fragmentation.,"We present an MS(2) peak intensity prediction server that computes MS(2) charge 2+ and 3+ spectra from peptide sequences for the most common fragment ions. The server integrates the Unimod public domain post-translational modification database for modified peptides. The prediction model is an improvement of the previously published MS(2)PIP model for Orbitrap-LTQ CID spectra. Predicted MS(2) spectra can be downloaded as a spectrum file and can be visualized in the browser for comparisons with observations. In addition, we added prediction models for HCD fragmentation (Q-Exactive Orbitrap) and show that these models compute accurate intensity predictions on par with CID performance. We also show that training prediction models for CID and HCD separately improves the accuracy for each fragmentation method. The MS(2)PIP prediction server is accessible from http://iomics.ugent.be/ms2pip.",True,False,5.0,,,ms2pip,20.9989165,ok,,,,v2,0.9989165,MS2PIP prediction server,True,False,False,,http://iomics.ugent.be/ms2pip,http://iomics.ugent.be/ms2pip,True,...The MS(2)PIP prediction server is accessible from http://iomics.ugent.be/ms2pip.,2
"29069445, 33849075",TCSBN: a database of tissue and cancer specific biological networks.,"Biological networks provide new opportunities for understanding the cellular biology in both health and disease states. We generated tissue specific integrated networks (INs) for liver, muscle and adipose tissues by integrating metabolic, regulatory and protein-protein interaction networks. We also generated human co-expression networks (CNs) for 46 normal tissues and 17 cancers to explore the functional relationships between genes as well as their relationships with biological functions, and investigate the overlap between functional and physical interactions provided by CNs and INs, respectively. These networks can be employed in the analysis of omics data, provide detailed insight into disease mechanisms by identifying the key biological components and eventually can be used in the development of efficient treatment strategies. Moreover, comparative analysis of the networks may allow for the identification of tissue-specific targets that can be used in the development of drugs with the minimum toxic effect to other human tissues. These context-specific INs and CNs are presented in an interactive website http://inetmodels.com without any limitation.",True,False,5.0,,,tcsbn,20.9982475,ok,,,,v2,0.9982475,TCSBN,True,True,True,,http://inetmodels.com,http://inetmodels.com,True,...s and CNs are presented in an interactive website http://inetmodels.com without any limitation.,2
"23284085, 26412851",ChloroMitoSSRDB: open source repository of perfect and imperfect repeats in organelle genomes for evolutionary genomics.,"Microsatellites or simple sequence repeats (SSRs) are repetitive stretches of nucleotides (A, T, G, C) that are distributed either as single base pair stretches or as a combination of two- to six-nucleotides units that are non-randomly distributed within coding and in non-coding regions of the genome. ChloroMitoSSRDB is a complete curated web-oriented relational database of perfect and imperfect repeats in organelle genomes. The present version of the database contains perfect and imperfect SSRs of 2161 organelle genomes (1982 mitochondrial and 179 chloroplast genomes). We detected a total of 5838 chloroplast perfect SSRs, 37 297 chloroplast imperfect SSRs, 5898 mitochondrial perfect SSRs and 50 355 mitochondrial imperfect SSRs across these genomes. The repeats have been further hyperlinked to the annotated gene regions (coding or non-coding) and a link to the corresponding gene record in National Center for Biotechnology Information(www.ncbi.nlm.nih.gov/) to identify and understand the positional relationship of the repetitive tracts. ChloroMitoSSRDB is connected to a user-friendly web interface that provides useful information associated with the location of the repeats (coding and non-coding), size of repeat, motif and length polymorphism, etc. ChloroMitoSSRDB will serve as a repository for developing functional markers for molecular phylogenetics, estimating molecular variation across species. Database URL: ChloroMitoSSRDB can be accessed as an open source repository at www.mcr.org.in/chloromitossrdb.",True,False,3.0,,chloromitossrdb,,20.99092567,ok,,,imex,v2,0.99092567,ChloroMitoSSRDB,True,True,True,,http://www.ncbi.nlm.nih.gov/ | http://www.mcr.org.in/chloromitossrdb,http://www.mcr.org.in/chloromitossrdb,True,...fied SSRs for evolutionary genomics.Database URL: http://www.mcr.org.in/chloromitossrdb.,2
