pmid,title,abstract,in_linguistic,in_setfit,ling_score,setfit_confidence,primary_entity_long,primary_entity_short,primary_score,status,matched_long_short,all_long,all_short,ner_source,ner_confidence,entity_from_title,db_keyword_found,title_entity_in_ner,very_high_conf,baseline_entity_match,all_urls,resource_url,has_resource_url,url_context,article_count,in_baseline_pmid,in_baseline_entity,in_baseline
"22080546, 23180798, 29190397, 33166387",The International Nucleotide Sequence Database Collaboration.,"The members of the International Nucleotide Sequence Database Collaboration (INSDC; http://www.insdc.org) set out to capture, preserve and present globally comprehensive public domain nucleotide sequence information. The work of the long-standing collaboration includes the provision of data formats, annotation conventions and routine global data exchange. Among the many developments to INSDC resources in 2011 are the newly launched BioProject database and improved handling of assembly information. In this article, we outline INSDC services and update the reader on developments in 2011.",False,True,,0.71333426,international nucleotide sequence database collaboration,,22.9953242,ok,insdc | international nucleotide sequence database collaboration,sequence | genbank | dna data bank of japan | biosample | european nucleotide archive | bioproject,data | insdc | ena | ddbj,spacy+v2,0.9953242,,True,False,False,International Nucleotide Sequence Database Collaboration,http://www.insdc.org,http://www.insdc.org,True,"...ucleotide Sequence Database Collaboration (INSDC; http://www.insdc.org) set out to capture, preserve and present globall...",4,False,True,True
"22080548, 25404130, 26615190, 30395270",Major submissions tool developments at the European Nucleotide Archive.,"The European Nucleotide Archive (ENA; http://www.ebi.ac.uk/ena), Europe's primary nucleotide sequence resource, captures and presents globally comprehensive nucleic acid sequence and associated information. Covering the spectrum from raw data to assembled and functionally annotated genomes, the ENA has witnessed a dramatic growth resulting from advances in sequencing technology and ever broadening application of the methodology. During 2011, we have continued to operate and extend the broad range of ENA services. In particular, we have released major new functionality in our interactive web submission system, Webin, through developments in template-based submissions for annotated sequences and support for raw next-generation sequence read submissions.",False,True,,0.69317204,european nucleotide archive,,22.9906062,ok,ena | european nucleotide archive,nucleotide archive,ena,spacy+v2,0.9906062,,True,False,False,,http://www.ebi.ac.uk/ena,http://www.ebi.ac.uk/ena,True,"The European Nucleotide Archive (ENA; http://www.ebi.ac.uk/ena), Europe's primary nucleotide sequence resource,...",4,False,False,False
"22737589, 27899561, 30395293, 31602479",Fungal genome resources at NCBI.,"The National Center for Biotechnology Information (NCBI) is well known for the nucleotide sequence archive, GenBank and sequence analysis tool BLAST. However, NCBI integrates many types of biomolecular data from variety of sources and makes it available to the scientific community as interactive web resources as well as organized releases of bulk data. These tools are available to explore and compare fungal genomes. Searching all databases with Fungi [organism] at http://www.ncbi.nlm.nih.gov/ is the quickest way to find resources of interest with fungal entries. Some tools though are resources specific and can be indirectly accessed from a particular database in the Entrez system. These include graphical viewers and comparative analysis tools such as TaxPlot, TaxMap and UniGene DDD (found via UniGene Homepage). Gene and BioProject pages also serve as portals to external data such as community annotation websites, BioGrid and UniProt. There are many different ways of accessing genomic data at NCBI. Depending on the focus and goal of research projects or the level of interest, a user would select a particular route for accessing genomic databases and resources. This review article describes methods of accessing fungal genome data and provides examples that illustrate the use of analysis tools.",False,True,,0.71221685,,ncbi,17.89348656,ok,,pubchem | genbank | uniprot | bookshelf | bioproject,entrez | dbsnp | refseq,v2,0.89348656,,True,False,False,,http://www.ncbi.nlm.nih.gov/,http://www.ncbi.nlm.nih.gov/,True,...Searching all databases with Fungi [organism] at http://www.ncbi.nlm.nih.gov/ is the quickest way to find resources of interest...,4,False,False,False
"25939429, 27899677, 28365740",GXD: a community resource of mouse Gene Expression Data.,"The Gene Expression Database (GXD) is an extensive, easily searchable, and freely available database of mouse gene expression information (www.informatics.jax.org/expression.shtml). GXD was developed to foster progress toward understanding the molecular basis of human development and disease. GXD contains information about when and where genes are expressed in different tissues in the mouse, especially during the embryonic period. GXD collects different types of expression data from wild-type and mutant mice, including RNA in situ hybridization, immunohistochemistry, RT-PCR, and northern and western blot results. The GXD curators read the scientific literature and enter the expression data from those papers into the database. GXD also acquires expression data directly from researchers, including groups doing large-scale expression studies. GXD currently contains nearly 1.5 million expression results for over 13,900 genes. In addition, it has over 265,000 images of expression data, allowing users to retrieve the primary data and interpret it themselves. By being an integral part of the larger Mouse Genome Informatics (MGI) resource, GXD's expression data are combined with other genetic, functional, phenotypic, and disease-oriented data. This allows GXD to provide tools for researchers to evaluate expression data in the larger context, search by a wide variety of biologically and biomedically relevant parameters, and discover new data connections to help in the design of new experiments. Thus, GXD can provide researchers with critical insights into the functions of genes and the molecular mechanisms of development, differentiation, and disease.",False,True,,0.7097767,,gxd,40.99920833,ok,mgi | mouse genome informatics,gene expression database | expression database | mouse gene expression database | mouse genome informatics | mouse developmental anatomy browser | gene expression data,mgi,spacy+v2,0.9992932,GXD,True,True,True,GXD,http://www.informatics.jax.org/expression.shtml,http://www.informatics.jax.org/expression.shtml,True,,3,False,True,True
"23143106, 26442933, 30406744",EcoCyc: fusing model organism databases with systems biology.,"EcoCyc (http://EcoCyc.org) is a model organism database built on the genome sequence of Escherichia coli K-12 MG1655. Expert manual curation of the functions of individual E. coli gene products in EcoCyc has been based on information found in the experimental literature for E. coli K-12-derived strains. Updates to EcoCyc content continue to improve the comprehensive picture of E. coli biology. The utility of EcoCyc is enhanced by new tools available on the EcoCyc web site, and the development of EcoCyc as a teaching tool is increasing the impact of the knowledge collected in EcoCyc.",False,True,,0.7218704,,ecocyc,34.99933577,ok,,fusing model organism databases with systems biology,,spacy+v2,0.99933577,EcoCyc,True,True,True,EcoCyc,http://EcoCyc.org,http://EcoCyc.org,True,EcoCyc (http://EcoCyc.org) is a model organism database built on the genome...,3,True,True,True
"23650175, 27789705, 31665441",The comprehensive antibiotic resistance database.,"The field of antibiotic drug discovery and the monitoring of new antibiotic resistance elements have yet to fully exploit the power of the genome revolution. Despite the fact that the first genomes sequenced of free living organisms were those of bacteria, there have been few specialized bioinformatic tools developed to mine the growing amount of genomic data associated with pathogens. In particular, there are few tools to study the genetics and genomics of antibiotic resistance and how it impacts bacterial populations, ecology, and the clinic. We have initiated development of such tools in the form of the Comprehensive Antibiotic Research Database (CARD; http://arpcard.mcmaster.ca). The CARD integrates disparate molecular and sequence data, provides a unique organizing principle in the form of the Antibiotic Resistance Ontology (ARO), and can quickly identify putative antibiotic resistance genes in new unannotated genome sequences. This unique platform provides an informatic tool that bridges antibiotic resistance concerns in health care, agriculture, and the environment.",False,True,,0.7186024,,card,31.9975333,ok,card | comprehensive antibiotic resistance database ; card | comprehensive antibiotic research database,comprehensive antibiotic resistance database | comprehensive antibiotic research database,,spacy+v2,0.9979761,CARD,True,False,False,CARD,http://arpcard.mcmaster.ca,http://arpcard.mcmaster.ca,True,...Comprehensive Antibiotic Research Database (CARD; http://arpcard.mcmaster.ca). The CARD integrates disparate molecular and seq...,3,False,True,True
"28968762, 29277864, 31667520",PATRIC as a unique resource for studying antimicrobial resistance.,"The Pathosystems Resource Integration Center (PATRIC, www.patricbrc.org) is designed to provide researchers with the tools and services that they need to perform genomic and other 'omic' data analyses. In response to mounting concern over antimicrobial resistance (AMR), the PATRIC team has been developing new tools that help researchers understand AMR and its genetic determinants. To support comparative analyses, we have added AMR phenotype data to over 15 000 genomes in the PATRIC database, often assembling genomes from reads in public archives and collecting their associated AMR panel data from the literature to augment the collection. We have also been using this collection of AMR metadata to build machine learning-based classifiers that can predict the AMR phenotypes and the genomic regions associated with resistance for genomes being submitted to the annotation service. Likewise, we have undertaken a large AMR protein annotation effort by manually curating data from the literature and public repositories. This collection of 7370 AMR reference proteins, which contains many protein annotations (functional roles) that are unique to PATRIC and RAST, has been manually curated so that it projects stably across genomes. The collection currently projects to 1 610 744 proteins in the PATRIC database. Finally, the PATRIC Web site has been expanded to enable AMR-based custom page views so that researchers can easily explore AMR data and design experiments based on whole genomes or individual genes.",False,True,,0.7092709,,patric,30.998972,ok,,pathosystems resource integration center | pathosystems resource,,spacy+v2,0.998972,PATRIC Bioinformatics Resource Center,True,False,False,PATRIC,http://www.patricbrc.org,http://www.patricbrc.org,True,...nal Institute of Allergy and Infectious Diseases (https://www.patricbrc.org). PATRIC supports bioinformatic analyses of all b...,3,False,True,True
"22039153, 25361970, 30321395",PomBase: a comprehensive online resource for fission yeast.,"PomBase (www.pombase.org) is a new model organism database established to provide access to comprehensive, accurate, and up-to-date molecular data and biological information for the fission yeast Schizosaccharomyces pombe to effectively support both exploratory and hypothesis-driven research. PomBase encompasses annotation of genomic sequence and features, comprehensive manual literature curation and genome-wide data sets, and supports sophisticated user-defined queries. The implementation of PomBase integrates a Chado relational database that houses manually curated data with Ensembl software that supports sequence-based annotation and web access. PomBase will provide user-friendly tools to promote curation by experts within the fission yeast community. This will make a key contribution to shaping its content and ensuring its comprehensiveness and long-term relevance.",False,True,,0.71444464,pombase,,28.9983786,ok,,ensembl,,spacy+v2,0.9983786,PomBase,True,True,True,PomBase,http://www.pombase.org,http://www.pombase.org,True,PomBase (http://www.pombase.org) is the model organism database for the fission y...,3,True,True,True
"22139910, 25398905, 32761142",The NCBI Taxonomy database.,"The NCBI Taxonomy database (http://www.ncbi.nlm.nih.gov/taxonomy) is the standard nomenclature and classification repository for the International Nucleotide Sequence Database Collaboration (INSDC), comprising the GenBank, ENA (EMBL) and DDBJ databases. It includes organism names and taxonomic lineages for each of the sequences represented in the INSDC's nucleotide and protein sequence databases. The taxonomy database is manually curated by a small group of scientists at the NCBI who use the current taxonomic literature to maintain a phylogenetic taxonomy for the source organisms represented in the sequence databases. The taxonomy database is a central organizing hub for many of the resources at the NCBI, and provides a means for clustering elements within other domains of NCBI web site, for internal linking between domains of the Entrez system and for linking out to taxon-specific external resources on the web. Our primary purpose is to index the domain of sequences as conveniently as possible for our user community.",False,True,,0.6800385,ncbi taxonomy,,18.9959395,ok,insdc | international nucleotide sequence database collaboration,prokaryotes | international nucleotide sequence database collaboration | taxonomy | genbank,ddbj | insdc | ncbi | ena,v2,0.99803984,NCBI Taxonomy,True,False,False,NCBI Taxonomy,http://www.ncbi.nlm.nih.gov/taxonomy,http://www.ncbi.nlm.nih.gov/taxonomy,True,The NCBI Taxonomy database (http://www.ncbi.nlm.nih.gov/taxonomy) is the standard nomenclature and classification...,3,True,True,True
"23568467, 24259431",Databases and in silico tools for vaccine design.,"In vaccine design, databases and in silico tools play different but complementary roles. Databases collect experimentally verified vaccines and vaccine components, and in silico tools provide computational methods to predict and design new vaccines and vaccine components. Vaccine-related databases include databases of vaccines and vaccine components. In the USA, the Food and Drug Administration (FDA) maintains a database of licensed human vaccines, and the US Department of Agriculture keeps a database of licensed animal vaccines. Databases of vaccine clinical trials and vaccines in research also exist. The important vaccine components include vaccine antigens, vaccine adjuvants, vaccine vectors, and -vaccine preservatives. The vaccine antigens can be whole proteins or immune epitopes. Various in silico vaccine design tools are also available. The Vaccine Investigation and Online Information Network (VIOLIN; http://www.violinet.org ) is a comprehensive vaccine database and analysis system. The VIOLIN database includes various types of vaccines and vaccine components. VIOLIN also includes Vaxign, a Web-based in silico vaccine design program based on the reverse vaccinology strategy. Vaccine information and resources can be integrated with Vaccine Ontology (VO). This chapter introduces databases and in silico tools that facilitate vaccine design, especially those in the VIOLIN system.",False,True,,0.70723176,,violin,35.9978196,ok,,dnavaxdb | virmugendb | vaccine investigation and online information network,vaxign,spacy+v2,0.9978196,,True,False,False,VIOLIN,http://www.violinet.org,http://www.violinet.org,True,...stigation and Online Information Network (VIOLIN; http://www.violinet.org ) is a comprehensive vaccine database and analysi...,2,False,True,True
"26432828, 26519406","MaizeGDB update: new tools, data and interface for the maize model organism database.","MaizeGDB is a highly curated, community-oriented database and informatics service to researchers focused on the crop plant and model organism Zea mays ssp. mays. Although some form of the maize community database has existed over the last 25 years, there have only been two major releases. In 1991, the original maize genetics database MaizeDB was created. In 2003, the combined contents of MaizeDB and the sequence data from ZmDB were made accessible as a single resource named MaizeGDB. Over the next decade, MaizeGDB became more sequence driven while still maintaining traditional maize genetics datasets. This enabled the project to meet the continued growing and evolving needs of the maize research community, yet the interface and underlying infrastructure remained unchanged. In 2015, the MaizeGDB team completed a multi-year effort to update the MaizeGDB resource by reorganizing existing data, upgrading hardware and infrastructure, creating new tools, incorporating new data types (including diversity data, expression data, gene models, and metabolic pathways), and developing and deploying a modern interface. In addition to coordinating a data resource, the MaizeGDB team coordinates activities and provides technical support to the maize research community. MaizeGDB is accessible online at http://www.maizegdb.org.",False,True,,0.7138958,maizegdb,,34.99910724,ok,,the maize genetics and genomics database | maize genetics and genomics database | maizedb,,spacy+v2,0.9993007,MaizeGDB update,True,False,False,MaizeGDB,http://www.maizegdb.org,http://www.maizegdb.org,True,...earch community. MaizeGDB is accessible online at http://www.maizegdb.org.,2,False,True,True
"27638885, 31584097",The international Genome sample resource (IGSR): A worldwide collection of genome variation incorporating the 1000 Genomes Project data.,"The International Genome Sample Resource (IGSR; http://www.internationalgenome.org) expands in data type and population diversity the resources from the 1000 Genomes Project. IGSR represents the largest open collection of human variation data and provides easy access to these resources. IGSR was established in 2015 to maintain and extend the 1000 Genomes Project data, which has been widely used as a reference set of human variation and by researchers developing analysis methods. IGSR has mapped all of the 1000 Genomes sequence to the newest human reference (GRCh38), and will release updated variant calls to ensure maximal usefulness of the existing data. IGSR is collecting new structural variation data on the 1000 Genomes samples from long read sequencing and other technologies, and will collect relevant functional data into a single comprehensive resource. IGSR is extending coverage with new populations sequenced by collaborating groups. Here, we present the new data and analysis that IGSR has made available. We have also introduced a new data portal that increases discoverability of our data-previously only browseable through our FTP site-by focusing on particular samples, populations or data sets of interest.",False,True,,0.7120977,,igsr,34.9980784,ok,igsr | international genome sample resource,international genome sample resource,,spacy+v2,0.9980784,international Genome sample resource,True,False,False,IGSR,http://www.internationalgenome.org,http://www.internationalgenome.org,True,The International Genome Sample Resource (IGSR; http://www.internationalgenome.org) expands in data type and population diversity th...,2,False,True,True
"23161693, 29140435",HMDB 3.0--The Human Metabolome Database in 2013.,"The Human Metabolome Database (HMDB) (www.hmdb.ca) is a resource dedicated to providing scientists with the most current and comprehensive coverage of the human metabolome. Since its first release in 2007, the HMDB has been used to facilitate research for nearly 1000 published studies in metabolomics, clinical biochemistry and systems biology. The most recent release of HMDB (version 3.0) has been significantly expanded and enhanced over the 2009 release (version 2.0). In particular, the number of annotated metabolite entries has grown from 6500 to more than 40,000 (a 600% increase). This enormous expansion is a result of the inclusion of both 'detected' metabolites (those with measured concentrations or experimental confirmation of their existence) and 'expected' metabolites (those for which biochemical pathways are known or human intake/exposure is frequent but the compound has yet to be detected in the body). The latest release also has greatly increased the number of metabolites with biofluid or tissue concentration data, the number of compounds with reference spectra and the number of data fields per entry. In addition to this expansion in data quantity, new database visualization tools and new data content have been added or enhanced. These include better spectral viewing tools, more powerful chemical substructure searches, an improved chemical taxonomy and better, more interactive pathway maps. This article describes these enhancements to the HMDB, which was previously featured in the 2009 NAR Database Issue. (Note to referees, HMDB 3.0 will go live on 18 September 2012.).",False,True,,0.7043897,,hmdb,33.98923546,ok,,metabolome database | human metabolome database for | human metabolome database,,spacy+v2,0.9975249,HMDB,True,False,False,,http://www.hmdb.ca,http://www.hmdb.ca,True,,2,False,False,False
