pmid,source,setfit_confidence
32735679,setfit,0.72522026
31740563,setfit,0.7252079
23865855,setfit,0.7252036
33543124,setfit,0.72519076
29917013,setfit,0.725145
36303767,setfit,0.7251416
31396911,setfit,0.72514105
27557774,setfit,0.72513974
26949480,setfit,0.72513086
31624841,setfit,0.7251198
26357324,setfit,0.7251089
24218215,setfit,0.72509927
28365742,setfit,0.725087
32539385,setfit,0.72507906
24927477,setfit,0.72507495
25580221,setfit,0.72507316
27819351,setfit,0.72506595
31236093,setfit,0.7250588
27296299,setfit,0.7250517
21835028,setfit,0.7250505
22465851,setfit,0.7250424
23716644,setfit,0.72502357
22639224,setfit,0.7250161
24666611,setfit,0.72501075
26644461,setfit,0.72498816
25304126,setfit,0.7249844
21177659,setfit,0.72498363
23153247,setfit,0.7249655
22064855,setfit,0.7249563
34418567,setfit,0.7249387
33902433,setfit,0.7249318
23530580,setfit,0.7249293
22536971,setfit,0.7249277
26635392,setfit,0.7249129
32859911,setfit,0.7248704
34629071,setfit,0.7248703
24217918,setfit,0.7248559
30944313,setfit,0.72485065
26476443,setfit,0.72482985
28667017,setfit,0.72482884
21575200,setfit,0.7248054
21217125,setfit,0.72477037
25326323,setfit,0.724764
24271397,setfit,0.72476333
23192547,setfit,0.72476125
33547799,setfit,0.72475356
29761466,setfit,0.72475266
27246819,setfit,0.7247497
27585593,setfit,0.72473973
21662242,setfit,0.724737
28248192,setfit,0.72473323
26578570,setfit,0.7247125
30913289,setfit,0.7247103
25348407,setfit,0.7247077
27515999,setfit,0.7247034
23353585,setfit,0.72469574
32521246,setfit,0.7246898
27462346,setfit,0.72468156
29082924,setfit,0.7246509
26411474,setfit,0.7246493
26400175,setfit,0.72464436
29761457,setfit,0.7246416
32734663,setfit,0.7246368
27195106,setfit,0.72463125
21390321,setfit,0.724616
33166143,setfit,0.72460926
31032840,setfit,0.724588
30328709,setfit,0.72458524
25428375,setfit,0.7245742
22080510,setfit,0.72454685
21610667,setfit,0.72453475
33156326,setfit,0.7245075
23390980,setfit,0.7244991
32849767,setfit,0.72448033
28150234,setfit,0.72447646
29855020,setfit,0.72447115
30364959,setfit,0.72445536
30715277,setfit,0.7244452
25348408,setfit,0.7244449
24979410,setfit,0.7244395
27792763,setfit,0.72443485
28830114,setfit,0.7244306
29777317,setfit,0.72441804
30012108,setfit,0.72441655
34630517,setfit,0.7244139
32313959,setfit,0.7244091
29657302,setfit,0.72440606
22084200,setfit,0.7244042
31691821,setfit,0.72439986
22120662,setfit,0.7243913
21918645,setfit,0.72439
30395331,setfit,0.72438455
25233094,setfit,0.72436064
29155944,setfit,0.724355
27975215,setfit,0.72434735
29092050,setfit,0.7243429
30677302,setfit,0.7243301
31125569,setfit,0.72432417
27095195,setfit,0.7243193
23180765,setfit,0.7243151
30913342,setfit,0.7243015
31628326,setfit,0.7242999
27896724,setfit,0.7242759
31107941,setfit,0.7242616
22494395,setfit,0.7242592
28476106,setfit,0.7242552
23417797,setfit,0.72425115
25001169,setfit,0.72424954
30991966,setfit,0.7242415
25093072,setfit,0.7242345
23172286,setfit,0.7242191
30008988,setfit,0.7242127
26051157,setfit,0.7241931
29381867,setfit,0.7241824
29788376,setfit,0.72418004
27378288,setfit,0.72417796
29072141,setfit,0.72416496
34370892,setfit,0.72415835
31363752,setfit,0.7241471
24772454,setfit,0.72413546
30418645,setfit,0.7241344
31620779,setfit,0.7241337
25055920,setfit,0.7241224
34181736,setfit,0.7241191
25085083,setfit,0.72410554
23175613,setfit,0.72410375
33618440,setfit,0.72409636
33433310,setfit,0.72409505
21707396,setfit,0.72407985
22110034,setfit,0.7240772
21388575,setfit,0.7240734
21342555,setfit,0.7240652
24683129,setfit,0.7240622
21375767,setfit,0.72405636
23930710,setfit,0.7240489
29761465,setfit,0.7240432
22718978,setfit,0.7240392
23286517,setfit,0.7240307
22100666,setfit,0.7240277
34720783,setfit,0.7240212
30365025,setfit,0.72401726
33170273,setfit,0.724016
22449400,setfit,0.7239977
26947550,setfit,0.7239971
34663179,setfit,0.7239959
29524042,setfit,0.7239642
32500364,setfit,0.72396165
27131380,setfit,0.7239527
27043857,setfit,0.72394806
28296894,setfit,0.723935
23555215,setfit,0.7239281
24139062,setfit,0.72390634
29547394,setfit,0.72390294
28973466,setfit,0.72389597
31665479,setfit,0.7238683
28830358,setfit,0.7238577
25474259,setfit,0.72383356
26903996,setfit,0.7238014
23959375,setfit,0.7237352
23874618,setfit,0.72373474
26264053,setfit,0.72372663
23027632,setfit,0.7237253
32134915,setfit,0.7237143
31599331,setfit,0.7237109
31599058,setfit,0.7236983
30407594,setfit,0.7236956
31250015,setfit,0.723692
26546514,setfit,0.7236919
27987178,setfit,0.723689
26989148,setfit,0.72367156
28475309,setfit,0.72366774
23706629,setfit,0.7236386
24936286,setfit,0.7236297
27048349,setfit,0.7236102
27006949,setfit,0.723606
24850854,setfit,0.7235875
24237261,setfit,0.72358555
24823498,setfit,0.7235848
23677614,setfit,0.72358376
24267744,setfit,0.7235833
31799609,setfit,0.72356766
22253616,setfit,0.72356707
31696234,setfit,0.7235591
27574198,setfit,0.7235498
34593819,setfit,0.7235474
28632401,setfit,0.7235413
28663344,setfit,0.7235412
29989146,setfit,0.72353834
33531509,setfit,0.72353107
25412255,setfit,0.7235268
28224019,setfit,0.72352374
32898258,setfit,0.72350615
27479078,setfit,0.72350544
32025315,setfit,0.723497
28544705,setfit,0.7234918
28938868,setfit,0.7234727
23155063,setfit,0.72346324
22437851,setfit,0.72346264
22267904,setfit,0.723452
23896518,setfit,0.7234507
21472436,setfit,0.72344077
34735497,setfit,0.7234211
33963861,setfit,0.7234068
31622013,setfit,0.72340447
27105847,setfit,0.7234025
29897235,setfit,0.7233893
30239678,setfit,0.7233875
21474551,setfit,0.7233772
30008982,setfit,0.72337687
29543794,setfit,0.72337615
33580343,setfit,0.7233625
24478338,setfit,0.7233593
29106569,setfit,0.7233591
25199789,setfit,0.72335595
22086951,setfit,0.72333884
26771021,setfit,0.72332263
29347997,setfit,0.7233165
24595159,setfit,0.7233094
30339215,setfit,0.7233093
29244774,setfit,0.7232806
24533055,setfit,0.7232429
28771471,setfit,0.7232416
29761467,setfit,0.72324014
27155948,setfit,0.7232399
34820191,setfit,0.7232382
32214931,setfit,0.7232323
24139024,setfit,0.7232237
28578698,setfit,0.7232208
26578585,setfit,0.723216
31895936,setfit,0.72321045
30820573,setfit,0.72319424
33767203,setfit,0.7231928
31548506,setfit,0.723187
27577860,setfit,0.7231593
24880686,setfit,0.723158
31510921,setfit,0.7231403
21769196,setfit,0.72312695
26578564,setfit,0.72312546
23766416,setfit,0.7231252
30602777,setfit,0.7231226
22139911,setfit,0.7231165
28128948,setfit,0.72311556
27278816,setfit,0.72311527
25361972,setfit,0.7231137
31117939,setfit,0.7231062
23193285,setfit,0.7231023
33984880,setfit,0.72309035
23571273,setfit,0.72308815
25916842,setfit,0.7230876
35559777,setfit,0.7230808
34213059,setfit,0.72307867
28375006,setfit,0.7230756
23066841,setfit,0.7230729
30212910,setfit,0.7230635
22480273,setfit,0.72305715
22096233,setfit,0.7230521
26869702,setfit,0.723048
31576635,setfit,0.72304726
23707967,setfit,0.723047
26296321,setfit,0.7230358
32032503,setfit,0.7230354
23109553,setfit,0.7230335
26615193,setfit,0.72302955
27267125,setfit,0.7230288
26519323,setfit,0.72300816
22639196,setfit,0.723008
21653547,setfit,0.7230068
26697753,setfit,0.7230025
31953820,setfit,0.72300166
22135301,setfit,0.7229983
28968679,setfit,0.7229966
26527732,setfit,0.7229942
24194605,setfit,0.72298276
27794551,setfit,0.7229738
27747821,setfit,0.7229713
30216669,setfit,0.7229545
31804487,setfit,0.7229496
33123113,setfit,0.7229485
24178028,setfit,0.72294796
31020567,setfit,0.722937
26481362,setfit,0.7229304
26656494,setfit,0.72292703
29145615,setfit,0.72292155
23703215,setfit,0.7229187
26664034,setfit,0.72291726
32510533,setfit,0.7229097
34121770,setfit,0.7229
31307550,setfit,0.72289896
29017328,setfit,0.72289515
23815411,setfit,0.7228873
25214827,setfit,0.7228856
25883148,setfit,0.7228833
23904744,setfit,0.72288084
24927599,setfit,0.7228709
23055631,setfit,0.7228707
24116839,setfit,0.7228692
34433410,setfit,0.72286826
34111608,setfit,0.72286797
30212909,setfit,0.7228645
27832067,setfit,0.7228586
26887005,setfit,0.7228552
26045019,setfit,0.7228495
30985146,setfit,0.72284704
28127234,setfit,0.72284275
28929973,setfit,0.722824
21959866,setfit,0.7228098
30892876,setfit,0.72279733
29136241,setfit,0.7227942
24966540,setfit,0.72278947
28158179,setfit,0.7227889
32620910,setfit,0.7227824
32647314,setfit,0.7227788
22943283,setfit,0.72277063
26578592,setfit,0.72275716
26719890,setfit,0.72274804
25725062,setfit,0.7227446
23657106,setfit,0.72274154
33972022,setfit,0.7227331
26424082,setfit,0.722732
29970001,setfit,0.72272915
22139914,setfit,0.7227264
29761454,setfit,0.7227252
29718141,setfit,0.722725
22536974,setfit,0.7227237
30945191,setfit,0.7227224
24307410,setfit,0.7227189
32393758,setfit,0.72270733
21999342,setfit,0.72270316
23406793,setfit,0.72269034
27189114,setfit,0.72268313
24803509,setfit,0.72267205
22610856,setfit,0.7226697
34192308,setfit,0.72266096
21609792,setfit,0.7226584
31953821,setfit,0.7226568
29635297,setfit,0.72264034
26745458,setfit,0.72262836
26527721,setfit,0.7226266
31020564,setfit,0.7226263
33084874,setfit,0.7226256
31796752,setfit,0.72262037
28325812,setfit,0.7226174
24244351,setfit,0.72261727
34469576,setfit,0.7226055
29574976,setfit,0.72260433
23601370,setfit,0.7226026
28451968,setfit,0.72259974
25911153,setfit,0.7225966
21622657,setfit,0.72259367
23155465,setfit,0.7225888
25979979,setfit,0.722576
26137847,setfit,0.72257584
29616364,setfit,0.7225605
31808801,setfit,0.72255963
23292636,setfit,0.7225483
31606387,setfit,0.72254395
31909794,setfit,0.72252923
29785479,setfit,0.72252834
24503186,setfit,0.72252554
33568655,setfit,0.72250605
25653249,setfit,0.72250473
34048573,setfit,0.72250444
24984850,setfit,0.7225
26581719,setfit,0.7224928
26523481,setfit,0.7224909
26047590,setfit,0.7224776
21063943,setfit,0.72245604
29669592,setfit,0.72244376
30999867,setfit,0.7224414
25875762,setfit,0.7224385
22238258,setfit,0.7224353
31198827,setfit,0.72242177
30525460,setfit,0.72242033
27899580,setfit,0.7224124
21980353,setfit,0.722407
33577575,setfit,0.72239995
24516327,setfit,0.72238714
31863076,setfit,0.7223752
25900361,setfit,0.7223704
26253947,setfit,0.7223639
26481357,setfit,0.72236127
32239516,setfit,0.7223579
26590259,setfit,0.7223567
25158685,setfit,0.7223498
33407901,setfit,0.72234786
27899567,setfit,0.7223388
26848255,setfit,0.72233087
26410588,setfit,0.72231275
25833954,setfit,0.72230643
25414348,setfit,0.7222873
26828375,setfit,0.7222843
27730573,setfit,0.7222794
27423857,setfit,0.72227407
33172012,setfit,0.7222636
22135302,setfit,0.7222603
22480202,setfit,0.72225827
34117752,setfit,0.7222563
32266012,setfit,0.7222433
31820804,setfit,0.72224236
30152809,setfit,0.7222409
31818883,setfit,0.722238
21992002,setfit,0.7222362
28502612,setfit,0.7222243
22419843,setfit,0.7222192
21791100,setfit,0.72221786
24321545,setfit,0.7222145
25490885,setfit,0.7221991
30114186,setfit,0.72219867
27899610,setfit,0.7221893
29361894,setfit,0.72217613
30561349,setfit,0.7221753
26150326,setfit,0.72216815
27115632,setfit,0.7221605
25346727,setfit,0.72215545
24941442,setfit,0.7221532
23619467,setfit,0.72214234
30943284,setfit,0.72214156
27216779,setfit,0.7221396
34677393,setfit,0.72212696
26578576,setfit,0.7221092
29454060,setfit,0.72210234
31020555,setfit,0.7221005
31368867,setfit,0.72210044
24304901,setfit,0.72209424
25937880,setfit,0.72207206
23813006,setfit,0.7220687
26529777,setfit,0.7220676
26935103,setfit,0.7220651
27899601,setfit,0.7220646
33683131,setfit,0.7220605
27473062,setfit,0.7220486
22829745,setfit,0.7220449
23161676,setfit,0.72204244
23321019,setfit,0.72204244
25573919,setfit,0.72203696
33932974,setfit,0.72202355
27243272,setfit,0.72201794
27075512,setfit,0.72201186
25428870,setfit,0.72200286
34949163,setfit,0.72199965
28812536,setfit,0.7219738
24363377,setfit,0.72197235
24321274,setfit,0.7219704
28464063,setfit,0.7219684
21712192,setfit,0.72196305
26527724,setfit,0.72195536
21417267,setfit,0.72193396
22786849,setfit,0.7219336
31953819,setfit,0.7219327
29185060,setfit,0.7219286
21569257,setfit,0.72192544
23624946,setfit,0.721923
25812744,setfit,0.7219224
27125735,setfit,0.72191036
27987174,setfit,0.72190577
28544559,setfit,0.72189456
30352003,setfit,0.7218935
26589635,setfit,0.7218818
26519399,setfit,0.7218787
34019658,setfit,0.7218711
23143106,setfit,0.7218704
32071071,setfit,0.7218693
30076665,setfit,0.72186524
26058579,setfit,0.72184783
33808985,setfit,0.7218409
23193259,setfit,0.7218379
24170806,setfit,0.7218326
30376556,setfit,0.72182024
27091472,setfit,0.7218201
21321022,setfit,0.7218183
23415072,setfit,0.7218115
24174536,setfit,0.72180784
22748121,setfit,0.72180706
31073139,setfit,0.72180295
23616008,setfit,0.72180045
30733625,setfit,0.72179514
22639657,setfit,0.72179157
26336137,setfit,0.72179055
27899609,setfit,0.7217857
26234511,setfit,0.7217696
21442443,setfit,0.7217621
28765787,setfit,0.72175187
34279596,setfit,0.72174525
24037212,setfit,0.72173905
29959318,setfit,0.7217335
27975219,setfit,0.72173303
31584075,setfit,0.72172624
27342803,setfit,0.72171813
25048123,setfit,0.7217132
31755270,setfit,0.72171116
25682754,setfit,0.7217057
26767846,setfit,0.72170323
34570431,setfit,0.7216992
31685817,setfit,0.7216986
28316655,setfit,0.7216891
24532766,setfit,0.7216871
29611842,setfit,0.72167754
34370395,setfit,0.72167367
25378306,setfit,0.72164065
24350770,setfit,0.7216406
29036693,setfit,0.7216347
28077563,setfit,0.7216291
27542845,setfit,0.7216224
22125387,setfit,0.72162205
29222504,setfit,0.7216213
23794735,setfit,0.72161645
34416864,setfit,0.72160786
33685519,setfit,0.7215972
30441908,setfit,0.7215947
28114729,setfit,0.7215832
30226875,setfit,0.72157556
25411633,setfit,0.72157484
30715273,setfit,0.7215734
25506822,setfit,0.7215734
27924046,setfit,0.72156906
31598706,setfit,0.72156525
30497372,setfit,0.72156185
32155140,setfit,0.7215558
31779604,setfit,0.7215506
28906116,setfit,0.7215365
24910945,setfit,0.7215223
28007912,setfit,0.7215213
22720753,setfit,0.7215187
21668943,setfit,0.72151417
32066737,setfit,0.7214962
28150233,setfit,0.72148794
29143270,setfit,0.7214792
24364365,setfit,0.7214736
23889801,setfit,0.7214688
33835457,setfit,0.72146684
34992626,setfit,0.7214661
33431011,setfit,0.72144324
26220923,setfit,0.7214396
28365730,setfit,0.7214366
28055003,setfit,0.7214185
26919047,setfit,0.7214125
23734622,setfit,0.72140175
21622662,setfit,0.7214
33995899,setfit,0.7213987
29761470,setfit,0.72139853
34445259,setfit,0.7213803
23185041,setfit,0.72137946
23308089,setfit,0.7213769
27651457,setfit,0.7213722
31236561,setfit,0.7213715
25655564,setfit,0.72136873
22711793,setfit,0.72135854
30153857,setfit,0.7213576
26313379,setfit,0.72133267
22064857,setfit,0.7213322
29761462,setfit,0.7213291
26568329,setfit,0.72132343
22768184,setfit,0.7213156
28583483,setfit,0.7213104
28150236,setfit,0.7213028
26097744,setfit,0.7212964
29134598,setfit,0.7212964
32743029,setfit,0.7212942
26282054,setfit,0.7212829
30371894,setfit,0.7212811
31583635,setfit,0.72126913
30371822,setfit,0.7212667
28445744,setfit,0.7212647
25404128,setfit,0.7212637
28460071,setfit,0.7212634
34101036,setfit,0.7212612
31608948,setfit,0.7212571
30272244,setfit,0.7212506
27010336,setfit,0.7212488
34681040,setfit,0.7212468
30129000,setfit,0.72124094
34069990,setfit,0.7212303
34697637,setfit,0.7212277
26578559,setfit,0.7212209
27226167,setfit,0.7212183
25897329,setfit,0.7212172
21738677,setfit,0.72121465
23190929,setfit,0.7212055
32306927,setfit,0.72120523
31836830,setfit,0.72119737
29062930,setfit,0.72118676
24244550,setfit,0.72118354
23874400,setfit,0.7211835
30284211,setfit,0.72117776
33152092,setfit,0.72117674
21943350,setfit,0.7211589
24021384,setfit,0.72115564
25422781,setfit,0.72115415
28212602,setfit,0.7211492
30115066,setfit,0.7211473
23650583,setfit,0.7211461
21082429,setfit,0.7211261
34251419,setfit,0.7211229
28775335,setfit,0.7211202
23192552,setfit,0.72110564
24093729,setfit,0.72110546
25971816,setfit,0.72110295
25006225,setfit,0.72109824
21998740,setfit,0.7210958
22883983,setfit,0.72109306
32530465,setfit,0.72108614
21978789,setfit,0.72108275
28011869,setfit,0.72106975
24714636,setfit,0.721069
24099460,setfit,0.721066
27853519,setfit,0.7210612
26633997,setfit,0.7210505
32776019,setfit,0.72104764
31784525,setfit,0.72104347
28113723,setfit,0.7210418
34589187,setfit,0.7210295
27131383,setfit,0.7210149
21672956,setfit,0.72099507
26413258,setfit,0.720982
25712262,setfit,0.72098047
30247620,setfit,0.72097015
21352538,setfit,0.7209694
26527733,setfit,0.7209647
29056756,setfit,0.72095233
26578582,setfit,0.7209511
29106666,setfit,0.7209432
34510194,setfit,0.7209407
24174539,setfit,0.7209356
25324859,setfit,0.7209234
31278681,setfit,0.72091985
21948792,setfit,0.72091806
21791102,setfit,0.72091305
32311035,setfit,0.72091246
28053163,setfit,0.72091246
24137668,setfit,0.7209111
26896845,setfit,0.72090614
27883025,setfit,0.7209054
22086949,setfit,0.7208988
25610627,setfit,0.720895
29533392,setfit,0.7208923
24218206,setfit,0.72088635
31967818,setfit,0.7208761
33687724,setfit,0.7208685
31207407,setfit,0.7208679
24259684,setfit,0.7208578
31611808,setfit,0.7208563
31697362,setfit,0.72085464
30020436,setfit,0.72085214
30371820,setfit,0.7208496
30851277,setfit,0.72084254
29548284,setfit,0.7208365
31722416,setfit,0.720836
24237904,setfit,0.7208347
33597522,setfit,0.72083336
34815431,setfit,0.72082597
32983411,setfit,0.72082424
21914200,setfit,0.72082365
23965338,setfit,0.72082114
32256008,setfit,0.72080845
23677617,setfit,0.7208041
22982435,setfit,0.72079545
33961227,setfit,0.720785
32727974,setfit,0.72078425
32170312,setfit,0.72078276
23284086,setfit,0.7207793
26526709,setfit,0.72077763
28348848,setfit,0.72076446
32375409,setfit,0.72074956
30796988,setfit,0.7207493
33378370,setfit,0.7207342
30406744,setfit,0.7207324
21836824,setfit,0.7207289
31329125,setfit,0.72072077
25420108,setfit,0.72071564
33308175,setfit,0.7207149
29155446,setfit,0.720711
24677806,setfit,0.72069603
33676929,setfit,0.7206944
27769238,setfit,0.720691
25392415,setfit,0.72068685
24178033,setfit,0.7206819
30620343,setfit,0.7206767
24725682,setfit,0.72067595
28873253,setfit,0.72067565
22701464,setfit,0.72065073
32117432,setfit,0.7206428
23283513,setfit,0.7206386
30335862,setfit,0.7206357
24233784,setfit,0.72062165
33514746,setfit,0.72061753
30581839,setfit,0.72061443
28902397,setfit,0.7206081
24048354,setfit,0.7205947
23175606,setfit,0.72058004
33869695,setfit,0.72057
26551295,setfit,0.7205696
27864762,setfit,0.72056544
28448031,setfit,0.7205376
34604832,setfit,0.72053456
30421398,setfit,0.72052073
26615200,setfit,0.7205147
34384346,setfit,0.7205113
22403286,setfit,0.7205089
22171319,setfit,0.7205054
23028496,setfit,0.7205053
28651569,setfit,0.72050256
32286229,setfit,0.7204891
30821703,setfit,0.72047967
24338423,setfit,0.7204747
25243218,setfit,0.7204612
21247929,setfit,0.72045606
31577829,setfit,0.72045565
34270056,setfit,0.72044593
26521773,setfit,0.72044337
26029378,setfit,0.7204269
29277864,setfit,0.72041255
28830434,setfit,0.72040045
27742820,setfit,0.7203824
23640984,setfit,0.72037846
21818249,setfit,0.7203625
24928667,setfit,0.7203454
30971448,setfit,0.7203436
29165610,setfit,0.72033346
23244533,setfit,0.72032547
28111364,setfit,0.7203197
27446120,setfit,0.7203165
27141917,setfit,0.7203115
23943281,setfit,0.72030604
31029080,setfit,0.7202993
32401319,setfit,0.7202979
23418190,setfit,0.72029686
27898834,setfit,0.72028774
21550347,setfit,0.7202869
25024350,setfit,0.72028106
23193298,setfit,0.7202759
24165050,setfit,0.7202592
25291352,setfit,0.72025746
25708381,setfit,0.7202532
25097386,setfit,0.72023904
34521998,setfit,0.72023875
23951158,setfit,0.72023594
29092953,setfit,0.7202296
27115651,setfit,0.7202204
31551423,setfit,0.7202178
31461461,setfit,0.7202138
25785185,setfit,0.72020626
24890856,setfit,0.72020507
29086120,setfit,0.7202046
26392543,setfit,0.720202
25332013,setfit,0.7201961
23158523,setfit,0.72019356
30239664,setfit,0.72019225
32876441,setfit,0.72018236
33216894,setfit,0.7201734
34512300,setfit,0.7201725
27899654,setfit,0.7201699
22513995,setfit,0.72015893
34928054,setfit,0.72015554
31725865,setfit,0.7201537
33734357,setfit,0.720153
27052996,setfit,0.7201525
35047951,setfit,0.72013587
25897122,setfit,0.72013396
30321395,setfit,0.72013265
33526072,setfit,0.7201317
32986418,setfit,0.72012216
30371819,setfit,0.72010714
31647100,setfit,0.7201009
24324667,setfit,0.72009325
26852330,setfit,0.72008044
26812733,setfit,0.72007394
21898158,setfit,0.7200716
22942006,setfit,0.72005725
25432973,setfit,0.7200542
23758746,setfit,0.7200525
26666970,setfit,0.72004324
22672646,setfit,0.7200352
31724231,setfit,0.720035
23768135,setfit,0.72002906
27342282,setfit,0.7200186
31106360,setfit,0.7199945
27115627,setfit,0.71998876
21400696,setfit,0.7199873
29532461,setfit,0.71998656
34762797,setfit,0.7199765
26067382,setfit,0.71996987
23253942,setfit,0.7199682
25392426,setfit,0.71996444
26476454,setfit,0.7199564
26336143,setfit,0.7199336
31757212,setfit,0.7199241
32559296,setfit,0.7199086
23193269,setfit,0.719901
23994227,setfit,0.71988183
31346518,setfit,0.7198721
24810851,setfit,0.7198702
30052959,setfit,0.7198655
26624015,setfit,0.7198423
23761449,setfit,0.71984065
24772189,setfit,0.7198301
32934016,setfit,0.7198278
33166388,setfit,0.7198237
29156057,setfit,0.7198189
31250014,setfit,0.71981734
24903516,setfit,0.719802
21854560,setfit,0.71980095
29170835,setfit,0.7197984
27987164,setfit,0.7197975
31775760,setfit,0.71979594
33073517,setfit,0.71979284
33319816,setfit,0.7197891
26800861,setfit,0.719787
24608033,setfit,0.71976846
