name_modification_flags,ID,best_name,best_name_prob,best_common,best_common_prob,best_full,best_full_prob,article_count,extracted_url,extracted_url_status,extracted_url_country,extracted_url_coordinates,wayback_url,publication_date,affiliation,authors,grant_ids,grant_agencies,num_citations,affiliation_countries,best_name_original,url_validation,paper_titles,source_batch
TITLE_CAPITALIZED,"31239187, 33129577",pHLA3D,0.9984779,phla3d,0.9984779,,0.9984779,2,http://www.phla3d.com.br,200,United States,"(37.7621,-122.3971)",,2019-06-22,"Laboratory of Immunogenetics and Molecular Biology, Federal University of Piauí, Teresina, PI, Brazil.; Laboratory of Immunogenetics and Molecular Biology, Federal University of Piauí, Teresina, PI, Brazil.","Claudio Demes da Mata Sousa L, Coelho AGB, Costa JMS, Gilberto Borges Coelho A, Jamil Hadad do Monte S, Marroquim MSC, Martins Ramos R, Matheus Sousa Costa J, Melo Santos de Serpa Brandão R, Menezes Teles E Oliveira D, Miranda Pereira E, Ramos RM, Socorro da Silva A, Sérgio Coelho Marroquim M, Teles E Oliveira DM, Vanildo de Sousa Lima A, da Mata Sousa LCD, da Silva AS, das Chagas Alves Lima F, de Serpa Brandão RMS, de Sousa Lima AV, do Monte SJH",,Universidade Federal do Piauí,106.0,"Andorra, Brazil",phla3d,ok,"pHLA3D: An online database of predicted three-dimensional structures of HLA molecules. | pHLA3D: Updating the database of predicted three-dimensional structures of HLA with HLA-DR, HLA-DQ and HLA-DP molecules.",2010-2022
TITLE_CAPITALIZED,"30052798, 30052798",zfRegeneration,0.9963969,,0.9963969,zfregeneration,0.9963969,2,http://www.zfregeneration.org,200,United Kingdom,"(51.5085,-0.1257)",,2019-02-01,"Independent Researcher, Boxbergring 107, Heidelberg, Germany.; Independent Researcher, Boxbergring 107, Heidelberg, Germany.","Nieto-Arellano R, Sánchez-Iranzo H",,,40.0,Germany,zfregeneration,ok,zfRegeneration: a database for gene expression profiling during regeneration. | zfRegeneration: a database for gene expression profiling during regeneration.,2010-2022
CAPITALIZED,"22908213, 33221922",UCSC,0.79967725,ucsc,0.79967725,,0.79967725,2,http://genome.ucsc.edu,200,United States,"(37.3541,-121.9552)",,2012-08-20,"Center for Biomolecular Science and Engineering, University of California, Santa Cruz, 1156 High Street, Santa Cruz, CA 95064, USA. kuhn@soe.ucsc.edu; Genomics Institute, University of California Santa Cruz, Santa Cruz, CA 95064, USA.","Barber GP, Benet-Pagès A, Casper J, Clawson H, Diekhans M, Fernandes JD, Fyfe AC, Haeussler M, Haussler D, Hinrichs AS, Kent WJ, Kuhn RM, Lee BT, Lee CM, Maulding ND, Nassar LR, Navarro Gonzalez J, Powell CC, Raney BJ, Rosenbloom KR, Schmelter D, Speir ML, Zweig AS","090100, 1U41HG010972, 2017-171531, 2018-194093, 2020-0000000026, 5R01HG008742, 5R01HG010329, 5U41HG002371, 5U41HG007234, GC1R-06673-C, P01HG5062, P41HG002371, R00RG2456, R01 HG008742, R01 HG010329, RC2HD064525, U01 HG010971, U01 MH114825, U01DE20057, U01ES017154, U01HG004695, U01MH114825, U41 HG002371, U41 HG007234, U41 HG010972, U41HG004269, U41HG004568","California Institute for Regenerative Medicine, Center for Information Technology Research in the Interest of Society, Howard Hughes Medical Institute, NHGRI NIH HHS, NICHD NIH HHS, NIDCR NIH HHS, NIEHS NIH HHS, NIMH NIH HHS, National Human Genome Research Institute, National Institutes of Health, Silicon Valley Community Foundation, UCSC Baskin Endowed Chair Funds, University of California Office of the President Emergency",1125.0,"Andorra, United States",ucsc,ok,The UCSC genome browser and associated tools. | The UCSC Genome Browser database: 2021 update.,2010-2022
TITLE_CAPITALIZED,"24271396, 30976793",EMBL-EBI,0.99455833,embl-ebi,0.99455833,,0.99455833,2,http://www.ebi.ac.uk,200,United Kingdom,"(51.8797,-0.4175)",,2013-11-23,"European Molecular Biology Laboratory, European Bioinformatics Institute, Wellcome Trust Genome Campus, Hinxton, Cambridge CB10 1SD, UK.; European Molecular Biology Laboratory, European Bioinformatics Institute (EMBL-EBI), Wellcome Trust Genome Campus, Hinxton, Cambridge CB10 1SD, UK.","Apweiler R, Basutkar P, Bergman MT, Birney E, Brooksbank C, Buso N, Finn RD, Gur T, Lee J, Lopez R, Madeira F, Madhusoodanan N, Park YM, Potter SC, Thornton J, Tivey ARN",654039,"European Molecular Biology Laboratory, Wellcome Trust",3010.0,United Kingdom,embl-ebi,ok,The European Bioinformatics Institute's data resources 2014. | The EMBL-EBI search and sequence analysis tools APIs in 2019.,2010-2022
CAPITALIZED,"27899670, 30445434",GWAS,0.87147605,gwas,0.87147605,,0.87147605,2,http://www.ebi.ac.uk/gwas/,200,United Kingdom,"(51.8797,-0.4175)",,2016-11-29,"European Molecular Biology Laboratory, European Bioinformatics Institute, Wellcome Genome Campus, Hinxton, Cambridge, CB10 1SD, UK.; European Molecular Biology Laboratory, European Bioinformatics Institute, Wellcome Genome Campus, Hinxton, Cambridge CB10 1SD, UK.","Amode R, Bowler E, Buniello A, Burdett T, Cerezo M, Cunningham F, Flicek P, Gil L, Guillen JA, Hall P, Harris LW, Hastings E, Hayhurst J, Hindorff L, Hindorff LA, Junkins H, MacArthur J, MacArthur JAL, Malangone C, McMahon A, Milano A, Morales J, Mountjoy E, Parkinson H, Pendlington ZM, Riat HS, Sollis E, Suveges D, Trevanion SJ, Vrousgou O, Welter D, Whetzel PL","U41 HG006104, U41 HG007823, U41-HG007823, U54 HG004028","NHGRI NIH HHS, National Institutes of Health, Wellcome Trust",4558.0,United Kingdom,gwas,ok,"The new NHGRI-EBI Catalog of published genome-wide association studies (GWAS Catalog). | The NHGRI-EBI GWAS Catalog of published genome-wide association studies, targeted arrays and summary statistics 2019.",2010-2022
"CAPITALIZED,DISAMBIGUATED,QC_FIX_HIGH","25685613, 27899642",UCSC,0.7818854,csc,0.7818854,,0.7818854,2,http://genome.ucsc.edu/ebolaPortal/,200,United States,"(37.3541,-121.9552)",,2014-11-07,"CBSE, University of California Santa Cruz, Santa Cruz, California, USA.; Genomics Institute, University of California Santa Cruz, Santa Cruz, CA 95064, USA cath@ucsc.edu.","Barber GP, Casper J, Clawson H, Diekhans M, Eisenhart C, Fischer CM, Fujita PA, Gibson D, Gonzalez JN, Guruvadoo L, Haeussler M, Haussler D, Heitner S, Hinrichs AS, Karolchik D, Kent WJ, Kuhn RM, Lee BT, Lee CM, Nejad P, Raney BJ, Rosenbloom KR, Speir ML, Tyner C, Villarreal C, Vivian J, Zweig AS","090100, U24 HG002371, U41 HG002371, U54 HG007990","Howard Hughes Medical Institute, NHGRI NIH HHS",260.0,United States,csc,ok,The UCSC Ebola Genome Portal. | The UCSC Genome Browser database: 2017 update.,2010-2022
"DISAMBIGUATED,SMART_CAPITALIZED,QC_FIX_HIGH","24574175, 25159016, 26227301, 25407602, 26351202",LC-MS,0.6883858,,0.6883858,proteomexchange,0.6883858,5,http://proteomecentral.proteomexchange.org/dataset/PXD000363,200,United States,"(47.6062,-122.3321)",,2014-05-01,"Department of Molecular Biology and Immunology, University of North Texas Health Science Center, Fort Worth, TX, USA.; Departments of Biomedical Sciences, Medical Research Center, Seoul National University College of Medicine, Seoul, Korea; Biomedical Engineering, Medical Research Center, Seoul National University College of Medicine, Seoul, Korea; Institute of Medical & Biological Engineering, Medical Research Center, Seoul National University College of Medicine, Seoul, Korea.; Donnelly Centre for Cellular and Biomolecular Research, University of Toronto, Toronto, ON, Canada.; Biozentrum, University of Basel, Basel, Switzerland; Laboratory of Systems Biology and Genetics, Institute of Bioengineering, School of Life Sciences, Ecole Polytechnique Fédérale de Lausanne (EPFL), Lausanne, Switzerland.; Department of Clinical and Experimental Medicine, Cell Biology, Faculty of Medicine and Health Sciences, Linköping University, Linköping, Sweden.","Ahrné E, Apraiz I, Campos A, Cristobal S, Deplancke B, Domonkos I, Emili A, Foltz K, Garcia-Vedrenne AE, Gombos Z, Guo H, Hamelin R, Han D, Isserlin R, Jin J, Kim K, Kim Y, Kis M, Kuzmanov U, Lugowski A, Ma H, Miao Y, Moniatte M, Morada A, Prokai L, Simicevic J, Sun A, Talamantes T, Ughy B, Wan C, Yu J, da Fonseca RR","#10045352, 00007370, 2011-0030740, BK-0031, OTKA K82052, TAMOP 4.2.2.A-11/1/KONV-2012-0047","European Union Seventh Framework Program, Industrial Strategic Technology Development Program, Korea), Korean government [MISP], Marie Curie International Reintegration, Ministry of Knowledge Economy (MKE, National Research Foundation of Korea, Ontario Research Fund, Swiss National Science Foundation, Villum Fonden, Welch Foundation",62.0,"Andorra, Canada, Sweden, Switzerland, United States",proteomexchange,ok,"Label-free LC-MS/MS identification of phosphatidylglycerol-regulated proteins in Synechocystis sp. PCC6803. | Integrated approach using multistep enzyme digestion, TiO2 enrichment, and database search for in-depth phosphoproteomic profiling. | Phosphoproteomic network analysis in the sea urchin Strongylocentrotus purpuratus reveals new candidates in egg activation. | A mammalian transcription factor-specific peptide repository for targeted proteomics. | Shotgun analysis of the marine mussel Mytilus edulis hemolymph proteome and mapping the innate immunity elements.",2010-2022
POPULATED_FROM_URL,"29067135, 30088220",braingraph,0.0,,0.0,,0.0,2,http://braingraph.org,200,France,"(48.9751,8.1785)",,2017-06-20,"PIT Bioinformatics Group, Eötvös University, Budapest, 1117 Hungary.; PIT Bioinformatics Group, Eötvös University, H-1117, Budapest, Hungary. szalkai@pitgroup.org.","Grolmusz V, Kerepesi C, Szalkai B, Varga B","LP2012-19/2012, NKFI-126472, U54 MH091657","Emberi Eroforrások Minisztériuma, Magyar Tudományos Akadémia, NIMH NIH HHS, Nemzeti Kutatási és Technológiai Hivatal",32.0,Hungary,,ok,The braingraph.org database of high resolution structural connectomes and the brain graph tools. | Mapping correlations of psychological and structural connectome properties of the dataset of the human connectome project with the maximum spanning tree method.,2010-2022
CAPITALIZED,"23161693, 29140435",HMDB,0.9975249,hmdb,0.9975249,,0.9975249,2,http://www.hmdb.ca,200,Canada,"(45.3134,-73.8725)",,2012-11-17,"Department of Computing Science, University of Alberta, Edmonton, AB, Canada T6G 2E8. david.wishart@ualberta.ca; Department of Biological Sciences University of Alberta, Edmonton, AB T6G 2E9, Canada.","Allen F, Arndt D, Assempour N, Aziat F, Badran H, Berjanskii M, Bjorndahl T, Bouatra S, Djoumbou Y, Dong E, Eisner R, Feunang YD, Grant J, Greiner R, Guo AC, Jewison T, Johnson D, Karu N, Knox C, Li C, Liang K, Liang Y, Liu P, Liu Y, Lo E, Manach C, Mandal R, Marcu A, Neveu V, Perez-Pineiro R, Pon A, Sajed T, Sayeeda Z, Scalbert A, Serra-Cayuela A, Sinelnikov I, Singhal S, Vázquez-Fresno R, Wilson M, Wishart DS, Xia J, Yallou F",001,"Canadian Institutes of Health Research, World Health Organization",4405.0,Canada,hmdb,ok,HMDB 3.0--The Human Metabolome Database in 2013. | HMDB 4.0: the human metabolome database for 2018.,2010-2022
"CAPITALIZED,TITLE_CAPITALIZED","22013161, 24304894, 26673713, 30496479, 33219674",canSAR,0.9986829,cansar,0.9986829,,0.9986829,5,http://cansar.icr.ac.uk,200,United States,"(37.7621,-122.3971)",,2011-10-19,"Cancer Research UK Cancer Therapeutics Unit, Institute of Cancer Research, Haddow Laboratories, Belmont, Surrey SM2 5NG, UK.; Cancer Research UK Cancer Therapeutics Unit, The Institute of Cancer Research, London, SM2 5NG, UK.; Cancer Research UK Cancer Therapeutics Unit, The Institute of Cancer Research, London, SM2 5NG, UK.; Department of Data Science, The Institute of Cancer Research, London SM2 5NG, UK.; Department of Data Science, The Institute of Cancer Research, London SM2 5NG, UK.","Al-Lazikani B, Antolin AA, Bulusu KC, Campbell J, Che KH, Coker EA, Di Micco P, Dolciami D, Fernandez EV, Halling-Brown MD, Holt E, Kannas C, Komianou A, Mica IL, Mitsopoulos C, Ozer B, Patel M, Razaz P, Schierz AC, Tym JE, Villasclaras Fernandez E, Workman P","11566, 1237183, 204735/Z/16/Z, 23187, C309/A11566, C309/A25144, C309/A8274, C35696/A2318, C35696/A23187, WT204735/Z/16/Z, WT212969/Z/18/Z","CRUK Cancer Therapeutics Unit, Cancer Research UK, Henry Wellcome Research, ICR’s CRUK Cancer Therapeutic Unit, Medical Research Council, Sir Henry Wellcome, Wellcome Trust",280.0,United Kingdom,cansar,ok,canSAR: an integrated cancer public translational research and drug discovery resource. | canSAR: updated cancer research and drug discovery knowledgebase. | canSAR: an updated cancer research and drug discovery knowledgebase. | canSAR: update to the cancer translational research and drug discovery knowledgebase. | canSAR: update to the cancer translational research and drug discovery knowledgebase.,2010-2022
