inventory_row_id,best_name,extracted_url,source_batch,inventory_pmid,match_type,confidence,baseline_resource_id,baseline_short_name,baseline_full_name,is_gcbr,recommendation,user_decision
13,LC-MS,http://proteomecentral.proteomexchange.org/dataset/PXD000363,2010-2022,"24574175, 25159016, 26227301, 25407602, 26351202",NO_MATCH,0.0,,,,,NEW_RESOURCE,
14,braingraph,http://braingraph.org,2010-2022,"29067135, 30088220",NO_MATCH,0.0,,,,,NEW_RESOURCE,
15,HMDB,http://www.hmdb.ca,2010-2022,"23161693, 29140435",NAME_EXACT,0.95,8344,HMDB,,0,LIKELY_IN_BASELINE,
16,canSAR,http://cansar.icr.ac.uk,2010-2022,"22013161, 24304894, 26673713, 30496479, 33219674",NAME_EXACT,0.95,4593,canSAR,,0,LIKELY_IN_BASELINE,
17,BioStudies,http://www.ebi.ac.uk/biostudies,2010-2022,29069414,PMID,1.0,8384,BioStudies,,0,IN_BASELINE,
18,Planteome,http://www.planteome.org,2010-2022,29186578,PMID,1.0,8382,Planteome,,1,IN_BASELINE,
19,OncoKB,http://oncokb.org/,2010-2022,28890946,PMID,1.0,8393,OncoKB,Oncology Knowledge Base,0,IN_BASELINE,
20,UALCAN,http://ualcan.path.uab.edu,2010-2022,28732212,NAME_EXACT,0.95,6822,UALCAN,,0,LIKELY_IN_BASELINE,
21,GlycoStore,http://www.glycostore.org,2010-2022,29897488,NAME_EXACT,0.95,7575,GlycoStore,,0,LIKELY_IN_BASELINE,
22,UniProt,http://www.ebi.ac.uk/GOA,2010-2022,22123736,PMID,1.0,7096,GOA,Gene Ontology Annotation,0,IN_BASELINE,
23,PDB,http://www.eppic-web.org/ewui/\#downloads,2010-2022,25326082,NAME_EXACT,0.95,8357,PDB,Worldwide Protein Data Bank organization,1,LIKELY_IN_BASELINE,
24,EpiFactors,http://epifactors.autosome.ru,2010-2022,26153137,NAME_EXACT,0.95,5090,EpiFactors,,0,LIKELY_IN_BASELINE,
25,Cellosaurus,https://web.expasy.org/cellosaurus/,2010-2022,"29805321, 31444973",NAME_EXACT,0.95,8373,Cellosaurus,,1,LIKELY_IN_BASELINE,
26,dbPepNeo,http://www.biostatistics.online/dbPepNeo/,2010-2022,32090262,NAME_EXACT,0.95,7058,dbPepNeo,,0,LIKELY_IN_BASELINE,
27,CSCS,http://bioinfo.cemps.ac.cn/CSCS/,2010-2022,36311809,NO_MATCH,0.0,,,,,NEW_RESOURCE,
28,ORFik,http://bioconductor.org/packages/ORFik,2010-2022,34147079,NO_MATCH,0.0,,,,,NEW_RESOURCE,
29,SAROTUP,http://i.uestc.edu.cn/sarotup3,2010-2022,31337975,NO_MATCH,0.0,,,,,NEW_RESOURCE,
30,CircadiOmics,http://circadiomics.ics.uci.edu,2010-2022,29912458,NAME_EXACT,0.95,4577,CircadiOmics,,0,LIKELY_IN_BASELINE,
31,RepeatsDB,http://protein.bio.unipd.it/repeatsdb-lite,2010-2022,29746699,NAME_EXACT,0.95,6350,RepeatsDB,,0,LIKELY_IN_BASELINE,
32,BioSample Database,http://www.ebi.ac.uk/biosamples,2010-2022,22096232,PMID,1.0,7245,BioSamples,BioSample Database,0,IN_BASELINE,
33,OncoPaD,http://www.intogen.org/oncopad,2010-2022,27716338,NO_MATCH,0.0,,,,,NEW_RESOURCE,
34,Proxl,http://proxl-ms.org/,2010-2022,30525651,NO_MATCH,0.0,,,,,NEW_RESOURCE,
35,UGENE,http://ugene.net/download.html,2010-2022,"26527191, 30358807",NO_MATCH,0.0,,,,,NEW_RESOURCE,
36,LIVECAT,http://www.thecatkorea.com/,2010-2022,33401349,NO_MATCH,0.0,,,,,NEW_RESOURCE,
37,PSICQUIC,http://www.ebi.ac.uk/Tools/webservices/psicquic/view/main.xhtml,2010-2022,23671334,NO_MATCH,0.0,,,,,NEW_RESOURCE,
38,CTD,http://ctd.mdibl.org/,2010-2022,22125387,NAME_EXACT,0.95,4821,CTD,Comparative Toxicogenomics Database,0,LIKELY_IN_BASELINE,
39,OASIS,https://db.tt/yYTZYCga,2010-2022,26907748,NO_MATCH,0.0,,,,,NEW_RESOURCE,
40,ProteinHistorian,http://lighthouse.ucsf.edu/ProteinHistorian/,2010-2022,22761559,NO_MATCH,0.0,,,,,NEW_RESOURCE,
41,CDAO-store,http://www.cs.nmsu.edu/~cdaostore,2010-2022,21496247,NO_MATCH,0.0,,,,,NEW_RESOURCE,
42,MetaboAnalyst,http://metaboanalyst.ca,2010-2022,29762782,NO_MATCH,0.0,,,,,NEW_RESOURCE,
43,CIViC,http://bionlp.bcgsc.ca/civicmine/,2010-2022,31796060,NAME_EXACT,0.95,8374,CIViC,Clinical Interpretation of Variants in Cancer,1,LIKELY_IN_BASELINE,
44,CLRP,https://physics.carleton.ca/clrp/egs_brachy/seed_database_v2,2010-2022,"32436344, 33735471",NAME_EXACT,0.95,5951,CLRP,,0,LIKELY_IN_BASELINE,
45,IRD,https://www.retina.com.pt,2010-2022,33109251,NAME_EXACT,0.95,7099,IRD,Influenza Research Database,0,LIKELY_IN_BASELINE,
46,CSA,http://www.ebi.ac.uk/thornton-srv/m-csa,2010-2022,29106569,NAME_EXACT,0.95,7156,CSA,Catalytic Site Atlas,0,LIKELY_IN_BASELINE,
47,AusTraits,http://www.worldagroforestry.org/output/wood-density-database,2010-2022,34593819,NO_MATCH,0.0,,,,,NEW_RESOURCE,
48,GloNAF,http://www.theplantlist.org/,2010-2022,30341991,NO_MATCH,0.0,,,,,NEW_RESOURCE,
49,ORIO,https://orio.niehs.nih.gov/,2010-2022,28402545,NO_MATCH,0.0,,,,,NEW_RESOURCE,
50,ConnecTF,https://ConnecTF.org,2010-2022,33631799,NO_MATCH,0.0,,,,,NEW_RESOURCE,
51,snoDB,http://scottgroup.med.usherbrooke.ca/snoDB/,2010-2022,31598696,NAME_EXACT,0.95,4160,snoDB,,0,LIKELY_IN_BASELINE,
52,MaizeSNPDB,http://150.109.59.144:3838/MaizeSNPDB/,2010-2022,31762961,NO_MATCH,0.0,,,,,NEW_RESOURCE,
53,APICURON,https://apicuron.org,2010-2022,33882120,NO_MATCH,0.0,,,,,NEW_RESOURCE,
54,SolRgene,http://www.plantbreeding.wur.nl/SolRgenes,2010-2022,21851635,NO_MATCH,0.0,,,,,NEW_RESOURCE,
55,RegenBase,http://regenbase.org,2010-2022,27055827,NO_MATCH,0.0,,,,,NEW_RESOURCE,
56,Ontobee,http://www.ontobee.org/,2010-2022,27733503,NO_MATCH,0.0,,,,,NEW_RESOURCE,
57,Vaxvec,http://www.violinet.org/vaxvec,2010-2022,26403370,NO_MATCH,0.0,,,,,NEW_RESOURCE,
58,WHONDRS,https://whondrs.pnnl.gov/,2010-2022,30320221,NO_MATCH,0.0,,,,,NEW_RESOURCE,
59,BADERI,http://www.baderi.com/login.php,2010-2022,28610638,NO_MATCH,0.0,,,,,NEW_RESOURCE,
60,FishNET,http://www.wythelab.com/wythe-lab-databases,2010-2022,31220074,NO_MATCH,0.0,,,,,NEW_RESOURCE,
61,DGVa,http://www.ncbi.nlm.nih.gov/dbvar,2010-2022,23193291,PMID,1.0,7124,DGVa,,0,IN_BASELINE,
62,BindingDB,http://www.bindingdb.org,2010-2022,26481362,NO_MATCH,0.0,,,,,NEW_RESOURCE,
63,PINOT,http://www.reading.ac.uk/bioinf/PINOT/PINOT_form.html,2010-2022,32527260,NO_MATCH,0.0,,,,,NEW_RESOURCE,
64,IMG,http://www.hmpdacc-resources.org/img_hmp,2010-2022,22194640,NO_MATCH,0.0,,,,,NEW_RESOURCE,
65,Saccharomyces Genome Database,http://itunes.com/apps/yeastgenome,2010-2022,23396302,NAME_EXACT,0.95,7891,SGD,Saccharomyces Genome Database,1,LIKELY_IN_BASELINE,
66,bio.tools,https://jib.tools,2010-2022,31913853,NAME_EXACT,0.95,4097,bio.tools,,0,LIKELY_IN_BASELINE,
67,OPL,http://purl.obolibrary.org/obo/opl.owl,2010-2022,22621763,NO_MATCH,0.0,,,,,NEW_RESOURCE,
68,SCOP,http://scop2.mrc-lmb.cam.ac.uk/,2010-2022,24293656,NAME_EXACT,0.95,6543,SCOP,Structural Classification of Proteins,0,LIKELY_IN_BASELINE,
69,HAMAP,http://hamap.expasy.org/,2010-2022,"23193261, 25348399",NO_MATCH,0.0,,,,,NEW_RESOURCE,
70,Colil,http://colil.dbcls.jp/sparql,2010-2022,26500753,NO_MATCH,0.0,,,,,NEW_RESOURCE,
71,Cistrome Data Browser,http://cistrome.org/db,2010-2022,30462313,PMID,1.0,8162,Cistrome DB,Cistrome Data Browser,0,IN_BASELINE,
72,TCGA,https://trfexplorer.cloud/,2010-2022,31735953,NAME_EXACT,0.95,8392,TCGA,The Cancer Genome Atlas,0,LIKELY_IN_BASELINE,
73,RAEdb,http://www.computationalbiology.cn/RAEdb/index.php,2010-2022,30624654,NAME_FUZZY,0.889,6916,RADB,Database of Rheumatoid Arthritis-related Polymorphisms,0,REVIEW,
74,CDEK,http://cdek.wustl.edu,2010-2022,31411687,NO_MATCH,0.0,,,,,NEW_RESOURCE,
75,circ2GO,https://circ2GO.dkfz.de,2010-2022,33066523,NO_MATCH,0.0,,,,,NEW_RESOURCE,
76,ZEBrA,http://www.zebrafinchatlas.org,2010-2022,32037563,NO_MATCH,0.0,,,,,NEW_RESOURCE,
77,SEAweb,http://sea.ims.bio/,2010-2022,31598718,NO_MATCH,0.0,,,,,NEW_RESOURCE,
78,GIDB,http://bmtongji.cn/GIDB/index.html,2010-2022,31089686,NAME_FUZZY,0.889,4660,DGIdb,Drug-Gene Interaction database,0,REVIEW,
79,HIPPIE,http://cbdm.uni-mainz.de/hippie/,2010-2022,27794551,NO_MATCH,0.0,,,,,NEW_RESOURCE,
80,WholeCellSimDB,http://www.wholecellsimdb.org,2010-2022,25231498,NO_MATCH,0.0,,,,,NEW_RESOURCE,
81,NoCoCoDa,https://www.who.int/emergencies/diseases/novel-coronavirus-2019,2010-2022,34786285,NO_MATCH,0.0,,,,,NEW_RESOURCE,
82,LungMAP,http://www.lungmap.net,2010-2022,28798251,NO_MATCH,0.0,,,,,NEW_RESOURCE,
83,TiRe,http://www.tiredb.org,2010-2022,27049721,NAME_FUZZY,0.857,5487,TIE,Tumor IsomiR Encyclopedia,0,REVIEW,
84,MANTA,https://mizuguchilab.org/manta/,2010-2022,33275647,NAME_FUZZY,0.909,5601,MANTRA,,0,REVIEW,
85,SASBDB,http://www.sasbdb.org,2010-2022,"25352555, 31576635",NO_MATCH,0.0,,,,,NEW_RESOURCE,
86,dbEM,http://crdd.osdd.net/raghava/dbem,2010-2022,26777304,NAME_FUZZY,0.889,4681,dbEMT,,0,REVIEW,
87,PACSY,http://pacsy.nmrfam.wisc.edu,2010-2022,22903636,NO_MATCH,0.0,,,,,NEW_RESOURCE,
88,VIRMISCO,http://cms.virmisco.org/index.php/manual.html,2010-2022,29706780,NO_MATCH,0.0,,,,,NEW_RESOURCE,
89,NDEx,https://www.ndexbio.org,2010-2022,34570431,NO_MATCH,0.0,,,,,NEW_RESOURCE,
90,MiGA,http://microbial-genomes.org/,2010-2022,29905870,NAME_FUZZY,0.857,4499,MGA,Mass Genome Annotation repository,0,REVIEW,
91,SymbioGenomesDB,http://symbiogenomesdb.uv.es,2010-2022,26607947,PMID,1.0,6775,SymGenDB,Symbiotic Genomes Database,0,IN_BASELINE,
92,ZebraShare,https://zfin.org/action/zebrashare,2010-2022,33954026,NO_MATCH,0.0,,,,,NEW_RESOURCE,
93,Sci-Hub,https://greenelab.github.io/scihub,2010-2022,29424689,NO_MATCH,0.0,,,,,NEW_RESOURCE,
94,ModBase,http://www.proteinmodelportal.org/,2010-2022,24271400,NAME_FUZZY,0.933,8080,tModBase,,0,REVIEW,
95,ProXL,http://yeastrc.org/proxl_docs/,2010-2022,27302480,NO_MATCH,0.0,,,,,NEW_RESOURCE,
96,ExpressHeart,http://shiny.bios.unc.edu/expressheart/,2010-2022,34445647,NO_MATCH,0.0,,,,,NEW_RESOURCE,
97,DAPD,http://www.mkarthikeyan.bioinfoau.org/dapd,2010-2022,26357271,NAME_FUZZY,0.889,3758,DAMPD,Dragon Antimicrobial Peptide Database,0,REVIEW,
98,PathBank,http://www.pathbank.org,2010-2022,31602464,NO_MATCH,0.0,,,,,NEW_RESOURCE,
99,SMID,https://osf.io/2rqad/,2010-2022,29364985,NO_MATCH,0.0,,,,,NEW_RESOURCE,
100,Epistemonikos,http://www.epistemonikos.org,2010-2022,23920602,NO_MATCH,0.0,,,,,NEW_RESOURCE,
101,Microgreen-23sdatabase,http://microgreen-23sdatabase.ea.inra.fr,2010-2022,32246067,NO_MATCH,0.0,,,,,NEW_RESOURCE,
102,WGE,http://www.sanger.ac.uk/htgt/wge,2010-2022,25979474,NO_MATCH,0.0,,,,,NEW_RESOURCE,
103,OpenDose,http://www.opendose.org,2010-2022,32169912,NO_MATCH,0.0,,,,,NEW_RESOURCE,
104,PROGgeneV2,http://www.compbio.iupui.edu/proggene,2010-2022,25518851,NO_MATCH,0.0,,,,,NEW_RESOURCE,
105,Viral Host Range database,https://viralhostrangedb.pasteur.cloud,2010-2022,33594411,PMID,1.0,7036,Viral Host Range database,Viral Host Range database,0,IN_BASELINE,
106,IMEx,https://www.ebi.ac.uk/intact,2010-2022,33206959,PMID,1.0,7352,IntAct,,0,IN_BASELINE,
107,PrimerBank,http://www.flyrnai.org/flyprimerbank,2010-2022,23893746,NAME_EXACT,0.95,5788,PrimerBank,,0,LIKELY_IN_BASELINE,
108,ProteomeXchange,http://www.proteomexchange.org,2010-2022,"31686107, 33995478",NAME_EXACT,0.95,8383,ProteomeXchange,,1,LIKELY_IN_BASELINE,
109,NAChRDB,https://crocodile.ncbr.muni.cz/Apps/NAChRDB/,2010-2022,34549102,NO_MATCH,0.0,,,,,NEW_RESOURCE,
110,ConTEdb,http://genedenovoweb.ticp.net:81/conTEdb/index.php,2010-2022,30576494,NO_MATCH,0.0,,,,,NEW_RESOURCE,
111,PreMedKB,http://www.fudan-pgx.org/premedkb/index.html#/home,2010-2022,30407536,NO_MATCH,0.0,,,,,NEW_RESOURCE,
112,RJunBase,http://www.RJunBase.org,2010-2022,33179749,NO_MATCH,0.0,,,,,NEW_RESOURCE,
113,PncStress,http://bis.zju.edu.cn/pncstress,2010-2022,32185394,NO_MATCH,0.0,,,,,NEW_RESOURCE,
114,PlantPepDB,http://www.nipgr.ac.in/PlantPepDB/,2010-2022,32042035,NO_MATCH,0.0,,,,,NEW_RESOURCE,
115,EvoDB,http://www.bioinf.wits.ac.za/software/fire/evodb,2010-2022,26140928,NO_MATCH,0.0,,,,,NEW_RESOURCE,
116,BioUML,http://www.biouml.org,2010-2022,31131402,NO_MATCH,0.0,,,,,NEW_RESOURCE,
117,RMDisease,http://www.xjtlu.edu.cn/biologicalsciences/rmd,2010-2022,33010174,NO_MATCH,0.0,,,,,NEW_RESOURCE,
118,UMD-DYSF,http://www.umd.be/DYSF/,2010-2022,22213072,NO_MATCH,0.0,,,,,NEW_RESOURCE,
119,RadishGD,http://radish-genome.org,2010-2022,30722041,NO_MATCH,0.0,,,,,NEW_RESOURCE,
120,RegenDbase,https://regenDbase.org,2010-2022,29872545,NO_MATCH,0.0,,,,,NEW_RESOURCE,
121,AnnoTree,http://annotree.uwaterloo.ca,2010-2022,31081040,NO_MATCH,0.0,,,,,NEW_RESOURCE,
122,BastionHub,http://bastionhub.erc.monash.edu/,2010-2022,33084862,NO_MATCH,0.0,,,,,NEW_RESOURCE,
123,PhenCards,https://phencards.org,2010-2022,34034817,NO_MATCH,0.0,,,,,NEW_RESOURCE,
124,PMD,http://www.proteinmicroarray.cn,2010-2022,26813635,NAME_FUZZY,0.857,4098,PSMD,Pan-Species Microsatellite Database,0,REVIEW,
125,GDSC,http://www.cancerRxgene.org,2010-2022,23180760,NAME_FUZZY,0.889,4966,GDISC,,0,REVIEW,
126,ReCount,http://bowtie-bio.sf.net/recount,2010-2022,22087737,NAME_FUZZY,0.933,6584,recount3,,0,REVIEW,
127,BRC4Env,https://www.brc4env.fr/,2010-2022,29675816,NO_MATCH,0.0,,,,,NEW_RESOURCE,
128,LEAFDATA,http://www.leafdata.org,2010-2022,26884807,NO_MATCH,0.0,,,,,NEW_RESOURCE,
129,INFRAFRONTIER,http://www.infrafrontier.eu,2010-2022,27262858,NO_MATCH,0.0,,,,,NEW_RESOURCE,
130,MiGD,https://mikan.dna.affrc.go.jp,2010-2022,32523402,NAME_FUZZY,0.857,8099,MGD,Mouse Genome Database,1,REVIEW,
131,Cov19VaxKB,http://www.violinet.org/cov19vaxkb/,2010-2022,34981039,NO_MATCH,0.0,,,,,NEW_RESOURCE,
132,Plana,http://www.obofoundry.org/ontology/plana.html,2010-2022,34318308,NO_MATCH,0.0,,,,,NEW_RESOURCE,
133,RNAmod,https://bioinformatics.sc.cn/RNAmod,2010-2022,31147718,NAME_FUZZY,0.857,4697,siRNAmod,,0,REVIEW,
134,Gephebase,http://www.gephebase.org,2010-2022,31544935,NO_MATCH,0.0,,,,,NEW_RESOURCE,
135,FoldAtlas,http://www.foldatlas.com,2010-2022,27663500,NO_MATCH,0.0,,,,,NEW_RESOURCE,
136,COMODI,http://comodi.sems.uni-rostock.de/,2010-2022,27401413,NO_MATCH,0.0,,,,,NEW_RESOURCE,
137,ProBiS-database,http://probis.cmm.ki.si/database,2010-2022,22268964,PMID,1.0,6192,ProBiS-Database,,0,IN_BASELINE,
138,KinaMetrix,http://KinaMetrix.com,2010-2022,30321373,NO_MATCH,0.0,,,,,NEW_RESOURCE,
139,rPredictorDB,http://rpredictordb.elixir-czech.cz,2010-2022,31032840,NO_MATCH,0.0,,,,,NEW_RESOURCE,
140,PROTICdb,http://moulon.inra.fr/protic/public,2010-2022,23468041,NO_MATCH,0.0,,,,,NEW_RESOURCE,
141,Taxallnomy,http://bioinfo.icb.ufmg.br/taxallnomy,2010-2022,34325658,NO_MATCH,0.0,,,,,NEW_RESOURCE,
142,VariED,http://varied.cgm.ntu.edu.tw/,2010-2022,31317185,NO_MATCH,0.0,,,,,NEW_RESOURCE,
143,BaMBa,https://marinebiodiversity.lncc.br,2010-2022,26454874,NO_MATCH,0.0,,,,,NEW_RESOURCE,
144,iPSCORE,http://www.wicell.org,2010-2022,28410642,NO_MATCH,0.0,,,,,NEW_RESOURCE,
145,BioDataome,http://dataome.mensxmachina.org/,2010-2022,29688366,NO_MATCH,0.0,,,,,NEW_RESOURCE,
146,KMAP,https://www.cbrc.kaust.edu.sa/aamg/kmap.start,2010-2022,34075103,NAME_FUZZY,0.857,6571,MAP,microRNA Analysis Portal,0,REVIEW,
147,ParaDB,https://cloud.docker.com/u/paradb/,2010-2022,31306428,NAME_FUZZY,0.857,6636,TparvaDB,,0,REVIEW,
148,BrainLiner,http://brainliner.jp/data/brainliner/Rat_Eye_Stimulation,2010-2022,26858636,NO_MATCH,0.0,,,,,NEW_RESOURCE,
149,Pulotu,http://www.pulotu.com,2010-2022,26398231,NO_MATCH,0.0,,,,,NEW_RESOURCE,
150,KoVariome,http://koreangenome.org,2010-2022,29618732,NO_MATCH,0.0,,,,,NEW_RESOURCE,
151,Cellminercdb,https://discover.nci.nih.gov/cellminercdb/,2010-2022,30553813,NO_MATCH,0.0,,,,,NEW_RESOURCE,
152,LM-GlycomeAtlas,https://glycosmos.org/lm_glycomeatlas/index,2010-2022,33657805,NO_MATCH,0.0,,,,,NEW_RESOURCE,
153,mvTool,https://mseqdr.org/mvtool.php,2010-2022,29539190,NO_MATCH,0.0,,,,,NEW_RESOURCE,
154,EDGAR3.0,http://edgar3.computational.bio,2010-2022,33988716,NO_MATCH,0.0,,,,,NEW_RESOURCE,
155,mzIdentML,http://www.psidev.info/mzidentml,2010-2022,28515314,NO_MATCH,0.0,,,,,NEW_RESOURCE,
156,LISA,https://www.scb.se/LISA/,2010-2022,30929112,NAME_FUZZY,0.857,5388,LIS,Legume Information System,0,REVIEW,
157,HCOP,https://vertebrate.genenames.org,2010-2022,33959747,NO_MATCH,0.0,,,,,NEW_RESOURCE,
158,EudraVigilance,https://ec.europa.eu/health/documents/eudralex/vol-1_en,2010-2022,29520645,NO_MATCH,0.0,,,,,NEW_RESOURCE,
159,C-It-Loci,http://c-it-loci.uni-frankfurt.de,2010-2022,26163692,NO_MATCH,0.0,,,,,NEW_RESOURCE,
160,ChloroMitoSSRDB,http://www.mcr.org.in/chloromitossrdb,2010-2022,"23284085, 26412851",NO_MATCH,0.0,,,,,NEW_RESOURCE,
161,Synteny Portal,http://bioinfo.konkuk.ac.kr/synteny_portal,2010-2022,27154270,NO_MATCH,0.0,,,,,NEW_RESOURCE,
162,PIIKA 2,http://saphire.usask.ca,2010-2022,24312246,NO_MATCH,0.0,,,,,NEW_RESOURCE,
163,expVIP,http://www.wheat-expression.com,2010-2022,26869702,NO_MATCH,0.0,,,,,NEW_RESOURCE,
164,AVIA,https://avia-abcc.ncifcrf.gov,2010-2022,33289511,NO_MATCH,0.0,,,,,NEW_RESOURCE,
165,PanDrugs2,http://www.pandrugs.org,2010-2022,29848362,NO_MATCH,0.0,,,,,NEW_RESOURCE,
166,Molecular Database on Indian Insects,http://cib.res.in,2010-2022,29618898,PMID,1.0,4509,MODII,MOlecular Database on Indian Insects,0,IN_BASELINE,
167,COVID-ONE-hi,http://www.COVID-ONE.cn,2010-2022,34748989,NO_MATCH,0.0,,,,,NEW_RESOURCE,
168,GigaTON,http://gigaton.sigenae.org,2010-2022,26627443,NO_MATCH,0.0,,,,,NEW_RESOURCE,
169,Pathogenwatch,https://pathogen.watch/ngonorrhoeae,2010-2022,33875000,NO_MATCH,0.0,,,,,NEW_RESOURCE,
170,Iranome,http://www.iranome.com,2010-2022,31343797,NO_MATCH,0.0,,,,,NEW_RESOURCE,
171,CellMiner,http://discover.nci.nih.gov/cellminer/,2010-2022,22802077,NAME_FUZZY,0.889,8045,Cellinker,,0,REVIEW,
172,Legume information system,http://legumeinfo.org,2010-2022,26546515,PMID,1.0,5388,LIS,Legume Information System,0,IN_BASELINE,
173,Glutantase,http://bioinfo.dcc.ufmg.br/glutantbase,2010-2022,32611314,NO_MATCH,0.0,,,,,NEW_RESOURCE,
174,WormQTL,http://www.wormqtl-hd.org,2010-2022,24217915,NAME_EXACT,0.95,7924,WormQTL,,0,LIKELY_IN_BASELINE,
175,BioTextQuest,http://bioinformatics.med.uoc.gr/biotextquest,2010-2022,25100685,NO_MATCH,0.0,,,,,NEW_RESOURCE,
176,harmonizome,http://amp.pharm.mssm.edu/Harmonizome,2010-2022,27374120,NO_MATCH,0.0,,,,,NEW_RESOURCE,
177,COSMOS,https://cosmosdb.eu/cosmosdb.v2/,2010-2022,34405124,NO_MATCH,0.0,,,,,NEW_RESOURCE,
178,Bgee,https://www.bioconductor.org/packages/BgeeDB/,2010-2022,30467516,NAME_EXACT,0.95,4120,Bgee,,1,LIKELY_IN_BASELINE,
179,DMD,http://edystrophin.genouest.org/,2010-2022,22776072,NAME_EXACT,0.95,6476,DMD,Dietary MicroRNA Databases,0,LIKELY_IN_BASELINE,
180,LINCS,http://www.maayanlab.net/LINCS/LCB,2010-2022,24906883,NAME_EXACT,0.95,5454,LINCS,of Integrated Network-Based Cellular Signatures,0,LIKELY_IN_BASELINE,
181,DMD,http://umd.be/TREAT_DMD/,2010-2022,25604253,NAME_EXACT,0.95,6476,DMD,Dietary MicroRNA Databases,0,LIKELY_IN_BASELINE,
182,TCGA,http://bioinformatics.mdanderson.org/TCGASpliceSeq,2010-2022,26602693,NAME_EXACT,0.95,8392,TCGA,The Cancer Genome Atlas,0,LIKELY_IN_BASELINE,
183,prokaryotes,https://www.pubapps.vcu.edu/epath/,2010-2022,31506471,NAME_EXACT,0.95,4756,dbPSP,prokaryotes,0,LIKELY_IN_BASELINE,
184,NEPdb,http://nep.whu.edu.cn/,2010-2022,33927717,NO_MATCH,0.0,,,,,NEW_RESOURCE,
185,ClinEpiDB,https://clinepidb.org,2010-2022,32047873,NO_MATCH,0.0,,,,,NEW_RESOURCE,
186,IRNdb,http://irndb.org,2010-2022,31414702,NO_MATCH,0.0,,,,,NEW_RESOURCE,
187,BacFITBase,http://www.tartaglialab.com/bacfitbase,2010-2022,31665505,NO_MATCH,0.0,,,,,NEW_RESOURCE,
188,OncoVar,https://oncovar.org/,2010-2022,33179738,NO_MATCH,0.0,,,,,NEW_RESOURCE,
189,OncomiR,http://www.oncomir.org,2010-2022,29028907,NAME_FUZZY,0.875,4003,oncomiRDB,,0,REVIEW,
190,dbTMM,http://www.megabank.tohoku.ac.jp/english/a201201/,2010-2022,34887386,NO_MATCH,0.0,,,,,NEW_RESOURCE,
191,eRepo-ORP,https://osf.io/qdjup/,2010-2022,29237557,NO_MATCH,0.0,,,,,NEW_RESOURCE,
192,ADReCS-Target,http://bioinf.xmu.edu.cn/ADReCS-Target,2010-2022,30053268,NO_MATCH,0.0,,,,,NEW_RESOURCE,
193,ADEIP,http://geneyun.net/ADEIP,2010-2022,34254996,NO_MATCH,0.0,,,,,NEW_RESOURCE,
194,FuncPEP,https://bioinformatics.mdanderson.org/Supplements/FuncPEP/,2010-2022,32977531,NO_MATCH,0.0,,,,,NEW_RESOURCE,
195,PK-DB,https://pk-db.com,2010-2022,33151297,NO_MATCH,0.0,,,,,NEW_RESOURCE,
196,INTERSPIA,http://bioinfo.konkuk.ac.kr/INTERSPIA/,2010-2022,29746660,NO_MATCH,0.0,,,,,NEW_RESOURCE,
197,YeasTSS,http://www.yeastss.org,2010-2022,31032841,NO_MATCH,0.0,,,,,NEW_RESOURCE,
