"row_num","best_name","paper_titles","best_name_updated","full_name_updated","confidence","notes"
"18","Rossmann-toolbox","Rossmann-toolbox: a deep learning-based protocol for the prediction and design of cofactor specificity in Rossmann fold proteins.","Rossmann-toolbox","Rossmann-toolbox","HIGH","No expansion in title"
"19","ipidFun","LipidFun: a database of lipid functions.","LipidFun","LipidFun","HIGH","No expansion in title"
"20","spoke","Biomedical knowledge graph-optimized prompt generation for large language models.","spoke","spoke","HIGH","No expansion in title"
"21","DiffPROTACs","DiffPROTACs is a deep learning-based generator for proteolysis targeting chimeras.","DiffPROTACs","DiffPROTACs","HIGH","No expansion in title"
"22","Phenotyping And Regional Analysis Of Histology","PHARAOH: A collaborative crowdsourcing platform for phenotyping and regional analysis of histology.","PHARAOH","PHARAOH","HIGH","No expansion in title"
"23","of Genes Related to Repeat","DRED: A Comprehensive Database of Genes Related to Repeat Expansion Diseases.","DRED","DRED","HIGH","No expansion in title"
"24","ClinGen Variant Curation Interface","ClinGen Variant Curation Interface: a variant classification platform for the application of evidence criteria from ACMG/AMP guidelines.","ClinGen Variant Curation Interface","ClinGen Variant Curation Interface","HIGH","Already descriptive name"
"25","Practical Haplotype Graph","The Practical Haplotype Graph, a platform for storing and using pangenomes for imputation.","Practical Haplotype Graph","Practical Haplotype Graph","HIGH","Already descriptive name"
"26","Neurophysiology","The two decades brainclinics research archive for insights in neurophysiology (TDBRAIN) database.","TDBRAIN","TDBRAIN","HIGH","No expansion in title"
"27","REAT","rGREAT: an R/bioconductor package for functional enrichment on genomic regions.","rGREAT","rGREAT","HIGH","No expansion in title"
"28","edTator","MedTator: a serverless annotation tool for corpus development.","MedTator","MedTator","HIGH","No expansion in title"
"29","PApred","GPApred: The first computational predictor for identifying proteins with LPXTG-like motif using sequence-based optimal features.","GPApred","GPApred","HIGH","No expansion in title"
"30","JGI","JGI Plant Gene Atlas: an updateable transcriptome resource to improve functional gene descriptions across the plant kingdom.","JGI Plant Gene Atlas","JGI Plant Gene Atlas","HIGH","No expansion in title"
"31","Operon Finder","Operon Finder: A Deep Learning-based Web Server for Accurate Prediction of Prokaryotic Operons.","Operon Finder","Operon Finder","HIGH","No expansion in title"
"32","Reference Implementation","Beacon v2 Reference Implementation: a toolkit to enable federated sharing of genomic and phenotypic data.","Beacon v2 Reference Implementation","Beacon v2 Reference Implementation","HIGH","No expansion in title"
"33","Catalog","pandasPGS: a Python package for easy retrieval of Polygenic Score Catalog data.","pandasPGS","pandasPGS","HIGH","No expansion in title"
"34","Metavision3d","AI-driven framework to map the brain metabolome in three dimensions.","Metavision3d","Metavision3d","HIGH","No expansion in title"
"35","Gene Reference","The Grape Gene Reference Catalogue as a Standard Resource for Gene Selection and Genetic Improvement.","Grape Gene Reference Catalogue","Grape Gene Reference Catalogue","HIGH","No expansion in title"
"36","Symbol Nomenclature","Cataloging natural sialic acids and other nonulosonic acids (NulOs), and their representation using the Symbol Nomenclature for Glycans.","Symbol Nomenclature for Glycans","Symbol Nomenclature for Glycans","HIGH","No expansion in title"
"37","Metabolic Roadmap","INTEDE 2.0: the metabolic roadmap of drugs.","INTEDE 2.0","INTEDE 2.0","HIGH","No expansion in title"
"38","VirusSeq","The Canadian VirusSeq Data Portal and Duotang: open resources for SARS-CoV-2 viral sequences and genomic epidemiology.","VirusSeq Data Portal","VirusSeq Data Portal","HIGH","No expansion in title"
"39","indCompare","BindCompare: a novel integrated protein-nucleic acid binding analysis platform.","BindCompare","BindCompare","HIGH","No expansion in title"
"40","Ancer Proteomic Map","Pan-cancer proteomic map of 949 human cell lines.","Pan-cancer proteomic map","Pan-cancer proteomic map","HIGH","No expansion in title"
"41","bio2Byte","bio2Byte Tools deployment as a Python package and Galaxy tool to predict protein biophysical properties.","bio2Byte","bio2Byte","HIGH","No expansion in title"
"42","CompArative GEne Cluster Analysis Toolbox","CAGECAT: The CompArative GEne Cluster Analysis Toolbox for rapid search and visualisation of homologous gene clusters.","CAGECAT","CompArative GEne Cluster Analysis Toolbox","HIGH","Expansion explicit - CAGECAT maps to CompArative GEne Cluster Analysis Toolbox"
"43","NanoFlow Repository","The NanoFlow Repository.","NanoFlow Repository","NanoFlow Repository","HIGH","No expansion in title"
"44","Phyre2","Phyre2.2: A Community Resource for Template-based Protein Structure Prediction.","Phyre2.2","Phyre2.2","HIGH","No expansion in title"
"45","Toolbox","SeqCAT: Sequence Conversion and Analysis Toolbox.","SeqCAT","SeqCAT","HIGH","No expansion in title"
"46","SEMA","SEMA3: A free smartphone platform for daily life surveys.","SEMA3","SEMA3","HIGH","No expansion in title"
"47","Directory of","CDBProm: the Comprehensive Directory of Bacterial Promoters.","CDBProm","CDBProm","HIGH","No expansion in title"
"48","RNAcmap3","MARS and RNAcmap3: The Master Database of All Possible RNA Sequences Integrated with RNAcmap for RNA Homology Search.","RNAcmap3","RNAcmap3","HIGH","No expansion in title"
"49","DompeKeys","DompeKeys: a set of novel substructure-based descriptors for efficient chemical space mapping, development and structural interpretation of machine learning models, and indexing of large databases.","DompeKeys","DompeKeys","HIGH","No expansion in title"
"50","BIOFACQUIM","BIOMX-DB: A web application for the BIOFACQUIM natural product database.","BIOFACQUIM","BIOFACQUIM","HIGH","No expansion in title"
"51","iseaseGPS","diseaseGPS: auxiliary diagnostic system for genetic disorders based on genotype and phenotype.","diseaseGPS","diseaseGPS","HIGH","No expansion in title"
"52","DEPICTER2","DEPICTER2: a comprehensive webserver for intrinsic disorder and disorder function prediction.","DEPICTER2","DEPICTER2","HIGH","No expansion in title"
"53","Coriolis","Coriolis: enabling metagenomic classification on lightweight mobile devices.","Coriolis","Coriolis","HIGH","No expansion in title"
"54","BbGSD","BbGSD: Black-boned Sheep Genome SNP Database.","BbGSD","BbGSD","HIGH","No expansion in title"
"55","FAIR","PLCOjs, a FAIR GWAS web SDK for the NCI Prostate, Lung, Colorectal and Ovarian Cancer Genetic Atlas project.","PLCOjs","PLCOjs","HIGH","No expansion in title"
"56","Cirrhosiscare","The Development of an Online Palliative Care Toolkit for Cirrhosis.","Cirrhosiscare","Cirrhosiscare","HIGH","No expansion in title"
"57","Workflow For","COWID: an efficient cloud-based genomics workflow for scalable identification of SARS-COV-2.","COWID","COWID","HIGH","No expansion in title"
"58","Kuanrongchan-stages-stages-vpgh46","STAGEs: A web-based tool that integrates data visualization and pathway enrichment analysis for gene expression studies.","STAGEs","STAGEs","HIGH","No expansion in title"
"59","3'aQTL-atlas","3'aQTL-atlas: an atlas of 3'UTR alternative polyadenylation quantitative trait loci across human normal tissues.","3'aQTL-atlas","3'aQTL-atlas","HIGH","No expansion in title"
"60","DICED","DICED (Database of Identified Cleavage Sites Endemic to Diseases States): A Searchable Web Interface for Terminomics/Degradomics.","DICED","Database of Identified Cleavage Sites Endemic to Diseases States","HIGH","Expansion explicit in parentheses"
"61","Reference Atlas","The HRA Organ Gallery affords immersive superpowers for building and exploring the Human Reference Atlas with virtual reality.","Human Reference Atlas","Human Reference Atlas","HIGH","Expansion explicit in title"
"62","Histify","Hist-i-fy: a multiple histidine post-translational-modification (PTM) prediction server based on protein sequences using convolution neural network: a case study on mass spectroscopy data.","Hist-i-fy","Hist-i-fy","HIGH","No expansion in title"
"63","NMDC EDGE","Standardized and accessible multi-omics bioinformatics workflows through the NMDC EDGE resource.","NMDC EDGE","NMDC EDGE","HIGH","No expansion in title"
"64","ULS2","The ULS23 challenge: A baseline model and benchmark dataset for 3D universal lesion segmentation in computed tomography.","ULS23","ULS23","HIGH","No expansion in title"
"65","Chemical Probes","The Chemical Probes Portal: an expert review-based public resource to empower chemical probe assessment, selection and use.","Chemical Probes Portal","Chemical Probes Portal","HIGH","No expansion in title"
"66","EP2","DEP2: an upgraded comprehensive analysis toolkit for quantitative proteomics data.","DEP2","DEP2","HIGH","No expansion in title"
"67","GPCR","GPCR-BSD: a database of binding sites of human G-protein coupled receptors under diverse states.","GPCR-BSD","GPCR-BSD","HIGH","No expansion in title"
"68","Intrinsic","PredIDR2: Improving accuracy of protein intrinsic disorder prediction by updating deep convolutional neural network and supplementing DisProt data.","PredIDR2","PredIDR2","HIGH","No expansion in title"
"69","Tissue Atlas","miRNATissueAtlas2: an update to the human miRNA tissue atlas.","miRNATissueAtlas2","miRNATissueAtlas2","HIGH","No expansion in title"
"70","Komet","Drug-Target Interactions Prediction at Scale: The Komet Algorithm with the LCIdb Dataset.","Komet","Komet","HIGH","No expansion in title"
"71","Commons","NCI's Proteomic Data Commons: A Cloud-Based Proteomics Repository Empowering Comprehensive Cancer Analysis through Cross-Referencing with Genomic and Imaging Data.","Proteomic Data Commons","Proteomic Data Commons","HIGH","No expansion in title"
"72","Venomzone","Web of venom: exploration of big data resources in animal toxin research.","Venomzone","Venomzone","HIGH","No expansion in title"
"73","CSSL","CSSLdb: Discovery of cancer-specific synthetic lethal interactions based on machine learning and statistic inference.","CSSLdb","CSSLdb","HIGH","No expansion in title"
"74","OncoSplicing","OncoSplicing: an updated database for clinically relevant alternative splicing in 33 human cancers.","OncoSplicing","OncoSplicing","HIGH","No expansion in title"
"75","AlphaKnot","AlphaKnot: server to analyze entanglement in structures predicted by AlphaFold methods.","AlphaKnot","AlphaKnot","HIGH","No expansion in title"
"76","CRUSTY","CRUSTY: a versatile web platform for the rapid analysis and visualization of high-dimensional flow cytometry data.","CRUSTY","CRUSTY","HIGH","No expansion in title"
"77","NA-DB","NA-DB: An Online Database of Nucleoside Analogues.","NA-DB","NA-DB","HIGH","No expansion in title"
"78","BioDolphin","BioDolphin as a comprehensive database of lipid-protein binding interactions.","BioDolphin","BioDolphin","HIGH","No expansion in title"
"79","STRchive","STRchive: a dynamic resource detailing population-level and locus-specific insights at tandem repeat disease loci.","STRchive","STRchive","HIGH","No expansion in title"
"80","HemaScope","HemaScope: A Tool for Analyzing Single-cell and Spatial Transcriptomics Data of Hematopoietic Cells.","HemaScope","HemaScope","HIGH","No expansion in title"
"81","SHDB-AF","SHDB-AF: a Japanese Holter ECG database of atrial fibrillation.","SHDB-AF","SHDB-AF","HIGH","No expansion in title"
"82","RNAirport","RNAirport: a deep neural network-based database characterizing representative gene models in plants.","RNAirport","RNAirport","HIGH","No expansion in title"
"83","MSP","A network map of macrophage-stimulating protein (MSP) signaling.","MSP","Macrophage-Stimulating Protein","HIGH","Expansion explicit in parentheses"
"84","RAVAR","RAVAR: a curated repository for rare variant-trait associations.","RAVAR","RAVAR","HIGH","No expansion in title"
"85","PharmGWAS","PharmGWAS: a GWAS-based knowledgebase for drug repurposing.","PharmGWAS","PharmGWAS","HIGH","No expansion in title"
"86","DNA Damage Atlas","DNA Damage Atlas: an atlas of DNA damage and repair.","DNA Damage Atlas","DNA Damage Atlas","HIGH","No expansion in title"
"87","MRCLinkdb","Predicting intercellular communication based on metabolite-related ligand-receptor interactions with MRCLinkdb.","MRCLinkdb","MRCLinkdb","HIGH","No expansion in title"
"88","invertiaDB","invertiaDB: a database of inverted repeats across organismal genomes.","invertiaDB","invertiaDB","HIGH","No expansion in title"
"89","InsectTFDB","InsectTFDB: A Comprehensive Database and Analysis Platform for Insect Transcription Factors.","InsectTFDB","InsectTFDB","HIGH","No expansion in title"
"90","SEAseq","SEAseq: a portable and cloud-based chromatin occupancy analysis suite.","SEAseq","SEAseq","HIGH","No expansion in title"
"91","chip-hub","ChIP-Hub provides an integrative platform for exploring plant regulome.","ChIP-Hub","ChIP-Hub","HIGH","No expansion in title"
"92","DUNEScan","DUNEScan: a web server for uncertainty estimation in skin cancer detection with deep neural networks.","DUNEScan","DUNEScan","HIGH","No expansion in title"
"93","SpecDB","SpecDB: A relational database for archiving biomolecular NMR spectral data.","SpecDB","SpecDB","HIGH","No expansion in title"
"94","ProBioQuest","ProBioQuest: a database and semantic analysis engine for literature, clinical trials and patents related to probiotics.","ProBioQuest","ProBioQuest","HIGH","No expansion in title"
"95","dbEssLnc","dbEssLnc: A manually curated database of human and mouse essential lncRNA genes.","dbEssLnc","dbEssLnc","HIGH","No expansion in title"
"96","RIVET","Tracking and curating putative SARS-CoV-2 recombinants with RIVET.","RIVET","RIVET","HIGH","No expansion in title"
"97","HIHISIV","HIHISIV: a database of gene expression in HIV and SIV host immune response.","HIHISIV","HIHISIV","HIGH","No expansion in title"
"98","DataPipe","DataPipe: Born-open data collection for online experiments.","DataPipe","DataPipe","HIGH","No expansion in title"
"99","BNGL","bnglViz: online visualization of rule-based models.","bnglViz","bnglViz","HIGH","No expansion in title"
"100","TeloBase","TeloBase: a community-curated database of telomere sequences across the tree of life.","TeloBase","TeloBase","HIGH","No expansion in title"
"101","FuncPhos-STR","FuncPhos-STR: An integrated deep neural network for functional phosphosite prediction based on AlphaFold protein structure and dynamics.","FuncPhos-STR","FuncPhos-STR","HIGH","No expansion in title"
"102","SPIRE","SPIRE: a Searchable, Planetary-scale mIcrobiome REsource.","SPIRE","Searchable, Planetary-scale mIcrobiome REsource","HIGH","Expansion explicit after colon"
"103","HHCDB","HHCDB: a database of human heterochromatin regions.","HHCDB","HHCDB","HIGH","No expansion in title"
"104","SoDCoD","SoDCoD: a comprehensive database of Cu/Zn superoxide dismutase conformational diversity caused by ALS-linked gene mutations and other perturbations.","SoDCoD","SoDCoD","HIGH","No expansion in title"
"105","NOWinBRAIN","NOWinBRAIN: a Large, Systematic, and Extendable Repository of 3D Reconstructed Images of a Living Human Brain Cum Head and Neck.","NOWinBRAIN","NOWinBRAIN","HIGH","No expansion in title"
"106","GENTLE","GENTLE: a novel bioinformatics tool for generating features and building classifiers from T cell repertoire cancer data.","GENTLE","GENTLE","HIGH","No expansion in title"
"107","ExpressAnalyst","ExpressAnalyst: A unified platform for RNA-sequencing analysis in non-model species.","ExpressAnalyst","ExpressAnalyst","HIGH","No expansion in title"
"108","AagingBase","AagingBase: a comprehensive database of anti-aging peptides.","AagingBase","AagingBase","HIGH","No expansion in title"
"109","SUMMER","SUMMER: a Mendelian randomization interactive server to systematically evaluate the causal effects of risk factors and circulating biomarkers on pan-cancer survival.","SUMMER","SUMMER","HIGH","No expansion in title"
"110","SoyOD","SoyOD: An Integrated Soybean Multi-omics Database for Mining Genes and Biological Research.","SoyOD","SoyOD","HIGH","No expansion in title"
"111","ProteinsPlus","ProteinsPlus: a comprehensive collection of web-based molecular modeling tools.","ProteinsPlus","ProteinsPlus","HIGH","No expansion in title"
"112","LASTU","LASTU: A psycholinguistic search tool for Finnish lexical stimuli.","LASTU","LASTU","HIGH","No expansion in title"
"113","VirulentHunter","VirulentHunter: deep learning-based virulence factor predictor illuminates pathogenicity in diverse microbial contexts.","VirulentHunter","VirulentHunter","HIGH","No expansion in title"
"114","PharmacoDB","PharmacoDB 2.0: improving scalability and transparency of in vitro pharmacogenomics analysis.","PharmacoDB","PharmacoDB","HIGH","No expansion in title"
"115","HTIRDB","The HTIRDB: A resource containing a transcriptional atlas for 105 different tissues from each of seven species of domestic herbivore.","HTIRDB","HTIRDB","HIGH","No expansion in title"
"116","RiboGalaxy","RiboGalaxy: A Galaxy-based Web Platform for Ribosome Profiling Data Processing - 2023 Update.","RiboGalaxy","RiboGalaxy","HIGH","No expansion in title"
"117","CavityPlus","CavityPlus 2022 Update: An Integrated Platform for Comprehensive Protein Cavity Detection and Property Analyses with User-friendly Tools and Cavity Databases.","CavityPlus","CavityPlus","HIGH","No expansion in title"
"118","RMDisease","RMDisease V2.0: an updated database of genetic variants that affect RNA modifications with disease and trait implication.","RMDisease","RMDisease","HIGH","No expansion in title"
"119","QuantImage","QuantImage v2: a comprehensive and integrated physician-centered cloud platform for radiomics and machine learning research.","QuantImage","QuantImage","HIGH","No expansion in title"
"120","HSCGD","HSCGD: a comprehensive database of single-cell whole-genome data and metadata.","HSCGD","HSCGD","HIGH","No expansion in title"
"121","ncPlantDB","ncPlantDB: a plant ncRNA database with potential ncPEP information and cell type-specific interaction.","ncPlantDB","ncPlantDB","HIGH","No expansion in title"
"122","BGC Atlas","BGC Atlas: a web resource for exploring the global chemical diversity encoded in bacterial genomes.","BGC Atlas","BGC Atlas","HIGH","No expansion in title"
"123","VDGE","VDGE: a data repository of variation database for gene-edited animals across multiple species.","VDGE","VDGE","HIGH","No expansion in title"
"124","DiabetesOmic","DiabetesOmic: A comprehensive multi-omics diabetes database.","DiabetesOmic","DiabetesOmic","HIGH","No expansion in title"
"125","PLMSearch","PLMSearch and PLMAlign: Protein Language Model (PLM)-Based Homologous Protein Sequence Search and Alignment.","PLMSearch","PLMSearch","HIGH","No expansion in title"
"126","Molecular Subtyping Resource","Molecular Subtyping Resource: a user-friendly tool for rapid biological discovery from transcriptional data.","Molecular Subtyping Resource","Molecular Subtyping Resource","HIGH","Already descriptive name"
"127","STRIDE-DB","STRIDE-DB: a comprehensive database for exploration of instability and phenotypic relevance of short tandem repeats in the human genome.","STRIDE-DB","STRIDE-DB","HIGH","No expansion in title"
"128","MEMOR","MEMOR: A database of archeological human remains collections from Flanders, Belgium.","MEMOR","MEMOR","HIGH","No expansion in title"
"129","SCAN","SCAN: Spatiotemporal Cloud Atlas for Neural cells.","SCAN","Spatiotemporal Cloud Atlas for Neural cells","HIGH","Expansion explicit - SCAN maps to words in title"
"130","IMG","IMG/PR: a database of plasmids from genomes and metagenomes with rich annotations and metadata.","IMG/PR","IMG/PR","HIGH","No expansion in title"
"131","PPI3D","PPI3D: a web server for searching, analyzing and modeling protein-protein, protein-peptide and protein-nucleic acid interactions.","PPI3D","PPI3D","HIGH","No expansion in title"
"132","MIAMI-AD","MIAMI-AD (Methylation in Aging and Methylation in AD): an integrative knowledgebase that facilitates explorations of DNA methylation across sex, aging, and Alzheimer's disease.","MIAMI-AD","Methylation in Aging and Methylation in AD","HIGH","Expansion explicit in parentheses"
"133","Onko_DrugCombScreen","Advancing personalized cancer therapy: Onko_DrugCombScreen-a novel Shiny app for precision drug combination screening.","Onko_DrugCombScreen","Onko_DrugCombScreen","HIGH","No expansion in title"
"134","Autoinhibited Protein Database","Autoinhibited Protein Database: a curated database of autoinhibitory domains and their autoinhibition mechanisms.","Autoinhibited Protein Database","Autoinhibited Protein Database","HIGH","Already descriptive name"
"135","OligoM-Cancer","OligoM-Cancer: A multidimensional information platform for deep phenotyping of heterogenous oligometastatic cancer.","OligoM-Cancer","OligoM-Cancer","HIGH","No expansion in title"
"136","MolModa","MolModa: accessible and secure molecular docking in a web browser.","MolModa","MolModa","HIGH","No expansion in title"
"137","Localizatome","Localizatome: a database for stress-dependent subcellular localization changes in proteins.","Localizatome","Localizatome","HIGH","No expansion in title"
"138","QuanDB","QuanDB: a quantum chemical property database towards enhancing 3D molecular representation learning.","QuanDB","QuanDB","HIGH","No expansion in title"
"139","ChemFREE","ChemFREE: a one-stop comprehensive platform for ecological and environmental risk evaluation of chemicals in one health world.","ChemFREE","ChemFREE","HIGH","No expansion in title"
"140","AmyloGraph","AmyloGraph: a comprehensive database of amyloid-amyloid interactions.","AmyloGraph","AmyloGraph","HIGH","No expansion in title"
"141","EUKARYOME","EUKARYOME: the rRNA gene reference database for identification of all eukaryotes.","EUKARYOME","EUKARYOME","HIGH","No expansion in title"
"142","DTNPD","DTNPD: A comprehensive database of drugs and targets for neurological and psychiatric disorders.","DTNPD","DTNPD","HIGH","No expansion in title"
"143","MBROLE3","MBROLE3: improved functional enrichment of chemical compounds for metabolomics data analysis.","MBROLE3","MBROLE3","HIGH","No expansion in title"
"144","oriTDB","oriTDB: a database of the origin-of-transfer regions of bacterial mobile genetic elements.","oriTDB","oriTDB","HIGH","No expansion in title"
"145","MolBiC","MolBiC: the cell-based landscape illustrating molecular bioactivities.","MolBiC","MolBiC","HIGH","No expansion in title"
"146","PhageDive","PhageDive: the comprehensive strain database of prokaryotic viral diversity.","PhageDive","PhageDive","HIGH","No expansion in title"
"147","RepurposeDrugs","RepurposeDrugs: an interactive web-portal and predictive platform for repurposing mono- and combination therapies.","RepurposeDrugs","RepurposeDrugs","HIGH","No expansion in title"
"148","sRNAbench","sRNAbench and sRNAtoolbox 2022 update: accurate miRNA and sncRNA profiling for model and non-model organisms.","sRNAbench","sRNAbench","HIGH","No expansion in title"
"149","NMDtxDB","NMDtxDB: data-driven identification and annotation of human NMD target transcripts.","NMDtxDB","NMDtxDB","HIGH","No expansion in title"
"150","ARMADiLLO","ARMADiLLO: a web server for analyzing antibody mutation probabilities.","ARMADiLLO","ARMADiLLO","HIGH","No expansion in title"
"151","FEVER","FEVER: an interactive web-based resource for evolutionary transcriptomics across fishes.","FEVER","FEVER","HIGH","No expansion in title"
"152","RNAhugs","RNAhugs web server for customized 3D RNA structure alignment.","RNAhugs","RNAhugs","HIGH","No expansion in title"
"153","KmerKeys","KmerKeys: a web resource for searching indexed genome assemblies and variants.","KmerKeys","KmerKeys","HIGH","No expansion in title"
"154","Qarles","Qarles: a web server for the quick characterization of large sets of genes.","Qarles","Qarles","HIGH","No expansion in title"
"155","DRAVP","DRAVP: A Comprehensive Database of Antiviral Peptides and Proteins.","DRAVP","DRAVP","HIGH","No expansion in title"
"156","Integrated Genome Browser","Integrated Genome Browser App Store.","Integrated Genome Browser","Integrated Genome Browser","HIGH","Already descriptive name"
"157","STExplore","STExplore: An Integrated Online Platform for Comprehensive Analysis and Visualization of Spatial Transcriptomics Data.","STExplore","STExplore","HIGH","No expansion in title"
"158","ARIC","Facilitating Harmonization of Variables in Framingham, MESA, ARIC, and REGARDS Studies Through a Metadata Repository.","ARIC","ARIC","HIGH","No expansion in title"
"159","BioTRY","BioTRY: A Comprehensive Knowledge Base for Titer, Rate, and Yield of Biosynthesis.","BioTRY","BioTRY","HIGH","No expansion in title"
"160","SMCVdb","SMCVdb: a database of experimental cellular toxicity information for drug candidate molecules.","SMCVdb","SMCVdb","HIGH","No expansion in title"
"161","MycotoxinDB","MycotoxinDB: A Data-Driven Platform for Investigating Masked Forms of Mycotoxins.","MycotoxinDB","MycotoxinDB","HIGH","No expansion in title"
"162","KinaseFusionDB","KinaseFusionDB: an integrative knowledge of kinase fusion proteins in multi-scales.","KinaseFusionDB","KinaseFusionDB","HIGH","No expansion in title"
"163","HTCA","HTCA: a database with an in-depth characterization of the single-cell human transcriptome.","HTCA","HTCA","HIGH","No expansion in title"
"164","OMIC","Transforming OMIC features for classification using siamese convolutional networks.","OMIC","OMIC","HIGH","No expansion in title"
"165","MiceDEGdb","MiceDEGdb: a knowledge base on differentially expressed mouse genes as a model object in biomedical research.","MiceDEGdb","MiceDEGdb","HIGH","No expansion in title"
"166","gcPathogen","gcPathogen: a comprehensive genomic resource of human pathogens for public health.","gcPathogen","gcPathogen","HIGH","No expansion in title"
"167","TheMarker","TheMarker: a comprehensive database of therapeutic biomarkers.","TheMarker","TheMarker","HIGH","No expansion in title"
"168","scTEA-db","scTEA-db: a comprehensive database of novel terminal exon isoforms identified from human single cell transcriptomes.","scTEA-db","scTEA-db","HIGH","No expansion in title"
"169","SpliceVarDB","SpliceVarDB: A comprehensive database of experimentally validated human splicing variants.","SpliceVarDB","SpliceVarDB","HIGH","No expansion in title"
"170","CellCommuNet","CellCommuNet: an atlas of cell-cell communication networks from single-cell RNA sequencing of human and mouse tissues in normal and disease states.","CellCommuNet","CellCommuNet","HIGH","No expansion in title"
"171","SCancerRNA","SCancerRNA: Expression at the Single-cell Level and Interaction Resource of Non-coding RNA Biomarkers for Cancers.","SCancerRNA","SCancerRNA","HIGH","No expansion in title"
"172","MyeloDB","MyeloDB: a multi-omics resource for multiple myeloma.","MyeloDB","MyeloDB","HIGH","No expansion in title"
"173","ALPACA","ALPACA: A machine Learning Platform for Affinity and selectivity profiling of CAnnabinoids receptors modulators.","ALPACA","ALPACA","HIGH","No expansion in title"
"174","DRCTdb","DRCTdb: disease-related cell type analysis to decode cell type effect and underlying regulatory mechanisms.","DRCTdb","DRCTdb","HIGH","No expansion in title"
"175","NaturAr","NaturAr: A Collaborative, Open-Source Database of Natural Products from Argentinian Biodiversity for Drug Discovery and Bioprospecting.","NaturAr","NaturAr","HIGH","No expansion in title"
"176","SwissDock","SwissDock 2024: major enhancements for small-molecule docking with Attracting Cavities and AutoDock Vina.","SwissDock","SwissDock","HIGH","No expansion in title"
"177","ChemoDOTS","ChemoDOTS: a web server to design chemistry-driven focused libraries.","ChemoDOTS","ChemoDOTS","HIGH","No expansion in title"
"178","MPRAVarDB","MPRAVarDB: an online database and web server for exploring regulatory effects of genetic variants.","MPRAVarDB","MPRAVarDB","HIGH","No expansion in title"
"179","TCM2COVID","TCM2COVID: A resource of anti-COVID-19 traditional Chinese medicine with effects and mechanisms.","TCM2COVID","TCM2COVID","HIGH","No expansion in title"
"180","Multiple Endocrine Neoplasia","Understanding the variant landscape, and genetic epidemiology of Multiple Endocrine Neoplasia in India.","Multiple Endocrine Neoplasia","Multiple Endocrine Neoplasia","HIGH","Already descriptive name"
"181","AMBP","Aquaculture Molecular Breeding Platform (AMBP): a comprehensive web server for genotype imputation and genetic analysis in aquaculture.","AMBP","Aquaculture Molecular Breeding Platform","HIGH","Expansion explicit in parentheses"
"182","PADLOC","PADLOC: a web server for the identification of antiviral defence systems in microbial genomes.","PADLOC","PADLOC","HIGH","No expansion in title"
"183","FIVEx","FIVEx: an interactive eQTL browser across public datasets.","FIVEx","FIVEx","HIGH","No expansion in title"
