pmid,title,primary_entity_short,category,reason
32449936,CVCDAP: an integrated platform for molecular and clinical analysis of cancer virtual cohorts.,cvcdap,integration,Data integration platform combining multiple resources
34580179,OrtSuite: from genomes to prediction of microbial interactions within targeted ecosystem processes.,,prediction,Prediction/classification method applied to resource data
30084867,"LncFinder: an integrated platform for long non-coding RNA identification utilizing sequence intrinsic composition, structural information and physicochemical property.",,integration,Data integration platform combining multiple resources
23236458,CINPER: an interactive web system for pathway prediction for prokaryotes.,cinper,prediction,Prediction/classification method applied to resource data
24927599,"High-throughput comparison, functional annotation, and metabolic modeling of plant genomes using the PlantSEED resource.",,usage,Method that uses an existing database/resource
34370400,"JWES: a new pipeline for whole genome/exome sequence data processing, management, and gene-variant discovery, annotation, prediction, and genotyping.",jwes,pipeline,Pipeline/workflow tool that uses resources as input
22815363,MolBioLib: a C++11 framework for rapid development and deployment of bioinformatics tasks.,,pipeline,Pipeline/workflow tool that uses resources as input
29947803,Quokka: a comprehensive tool for rapid and accurate prediction of kinase family-specific phosphorylation sites in the human proteome.,quokka,prediction,Prediction/classification method applied to resource data
30692979,"iVikodak-A Platform and Standard Workflow for Inferring, Analyzing, Comparing, and Visualizing the Functional Potential of Microbial Communities.",,pipeline,Pipeline/workflow tool that uses resources as input
32249316,ShinyLearner: A containerized benchmarking tool for machine-learning classification of tabular data.,,prediction,Prediction/classification method applied to resource data
29399725,"POTENCI: prediction of temperature, neighbor and pH-corrected chemical shifts for intrinsically disordered proteins.",potenci,prediction,Prediction/classification method applied to resource data
34589187,PROMISed: A novel web-based tool to facilitate analysis and visualization of the molecular interaction networks from co-fractionation mass spectrometry (CF-MS) experiments.,,web_tool,Web-based tool for analyzing resource data
28503844,TypeLoader: A fast and efficient automated workflow for the annotation and submission of novel full-length HLA alleles.,,pipeline,Pipeline/workflow tool that uses resources as input
27302480,"ProXL (Protein Cross-Linking Database): A Platform for Analysis, Visualization, and Sharing of Protein Cross-Linking Mass Spectrometry Data.",proxl,platform,Analysis platform that uses resources
31067315,"iLearn: an integrated platform and meta-learner for feature engineering, machine-learning analysis and modeling of DNA, RNA and protein sequence data.",ilearn,integration,Data integration platform combining multiple resources
27997202,Peptigram: A Web-Based Application for Peptidomics Data Visualization.,,web_tool,Web-based tool for analyzing resource data
32330239,SparkINFERNO: a scalable high-throughput pipeline for inferring molecular mechanisms of non-coding genetic variants.,,pipeline,Pipeline/workflow tool that uses resources as input
28221024,iMet: A Network-Based Computational Tool To Assist in the Annotation of Metabolites from Tandem Mass Spectra.,imet,computational,Computational method applied to resource data
28100700,PBrowse: a web-based platform for real-time collaborative exploration of genomic data.,,web_tool,Web-based tool for analyzing resource data
28750104,BrEPS 2.0: Optimization of sequence pattern prediction for enzyme annotation.,breps,prediction,Prediction/classification method applied to resource data
29062930,The secondary metabolite bioinformatics portal: Computational tools to facilitate synthetic biology of secondary metabolite production.,,computational,Computational method applied to resource data
24503186,"CoreFlow: a computational platform for integration, analysis and modeling of complex biological data.",,platform,Analysis platform that uses resources
34111608,Xconnector: Retrieving and visualizing metabolites and pathways information from various database resources.,,usage,Method that uses an existing database/resource
26007653,StemChecker: a web-based tool to discover and explore stemness signatures in gene sets.,,web_tool,Web-based tool for analyzing resource data
29718313,"UNRES server for physics-based coarse-grained simulations and prediction of protein structure, dynamics and thermodynamics.",unres,prediction,Prediction/classification method applied to resource data
29687309,DR2DI: a powerful computational tool for predicting novel drug-disease associations.,dr2di,computational,Computational method applied to resource data
23160411,"Developing a biocuration workflow for AgBase, a non-model organism database.",agbase,pipeline,Pipeline/workflow tool that uses resources as input
24387194,ITEP: an integrated toolkit for exploration of microbial pan-genomes.,itep,integration,Data integration platform combining multiple resources
32660416,MethylStar: A fast and robust pre-processing pipeline for bulk or single-cell whole-genome bisulfite sequencing data.,,pipeline,Pipeline/workflow tool that uses resources as input
32637811,CCPRD: A Novel Analytical Framework for the Comprehensive Proteomic Reference Database Construction of NonModel Organisms.,ccprd,pipeline,Pipeline/workflow tool that uses resources as input
31088348,anamiR: integrated analysis of MicroRNA and gene expression profiling.,anamir,integration,Data integration platform combining multiple resources
28859620,Orthonome - a new pipeline for predicting high quality orthologue gene sets applicable to complete and draft genomes.,,pipeline,Pipeline/workflow tool that uses resources as input
32997169,MetFID: artificial neural network-based compound fingerprint prediction for metabolite annotation.,metfid,prediction,Prediction/classification method applied to resource data
22901092,DTome: a web-based tool for drug-target interactome construction.,dtome,web_tool,Web-based tool for analyzing resource data
27861637,Sam2bam: High-Performance Framework for NGS Data Preprocessing Tools.,,pipeline,Pipeline/workflow tool that uses resources as input
34184738,DeepIPs: comprehensive assessment and computational identification of phosphorylation sites of SARS-CoV-2 infection using a deep learning-based approach.,,computational,Computational method applied to resource data
21647737,iScreen: world's first cloud-computing web server for virtual screening and de novo drug design based on TCM database@Taiwan.,,usage,Method that uses an existing database/resource
22369237,INDUS - a composition-based approach for rapid and accurate taxonomic classification of metagenomic sequences.,indus,prediction,Prediction/classification method applied to resource data
21646342,"CSpritz: accurate prediction of protein disorder segments with annotation for homology, secondary structure and linear motifs.",,prediction,Prediction/classification method applied to resource data
22641854,DroPNet: a web portal for integrated analysis of Drosophila protein-protein interaction networks.,,integration,Data integration platform combining multiple resources
31028400,"Updated MS²PIP web server delivers fast and accurate MS² peak intensity prediction for multiple fragmentation methods, instruments and labeling techniques.",ms²pip,prediction,Prediction/classification method applied to resource data
34883995,COLAEVA: Visual Analytics and Data Mining Web-Based Tool for Virtual Coaching of Older Adult Populations.,colaeva,web_tool,Web-based tool for analyzing resource data
32421831,ToxicoDB: an integrated database to mine and visualize large-scale toxicogenomic datasets.,,integration,Data integration platform combining multiple resources
32061934,HMI-PRED: A Web Server for Structural Prediction of Host-Microbe Interactions Based on Interface Mimicry.,hmi-pred,prediction,Prediction/classification method applied to resource data
33084862,BastionHub: a universal platform for integrating and analyzing substrates secreted by Gram-negative bacteria.,,platform,Analysis platform that uses resources
30365025,SSRome: an integrated database and pipelines for exploring microsatellites in all organisms.,ssrome,integration,Data integration platform combining multiple resources
28387819,SLiMSearch: a framework for proteome-wide discovery and annotation of functional modules in intrinsically disordered regions.,,pipeline,Pipeline/workflow tool that uses resources as input
24829452,TogoTable: cross-database annotation system using the Resource Description Framework (RDF) data model.,,usage,Method that uses an existing database/resource
32392343,Oviz-Bio: a web-based platform for interactive cancer genomics data visualization.,,web_tool,Web-based tool for analyzing resource data
25254639,IDEPI: rapid prediction of HIV-1 antibody epitopes and other phenotypic features from sequence data using a flexible machine learning platform.,idepi,prediction,Prediction/classification method applied to resource data
22857267,MicrobesFlux: a web platform for drafting metabolic models from the KEGG database.,,usage,Method that uses an existing database/resource
32523402,"Mikan Genome Database (MiGD): integrated database of genome annotation, genomic diversity, and CAPS marker information for mandarin molecular breeding.",migd,integration,Data integration platform combining multiple resources
29733379,oriTfinder: a web-based tool for the identification of origin of transfers in DNA sequences of bacterial mobile genetic elements.,,web_tool,Web-based tool for analyzing resource data
34799678,PremPLI: a machine learning model for predicting the effects of missense mutations on protein-ligand interactions.,,ml,Machine learning method that uses resource data
26226151,ElemeNT: a computational tool for detecting core promoter elements.,,computational,Computational method applied to resource data
24502797,"TUIT, a BLAST-based tool for taxonomic classification of nucleotide sequences.",tuit,prediction,Prediction/classification method applied to resource data
25627673,Aber-OWL: a framework for ontology-based data access in biology.,,pipeline,Pipeline/workflow tool that uses resources as input
34112240,LigTMap: ligand and structure-based target identification and activity prediction for small molecular compounds.,,prediction,Prediction/classification method applied to resource data
24949626,"IIS--Integrated Interactome System: a web-based platform for the annotation, analysis and visualization of protein-metabolite-gene-drug interactions by integrating a variety of data sources and tools.",iis,web_tool,Web-based tool for analyzing resource data
29621297,"iCopyDAV: Integrated platform for copy number variations-Detection, annotation and visualization.",,integration,Data integration platform combining multiple resources
26155959,iVAX: An integrated toolkit for the selection and optimization of antigens and the design of epitope-driven vaccines.,ivax,integration,Data integration platform combining multiple resources
34240464,Ligand Binding Site Comparison - LiBiSCo - a web-based tool for analyzing interactions between proteins and ligands to explore amino acid specificity within active sites.,,web_tool,Web-based tool for analyzing resource data
29070035,SaVanT: a web-based tool for the sample-level visualization of molecular signatures in gene expression profiles.,savant,web_tool,Web-based tool for analyzing resource data
28389638,IMGMD: A platform for the integration and standardisation of In silico Microbial Genome-scale Metabolic Models.,imgmd,platform,Analysis platform that uses resources
31317185,VariED: the first integrated database of gene annotation and expression profiles for variants related to human diseases.,varied,integration,Data integration platform combining multiple resources
29854184,SpindleSphere: A Web-based Platform for Large-scale Sleep Spindle Analysis and Visualization.,,web_tool,Web-based tool for analyzing resource data
27825033,VirusDetect: An automated pipeline for efficient virus discovery using deep sequencing of small RNAs.,,pipeline,Pipeline/workflow tool that uses resources as input
23029291,ThioFinder: a web-based tool for the identification of thiopeptide gene clusters in DNA sequences.,,web_tool,Web-based tool for analyzing resource data
25636267,MaxMod: a hidden Markov model based novel interface to MODELLER for improved prediction of protein 3D models.,maxmod,prediction,Prediction/classification method applied to resource data
30657872,AllerCatPro-prediction of protein allergenicity potential from the protein sequence.,,prediction,Prediction/classification method applied to resource data
30052959,eModel-BDB: a database of comparative structure models of drug-target interactions from the Binding Database.,,usage,Method that uses an existing database/resource
29272359,"BioSeq-Analysis: a platform for DNA, RNA and protein sequence analysis based on machine learning approaches.",,ml,Machine learning method that uses resource data
29106469,DFAST: a flexible prokaryotic genome annotation pipeline for faster genome publication.,dfast,pipeline,Pipeline/workflow tool that uses resources as input
34814330,Purimeth: an integrated web-based tool for estimating and accounting for tumor purity in cancer DNA methylation studies.,,web_tool,Web-based tool for analyzing resource data
31395072,MLMDA: a machine learning approach to predict and validate MicroRNA-disease associations by integrating of heterogenous information sources.,mlmda,ml,Machine learning method that uses resource data
29987232,NTyroSite: Computational Identification of Protein Nitrotyrosine Sites Using Sequence Evolutionary Features.,,computational,Computational method applied to resource data
33954706,EMNUSS: a deep learning framework for secondary structure annotation in cryo-EM maps.,emnuss,pipeline,Pipeline/workflow tool that uses resources as input
21515632,PicXAA-Web: a web-based platform for non-progressive maximum expected accuracy alignment of multiple biological sequences.,,web_tool,Web-based tool for analyzing resource data
25982732,PathRings: a web-based tool for exploration of ortholog and expression data in biological pathways.,,web_tool,Web-based tool for analyzing resource data
28472340,"MiSTIC, an integrated platform for the analysis of heterogeneity in large tumour transcriptome datasets.",mistic,integration,Data integration platform combining multiple resources
30929112,The longitudinal integrated database for health insurance and labour market studies (LISA) and its use in medical research.,lisa,integration,Data integration platform combining multiple resources
27378292,ConsPred: a rule-based (re-)annotation framework for prokaryotic genomes.,,pipeline,Pipeline/workflow tool that uses resources as input
21410990,AnyExpress: integrated toolkit for analysis of cross-platform gene expression data using a fast interval matching algorithm.,,integration,Data integration platform combining multiple resources
26664458,ChemDes: an integrated web-based platform for molecular descriptor and fingerprint computation.,,web_tool,Web-based tool for analyzing resource data
31504165,COMBAT-TB-NeoDB: fostering tuberculosis research through integrative analysis using graph database technologies.,,usage,Method that uses an existing database/resource
31073595,INGA 2.0: improving protein function prediction for the dark proteome.,inga,prediction,Prediction/classification method applied to resource data
32589017,MS-CleanR: A Feature-Filtering Workflow for Untargeted LC-MS Based Metabolomics.,,pipeline,Pipeline/workflow tool that uses resources as input
25757547,SIFTER-T: a scalable and optimized framework for the SIFTER phylogenomic method of probabilistic protein domain annotation.,sifter-t,pipeline,Pipeline/workflow tool that uses resources as input
34663069,TopProperty: Robust Metaprediction of Transmembrane and Globular Protein Features Using Deep Neural Networks.,,prediction,Prediction/classification method applied to resource data
27835690,Vidjil: A Web Platform for Analysis of High-Throughput Repertoire Sequencing.,vidjil,platform,Analysis platform that uses resources
32849767,rboAnalyzer: A Software to Improve Characterization of Non-coding RNAs From Sequence Database Search Output.,,usage,Method that uses an existing database/resource
27154270,Synteny Portal: a web-based application portal for synteny block analysis.,,web_tool,Web-based tool for analyzing resource data
27216711,Ehapp2: Estimate haplotype frequencies from pooled sequencing data with prior database information.,ehapp2,usage,Method that uses an existing database/resource
24312246,"PIIKA 2: an expanded, web-based platform for analysis of kinome microarray data.",piika 2,web_tool,Web-based tool for analyzing resource data
21672959,firestar--advances in the prediction of functionally important residues.,,prediction,Prediction/classification method applied to resource data
28336542,"Seten: a tool for systematic identification and comparison of processes, phenotypes, and diseases associated with RNA-binding proteins from condition-specific CLIP-seq profiles.",seten,systematic,Systematic analysis using resource data
31504851,"BioSeq-Analysis2.0: an updated platform for analyzing DNA, RNA and protein sequences at sequence level and residue level based on machine learning approaches.",,ml,Machine learning method that uses resource data
33875000,A community-driven resource for genomic epidemiology and antimicrobial resistance prediction of Neisseria gonorrhoeae at Pathogenwatch.,,prediction,Prediction/classification method applied to resource data
33552471,Establishing the South Australian Macrobenthic Traits (SAMT) database: A trait classification for functional assessments.,samt,prediction,Prediction/classification method applied to resource data
28453649,"PMut: a web-based tool for the annotation of pathological variants on proteins, 2017 update.",pmut,web_tool,Web-based tool for analyzing resource data
33750289,Y-LineageTracker: a high-throughput analysis framework for Y-chromosomal next-generation sequencing data.,,pipeline,Pipeline/workflow tool that uses resources as input
26426330,Re-Annotator: Annotation Pipeline for Microarray Probe Sequences.,,pipeline,Pipeline/workflow tool that uses resources as input
31114925,ImmuneRegulation: a web-based tool for identifying human immune regulatory elements.,,web_tool,Web-based tool for analyzing resource data
33179738,OncoVar: an integrated database and analysis platform for oncogenic driver variants in cancers.,,integration,Data integration platform combining multiple resources
34887386,"dbTMM: an integrated database of large-scale cohort, genome and clinical data for the Tohoku Medical Megabank Project.",dbtmm,integration,Data integration platform combining multiple resources
34254996,ADEIP: an integrated platform of age-dependent expression and immune profiles across human tissues.,adeip,integration,Data integration platform combining multiple resources
34037802,G2PDeep: a web-based deep-learning framework for quantitative phenotype prediction and discovery of genomic markers.,,pipeline,Pipeline/workflow tool that uses resources as input
30565464,PPIExp: A Web-Based Platform for Integration and Visualization of Protein-Protein Interaction Data and Spatiotemporal Proteomics Data.,ppiexp,web_tool,Web-based tool for analyzing resource data
29669011,AnnotSV: an integrated tool for structural variations annotation.,,integration,Data integration platform combining multiple resources
23766290,INMEX--a web-based tool for integrative meta-analysis of expression data.,inmex,web_tool,Web-based tool for analyzing resource data
25506822,VAAPA: a web platform for visualization and analysis of alternative polyadenylation.,vaapa,platform,Analysis platform that uses resources
22073040,ClubSub-P: Cluster-Based Subcellular Localization Prediction for Gram-Negative Bacteria and Archaea.,,prediction,Prediction/classification method applied to resource data
23515897,OrthoRBH: A streamlined pipeline for mining large gene family sequences in related species.,,pipeline,Pipeline/workflow tool that uses resources as input
25969446,The TOPCONS web server for consensus prediction of membrane protein topology and signal peptides.,topcons,prediction,Prediction/classification method applied to resource data
34125897,DGLinker: flexible knowledge-graph prediction of disease-gene associations.,,prediction,Prediction/classification method applied to resource data
31100387,The EXPANDER Integrated Platform for Transcriptome Analysis.,expander,integration,Data integration platform combining multiple resources
22190598,AnnotCompute: annotation-based exploration and meta-analysis of genomics experiments.,,meta_analysis,Meta-analysis study using multiple resources
23628689,FUNGALOXPHOS: an integrated database for oxidative phosphorylation in fungi.,fungaloxphos,integration,Data integration platform combining multiple resources
31649733,CEPICS: A Comparison and Evaluation Platform for Integration Methods in Cancer Subtyping.,cepics,platform,Analysis platform that uses resources
29718114,"MiRGOFS: a GO-based functional similarity measurement for miRNAs, with applications to the prediction of miRNA subcellular localization and miRNA-disease association.",,prediction,Prediction/classification method applied to resource data
28082394,TSSPlant: a new tool for prediction of plant Pol II promoters.,,prediction,Prediction/classification method applied to resource data
26956673,CoeViz: a web-based tool for coevolution analysis of protein residues.,coeviz,web_tool,Web-based tool for analyzing resource data
25503062,ViVar: a comprehensive platform for the analysis and visualization of structural genomic variation.,vivar,platform,Analysis platform that uses resources
26130332,'LungGENS': a web-based tool for mapping single-cell gene expression in the developing lung.,,web_tool,Web-based tool for analyzing resource data
31907209,pVACtools: A Computational Toolkit to Identify and Visualize Cancer Neoantigens.,,computational,Computational method applied to resource data
32501478,SnpHub: an easy-to-set-up web server framework for exploring large-scale genomic variation data in the post-genomic era with applications in wheat.,snphub,pipeline,Pipeline/workflow tool that uses resources as input
25028726,MToolBox: a highly automated pipeline for heteroplasmy annotation and prioritization analysis of human mitochondrial variants in high-throughput sequencing.,,pipeline,Pipeline/workflow tool that uses resources as input
24715218,CancerEST: a web-based tool for automatic meta-analysis of public EST data.,,web_tool,Web-based tool for analyzing resource data
33999207,PERCEPTRON: an open-source GPU-accelerated proteoform identification pipeline for top-down proteomics.,perceptron,pipeline,Pipeline/workflow tool that uses resources as input
29474519,ViCTree: an automated framework for taxonomic classification from protein sequences.,,pipeline,Pipeline/workflow tool that uses resources as input
24493591,CellGeo: a computational platform for the analysis of shape changes in cells with complex geometries.,,platform,Analysis platform that uses resources
28449106,"MicrobiomeAnalyst: a web-based tool for comprehensive statistical, visual and meta-analysis of microbiome data.",,web_tool,Web-based tool for analyzing resource data
21904425,SSPred: A prediction server based on SVM for the identification and classification of proteins involved in bacterial secretion systems.,sspred,prediction,Prediction/classification method applied to resource data
24289158,wKinMut: an integrated tool for the analysis and interpretation of mutations in human protein kinases.,,integration,Data integration platform combining multiple resources
34622387,StackHCV: a web-based integrative machine-learning framework for large-scale identification of hepatitis C virus NS5B inhibitors.,,pipeline,Pipeline/workflow tool that uses resources as input
32673477,Pred-Skin: A Web Portal for Accurate Prediction of Human Skin Sensitizers.,,prediction,Prediction/classification method applied to resource data
21545712,"SNiPlay: a web-based tool for detection, management and analysis of SNPs. Application to grapevine diversity projects.",,web_tool,Web-based tool for analyzing resource data
32160038,AptaBlocks Online: A Web-Based Toolkit for the In Silico Design of Oligonucleotide Sticky Bridges.,,web_tool,Web-based tool for analyzing resource data
26504140,GenoWAP: GWAS signal prioritization through integrated analysis of genomic functional annotation.,,integration,Data integration platform combining multiple resources
24338423,ReSeqTools: an integrated toolkit for large-scale next-generation sequencing based resequencing analysis.,,integration,Data integration platform combining multiple resources
27479659,TepiTool: A Pipeline for Computational Prediction of T Cell Epitope Candidates.,,pipeline,Pipeline/workflow tool that uses resources as input
29583068,HLPI-Ensemble: Prediction of human lncRNA-protein interactions based on ensemble strategy.,,prediction,Prediction/classification method applied to resource data
26263006,GDSCalc: A Web-Based Application for Evaluating Discrete Graph Dynamical Systems.,,web_tool,Web-based tool for analyzing resource data
29800349,"GDA, a web-based tool for Genomics and Drugs integrated analysis.",gda,integration,Data integration platform combining multiple resources
27306108,GPS-Lipid: a robust tool for the prediction of multiple lipid modification sites.,,prediction,Prediction/classification method applied to resource data
23846595,JBioWH: an open-source Java framework for bioinformatics data integration.,jbiowh,pipeline,Pipeline/workflow tool that uses resources as input
27187206,SoFIA: a data integration framework for annotating high-throughput datasets.,sofia,pipeline,Pipeline/workflow tool that uses resources as input
34279599,AVPIden: a new scheme for identification and functional prediction of antiviral peptides based on machine learning approaches.,,prediction,Prediction/classification method applied to resource data
23735058,AllerTOP--a server for in silico prediction of allergens.,,prediction,Prediction/classification method applied to resource data
26840129,"MutAid: Sanger and NGS Based Integrated Pipeline for Mutation Identification, Validation and Annotation in Human Molecular Genetics.",mutaid,pipeline,Pipeline/workflow tool that uses resources as input
29678128,SpirPep: an in silico digestion-based platform to assist bioactive peptides discovery from a genome-wide database.,,usage,Method that uses an existing database/resource
25150822,LRRsearch: An asynchronous server-based application for the prediction of leucine-rich repeat motifs and an integrative database of NOD-like receptors.,,prediction,Prediction/classification method applied to resource data
32503412,PS4DR: a multimodal workflow for identification and prioritization of drugs based on pathway signatures.,ps4dr,pipeline,Pipeline/workflow tool that uses resources as input
25797062,PTGBase: an integrated database to study tandem duplicated genes in plants.,,integration,Data integration platform combining multiple resources
22747501,PePPER: a webserver for prediction of prokaryote promoter elements and regulons.,pepper,prediction,Prediction/classification method applied to resource data
34037702,SimText: a text mining framework for interactive analysis and visualization of similarities among biomedical entities.,,pipeline,Pipeline/workflow tool that uses resources as input
29897411,comoRbidity: an R package for the systematic analysis of disease comorbidities.,,systematic,Systematic analysis using resource data
34365010,SILO: A Computational Method for Detecting Copy Number Gain in Clinical Specimens Analyzed on a Next-Generation Sequencing Platform.,silo,computational,Computational method applied to resource data
27131357,"PHYLOViZ Online: web-based tool for visualization, phylogenetic inference, analysis and sharing of minimum spanning trees.",,web_tool,Web-based tool for analyzing resource data
26357328,RBioCloud: A Light-Weight Framework for Bioconductor and R-based Jobs on the Cloud.,,pipeline,Pipeline/workflow tool that uses resources as input
33381819,Padhoc: a computational pipeline for pathway reconstruction on the fly.,padhoc,pipeline,Pipeline/workflow tool that uses resources as input
30652568,CAFE MOCHA: An Integrated Platform for Discovering Clinically Relevant Molecular Changes in Cancer-An Example of Distant Metastasis- and Recurrence-Linked Classifiers in Head and Neck Squamous Cell Carcinoma.,cafe mocha,integration,Data integration platform combining multiple resources
34791104,Prototheca-ID: a web-based application for molecular identification of Prototheca species.,,web_tool,Web-based tool for analyzing resource data
28619054,HGPEC: a Cytoscape app for prediction of novel disease-gene and disease-disease associations and evidence collection based on a random walk on heterogeneous network.,hgpec,prediction,Prediction/classification method applied to resource data
21992029,Genome-wide prediction of splice-modifying SNPs in human genes using a new analysis pipeline called AASsites.,,prediction,Prediction/classification method applied to resource data
24838562,ProTox: a web server for the in silico prediction of rodent oral toxicity.,protox,prediction,Prediction/classification method applied to resource data
26739209,SuccinSite: a computational tool for the prediction of protein succinylation sites by exploiting the amino acid patterns and properties.,,prediction,Prediction/classification method applied to resource data
28578698,dictyExpress: a web-based platform for sequence data management and analytics in Dictyostelium and beyond.,,web_tool,Web-based tool for analyzing resource data
33689914,MutVis: Automated framework for analysis and visualization of mutational signatures in pathogenic bacterial strains.,mutvis,pipeline,Pipeline/workflow tool that uses resources as input
32215567,CRiSP: accurate structure prediction of disulfide-rich peptides with cystine-specific sequence alignment and machine learning.,crisp,prediction,Prediction/classification method applied to resource data
32117445,CHG: A Systematically Integrated Database of Cancer Hallmark Genes.,chg,integration,Data integration platform combining multiple resources
21513519,MI-GWAS: a SAS platform for the analysis of inherited and maternal genetic effects in genome-wide association studies using log-linear models.,mi-gwas,platform,Analysis platform that uses resources
24829450,PRISM: a web server and repository for prediction of protein-protein interactions and modeling their 3D complexes.,prism,prediction,Prediction/classification method applied to resource data
31804670,ImPLoc: a multi-instance deep learning model for the prediction of protein subcellular localization based on immunohistochemistry images.,imploc,prediction,Prediction/classification method applied to resource data
29106441,"Orchid: a novel management, annotation and machine learning framework for analyzing cancer mutations.",orchid,pipeline,Pipeline/workflow tool that uses resources as input
26801957,ELASPIC web-server: proteome-wide structure-based prediction of mutation effects on protein stability and binding affinity.,elaspic,prediction,Prediction/classification method applied to resource data
31626280,CSMD: a computational subtraction-based microbiome discovery pipeline for species-level characterization of clinical metagenomic samples.,csmd,pipeline,Pipeline/workflow tool that uses resources as input
