pmid,title,entity,false_positive_reason,pattern_categories,num_patterns
21513519,MI-GWAS: a SAS platform for the analysis of inherited and maternal genetic effects in genome-wide association studies using log-linear models.,mi-gwas,Uses resource as analysis tool; Focuses on analysis/study using data from resource; Multiple usage indicators (3 categories),"using_with, analysis_study, tool_for",3
32282909,"TREND: a platform for exploring protein function in prokaryotes based on phylogenetic, domain architecture and gene neighborhood analyses.",trend,Describes method/approach based on resource data; Data mining/querying of existing resource; Multiple usage indicators (3 categories),"based_approach, mining_data, tool_for",3
28873962,A recurrence-based approach for validating structural variation using long-read sequencing technology.,vapor,Uses resource as analysis tool; Describes method/approach based on resource data; Multiple usage indicators (3 categories),"using_with, based_approach, tool_for",3
27029637,An integrated analysis tool for analyzing hybridization intensities and genotypes using new-generation population-optimized human arrays.,,Uses resource as analysis tool; Focuses on analysis/study using data from resource; Multiple usage indicators (3 categories),"using_with, analysis_study, tool_for",3
34165490,SOMDE: a scalable method for identifying spatially variable genes with self-organizing map.,somde,Uses resource as analysis tool; Multiple usage indicators (3 categories),"using_with, reveals_identifies, tool_for",3
30416387,<i>TFmapper</i>: A Tool for Searching Putative Factors Regulating Gene Expression Using ChIP-seq Data.,,Uses resource as analysis tool; Data mining/querying of existing resource; Multiple usage indicators (3 categories),"using_with, mining_data, tool_for",3
22951932,Comparative genome analysis of three eukaryotic parasites with differing abilities to transform leukocytes reveals key mediators of Theileria-induced leukocyte transformation.,,Uses resource as analysis tool; Focuses on analysis/study using data from resource; Multiple usage indicators (3 categories),"using_with, reveals_identifies, analysis_study",3
30977807,Lipid Mini-On: mining and ontology tool for enrichment analysis of lipidomic data.,,Focuses on analysis/study using data from resource; Data mining/querying of existing resource; Multiple usage indicators (3 categories),"analysis_study, mining_data, tool_for",3
28356340,"Analysis of Cardiac Myocyte Maturation Using CASAAV, a Platform for Rapid Dissection of Cardiac Myocyte Gene Function In Vivo.",casaav,Uses resource as analysis tool; Focuses on analysis/study using data from resource; Multiple usage indicators (3 categories),"using_with, analysis_study, tool_for",3
29454060,AOP-DB: A database resource for the exploration of Adverse Outcome Pathways through integrated association networks.,aop-db,Uses resource as analysis tool; Data mining/querying of existing resource; Multiple usage indicators (3 categories),"using_with, mining_data, tool_for",3
25170899,Cell surface profiling using high-throughput flow cytometry: a platform for biomarker discovery and analysis of cellular heterogeneity.,ht-fc,Uses resource as analysis tool; Focuses on analysis/study using data from resource; Multiple usage indicators (3 categories),"using_with, analysis_study, tool_for",3
26678566,YAGM: a web tool for mining associated genes in yeast based on diverse biological associations.,yagm,Describes method/approach based on resource data; Data mining/querying of existing resource; Multiple usage indicators (3 categories),"based_approach, mining_data, tool_for",3
26593239,MIG-seq: an effective PCR-based method for genome-wide single-nucleotide polymorphism genotyping using the next-generation sequencing platform.,,Uses resource as analysis tool; Describes method/approach based on resource data; Multiple usage indicators (3 categories),"using_with, based_approach, tool_for",3
25697908,CapsidMaps: protein-protein interaction pattern discovery platform for the structural analysis of virus capsids using Google Maps.,,Uses resource as analysis tool; Focuses on analysis/study using data from resource; Multiple usage indicators (3 categories),"using_with, analysis_study, tool_for",3
27068479,ExtraPEG: A Polyethylene Glycol-Based Method for Enrichment of Extracellular Vesicles.,,Describes method/approach based on resource data; Multiple usage indicators (2 categories),"based_approach, tool_for",2
31722485,DeepDRBP-2L: A New Genome Annotation Predictor for Identifying DNA-Binding Proteins and RNA-Binding Proteins Using Convolutional Neural Network and Long Short-Term Memory.,,Uses resource as analysis tool; Multiple usage indicators (2 categories),"using_with, reveals_identifies",2
26120140,BEAN 2.0: an integrated web resource for the identification and functional analysis of type III secreted effectors.,bean,Focuses on analysis/study using data from resource; Multiple usage indicators (2 categories),"analysis_study, tool_for",2
31830497,PreDSLpmo: A neural network-based prediction tool for functional annotation of lytic polysaccharide monooxygenases.,,Describes method/approach based on resource data; Multiple usage indicators (2 categories),"based_approach, tool_for",2
22908879,"FragVLib a free database mining software for generating ""Fragment-based Virtual Library"" using pocket similarity search of ligand-receptor complexes.",,Uses resource as analysis tool; Data mining/querying of existing resource; Multiple usage indicators (2 categories),"using_with, mining_data",2
21893519,Integrated pathway-level analysis of transcriptomics and metabolomics data with IMPaLA.,impala,Uses resource as analysis tool; Focuses on analysis/study using data from resource; Multiple usage indicators (2 categories),"using_with, analysis_study",2
27919219,STON: exploring biological pathways using the SBGN standard and graph databases.,ston,Uses resource as analysis tool; Data mining/querying of existing resource; Multiple usage indicators (2 categories),"using_with, mining_data",2
32706854,Scalable machine learning-assisted model exploration and inference using Sciope.,sciope,Uses resource as analysis tool; Data mining/querying of existing resource; Multiple usage indicators (2 categories),"using_with, mining_data",2
32682392,FluConvert and IniFlu: a suite of integrated software to identify novel signatures of emerging influenza viruses with increasing risk.,iniflu,Uses resource as analysis tool; Multiple usage indicators (2 categories),"using_with, reveals_identifies",2
27068484,XLSearch: a Probabilistic Database Search Algorithm for Identifying Cross-Linked Peptides.,,Uses resource as analysis tool; Data mining/querying of existing resource; Multiple usage indicators (2 categories),"reveals_identifies, mining_data",2
29678129,ClustAGE: a tool for clustering and distribution analysis of bacterial accessory genomic elements.,,Focuses on analysis/study using data from resource; Multiple usage indicators (2 categories),"analysis_study, tool_for",2
28187412,Omics Fusion - A Platform for Integrative Analysis of Omics Data.,,Focuses on analysis/study using data from resource; Multiple usage indicators (2 categories),"analysis_study, tool_for",2
22689388,synbreed: a framework for the analysis of genomic prediction data using R.,,Uses resource as analysis tool; Focuses on analysis/study using data from resource; Multiple usage indicators (2 categories),"using_with, analysis_study",2
29939984,Exploring the single-cell RNA-seq analysis landscape with the scRNA-tools database.,,Uses resource as analysis tool; Data mining/querying of existing resource; Multiple usage indicators (2 categories),"using_with, mining_data",2
23369106,SNPranker 2.0: a gene-centric data mining tool for diseases associated SNP prioritization in GWAS.,,Data mining/querying of existing resource; Multiple usage indicators (2 categories),"mining_data, tool_for",2
22929026,WikiGWA: an open platform for collecting and using genome-wide association results.,,Uses resource as analysis tool; Multiple usage indicators (2 categories),"using_with, tool_for",2
28397319,DaMold: A data-mining platform for variant annotation and visualization in molecular diagnostics research.,damold,Data mining/querying of existing resource; Multiple usage indicators (2 categories),"mining_data, tool_for",2
26868127,Seqinspector: position-based navigation through the ChIP-seq data landscape to identify gene expression regulators.,,Uses resource as analysis tool; Multiple usage indicators (2 categories),"using_with, reveals_identifies",2
30401579,mQC: A post-mapping data exploration tool for ribosome profiling.,mqc,Data mining/querying of existing resource; Multiple usage indicators (2 categories),"mining_data, tool_for",2
23658416,A poor man's BLASTX--high-throughput metagenomic protein database search using PAUDA.,pauda,Uses resource as analysis tool; Data mining/querying of existing resource; Multiple usage indicators (2 categories),"using_with, mining_data",2
27939289,Intensification: A Resource for Amplifying Population-Genetic Signals with Protein Repeats.,,Uses resource as analysis tool; Multiple usage indicators (2 categories),"using_with, tool_for",2
25099887,GHOSTX: an improved sequence homology search algorithm using a query suffix array and a database suffix array.,ghostx,Uses resource as analysis tool; Data mining/querying of existing resource; Multiple usage indicators (2 categories),"using_with, mining_data",2
23896518,PepBind: a comprehensive database and computational tool for analysis of protein-peptide interactions.,,Focuses on analysis/study using data from resource; Multiple usage indicators (2 categories),"analysis_study, tool_for",2
28451970,An Agile Functional Analysis of Metagenomic Data Using SUPER-FOCUS.,super-focus,Uses resource as analysis tool; Focuses on analysis/study using data from resource; Multiple usage indicators (2 categories),"using_with, analysis_study",2
22546559,Identification of mirtrons in rice using MirtronPred: a tool for predicting plant mirtrons.,,Uses resource as analysis tool; Multiple usage indicators (2 categories),"using_with, tool_for",2
32196032,PRESCIENT: platform for the rapid evaluation of antibody success using integrated microfluidics enabled technology.,prescient,Uses resource as analysis tool; Multiple usage indicators (2 categories),"using_with, tool_for",2
23497219,REGSTATTOOLS: freeware statistical tools for the analysis of disease population databases used in health and social studies.,regstattools,Focuses on analysis/study using data from resource; Multiple usage indicators (2 categories),"analysis_study, tool_for",2
26405458,DAPPER: a data-mining resource for protein-protein interactions.,dapper,Data mining/querying of existing resource; Multiple usage indicators (2 categories),"mining_data, tool_for",2
28460071,Interactive microbial distribution analysis using BioAtlas.,,Uses resource as analysis tool; Focuses on analysis/study using data from resource; Multiple usage indicators (2 categories),"using_with, analysis_study",2
26607492,RNA-Enrich: a cut-off free functional enrichment testing method for RNA-seq with improved detection power.,,Uses resource as analysis tool; Multiple usage indicators (2 categories),"using_with, tool_for",2
25643705,BRCA1 Circos: a visualisation resource for functional analysis of missense variants.,brca1,Focuses on analysis/study using data from resource; Multiple usage indicators (2 categories),"analysis_study, tool_for",2
33257674,Mining potentially actionable kinase gene fusions in cancer cell lines with the KuNG FU database.,,Uses resource as analysis tool; Data mining/querying of existing resource; Multiple usage indicators (2 categories),"using_with, mining_data",2
30717659,BioReader: a text mining tool for performing classification of biomedical literature.,,Data mining/querying of existing resource; Multiple usage indicators (2 categories),"mining_data, tool_for",2
32210056,No More Tears: Mining Sequencing Data for Novel <i>Bt</i> Cry Toxins with CryProcessor.,,Uses resource as analysis tool; Data mining/querying of existing resource; Multiple usage indicators (2 categories),"using_with, mining_data",2
22471441,PhosphoSiteAnalyzer: a bioinformatic platform for deciphering phospho proteomes using kinase predictions retrieved from NetworKIN.,,Uses resource as analysis tool; Multiple usage indicators (2 categories),"using_with, tool_for",2
29267850,Rcupcake: an R package for querying and analyzing biomedical data through the BD2K PIC-SURE RESTful API.,,Uses resource as analysis tool; Data mining/querying of existing resource; Multiple usage indicators (2 categories),"using_with, mining_data",2
25319962,GeneNet Toolbox for MATLAB: a flexible platform for the analysis of gene connectivity in biological networks.,,Focuses on analysis/study using data from resource; Multiple usage indicators (2 categories),"analysis_study, tool_for",2
31004550,"The Plant PTM Viewer, a central resource for exploring plant protein modifications.",,Data mining/querying of existing resource; Multiple usage indicators (2 categories),"mining_data, tool_for",2
31106365,Pergola-web: a web server for the visualization and analysis of longitudinal behavioral data using repurposed genomics tools and standards.,,Uses resource as analysis tool; Focuses on analysis/study using data from resource; Multiple usage indicators (2 categories),"using_with, analysis_study",2
21904427,RegStatGel: proteomic software for identifying differentially expressed proteins based on 2D gel images.,,Uses resource as analysis tool; Describes method/approach based on resource data; Multiple usage indicators (2 categories),"reveals_identifies, based_approach",2
26198886,iSBatch: a batch-processing platform for data analysis and exploration of live-cell single-molecule microscopy images and other hierarchical datasets.,,Data mining/querying of existing resource; Multiple usage indicators (2 categories),"mining_data, tool_for",2
24848012,EvoCor: a platform for predicting functionally related genes using phylogenetic and expression profiles.,evocor,Uses resource as analysis tool; Multiple usage indicators (2 categories),"using_with, tool_for",2
21846260,"Factor Xa subsite mapping by proteome-derived peptide libraries improved using WebPICS, a resource for proteomic identification of cleavage sites.",pics,Uses resource as analysis tool; Multiple usage indicators (2 categories),"using_with, tool_for",2
33299129,EMTome: a resource for pan-cancer analysis of epithelial-mesenchymal transition genes and signatures.,emtome,Focuses on analysis/study using data from resource; Multiple usage indicators (2 categories),"analysis_study, tool_for",2
25495116,AKE - the Accelerated k-mer Exploration web-tool for rapid taxonomic classification and visualization.,ake,Data mining/querying of existing resource; Multiple usage indicators (2 categories),"mining_data, tool_for",2
23325628,PPInterFinder--a mining tool for extracting causal relations on human proteins from literature.,,Data mining/querying of existing resource; Multiple usage indicators (2 categories),"mining_data, tool_for",2
22369513,Analysis of 16S rRNA environmental sequences using MEGAN.,megan,Uses resource as analysis tool; Focuses on analysis/study using data from resource; Multiple usage indicators (2 categories),"using_with, analysis_study",2
21558322,DRAR-CPI: a server for identifying drug repositioning potential and adverse drug reactions via the chemical-protein interactome.,drar-cpi,Uses resource as analysis tool; Multiple usage indicators (2 categories),"using_with, reveals_identifies",2
28961756,4D nucleome Analysis Toolbox: analysis of Hi-C data with abnormal karyotype and time series capabilities.,,Uses resource as analysis tool; Focuses on analysis/study using data from resource; Multiple usage indicators (2 categories),"using_with, analysis_study",2
27155864,Neuron-Miner: An Advanced Tool for Morphological Search and Retrieval in Neuroscientific Image Databases.,,Data mining/querying of existing resource; Multiple usage indicators (2 categories),"mining_data, tool_for",2
29790904,Exploring drug space with ChemMaps.com.,,Uses resource as analysis tool; Data mining/querying of existing resource; Multiple usage indicators (2 categories),"using_with, mining_data",2
22332237,Phylogenomic analysis of bacterial and archaeal sequences with AMPHORA2.,amphora2,Uses resource as analysis tool; Focuses on analysis/study using data from resource; Multiple usage indicators (2 categories),"using_with, analysis_study",2
28559010,OpenMS - A platform for reproducible analysis of mass spectrometry data.,openms,Focuses on analysis/study using data from resource; Multiple usage indicators (2 categories),"analysis_study, tool_for",2
22199388,Artemis: an integrated platform for visualization and analysis of high-throughput sequence-based experimental data.,,Focuses on analysis/study using data from resource; Multiple usage indicators (2 categories),"analysis_study, tool_for",2
30150755,XCMS-MRM and METLIN-MRM: a cloud library and public resource for targeted analysis of small molecules.,metlin-mrm,Focuses on analysis/study using data from resource; Multiple usage indicators (2 categories),"analysis_study, tool_for",2
26446988,LymAnalyzer: a tool for comprehensive analysis of next generation sequencing data of T cell receptors and immunoglobulins.,,Focuses on analysis/study using data from resource; Multiple usage indicators (2 categories),"analysis_study, tool_for",2
23027632,Neuromechanic: a computational platform for simulation and analysis of the neural control of movement.,,Focuses on analysis/study using data from resource; Multiple usage indicators (2 categories),"analysis_study, tool_for",2
24573880,TSLP signaling pathway map: a platform for analysis of TSLP-mediated signaling.,tslp,Focuses on analysis/study using data from resource; Multiple usage indicators (2 categories),"analysis_study, tool_for",2
28334266,Phenopolis: an open platform for harmonization and analysis of genetic and phenotypic data.,,Focuses on analysis/study using data from resource; Multiple usage indicators (2 categories),"analysis_study, tool_for",2
28968746,LDassoc: an online tool for interactively exploring genome-wide association study results and prioritizing variants for functional investigation.,,Data mining/querying of existing resource; Multiple usage indicators (2 categories),"mining_data, tool_for",2
23247048,MolShaCS: a free and open source tool for ligand similarity identification based on Gaussian descriptors.,,Describes method/approach based on resource data; Multiple usage indicators (2 categories),"based_approach, tool_for",2
28263070,Param-Medic: A Tool for Improving MS/MS Database Search Yield by Optimizing Parameter Settings.,,Data mining/querying of existing resource; Multiple usage indicators (2 categories),"mining_data, tool_for",2
31831740,"MIMIC-CXR, a de-identified publicly available database of chest radiographs with free-text reports.",mimic-cxr,Uses resource as analysis tool; Multiple usage indicators (2 categories),"using_with, reveals_identifies",2
28561835,vhfRNAi: a web-platform for analysis of host genes involved in viral infections discovered by genome wide RNAi screens.,,Focuses on analysis/study using data from resource; Multiple usage indicators (2 categories),"analysis_study, tool_for",2
29726914,NGScloud: RNA-seq analysis of non-model species using cloud computing.,,Uses resource as analysis tool; Focuses on analysis/study using data from resource; Multiple usage indicators (2 categories),"using_with, analysis_study",2
30062404,EdgeProps: A Computational Platform for Correlative Analysis of Cell Dynamics and Near-Edge Protein Activity.,,Focuses on analysis/study using data from resource; Multiple usage indicators (2 categories),"analysis_study, tool_for",2
24573477,3D-SURFER 2.0: web platform for real-time search and characterization of protein surfaces.,3d-surfer,Data mining/querying of existing resource; Multiple usage indicators (2 categories),"mining_data, tool_for",2
29514181,PWMScan: a fast tool for scanning entire genomes with a position-specific weight matrix.,,Uses resource as analysis tool; Multiple usage indicators (2 categories),"using_with, tool_for",2
27423857,ArrayNinja: An Open Source Platform for Unified Planning and Analysis of Microarray Experiments.,,Focuses on analysis/study using data from resource; Multiple usage indicators (2 categories),"analysis_study, tool_for",2
26791496,GenoSol Platform: A Logistic and Technical Platform for Conserving and Exploring Soil Microbial Diversity.,,Data mining/querying of existing resource; Multiple usage indicators (2 categories),"mining_data, tool_for",2
26581719,"Identification of minimal eukaryotic introns through GeneBase, a user-friendly tool for parsing the NCBI Gene databank.",,Uses resource as analysis tool; Multiple usage indicators (2 categories),"using_with, tool_for",2
34146104,AdaTiSS: a novel data-Adaptive robust method for identifying Tissue Specificity Scores.,,Uses resource as analysis tool; Multiple usage indicators (2 categories),"reveals_identifies, tool_for",2
32369596,pepFunk: a tool for peptide-centric functional analysis of metaproteomic human gut microbiome studies.,,Focuses on analysis/study using data from resource; Multiple usage indicators (2 categories),"analysis_study, tool_for",2
21911364,"Daedalus: a robust, turnkey platform for rapid production of decigram quantities of active recombinant proteins in human cell lines using novel lentiviral vectors.",,Uses resource as analysis tool; Multiple usage indicators (2 categories),"using_with, tool_for",2
24563838,Research and teaching with the AFTOL SBD: an informatics resource for fungal subcellular and biochemical data.,sbd,Uses resource as analysis tool; Multiple usage indicators (2 categories),"using_with, tool_for",2
28096900,"MS_HistoneDB, a manually curated resource for proteomic analysis of human and mouse histones.",,Focuses on analysis/study using data from resource; Multiple usage indicators (2 categories),"analysis_study, tool_for",2
29997280,[FreeSurfer as a Platform for Associating Brain Structure with Function].,,Uses resource as analysis tool; Multiple usage indicators (2 categories),"using_with, tool_for",2
32467965,AOP4EUpest: mapping of pesticides in adverse outcome pathways using a text mining tool.,,Uses resource as analysis tool; Data mining/querying of existing resource; Multiple usage indicators (2 categories),"using_with, mining_data",2
33155801,UPEFinder: A Bioinformatic Tool for the Study of Uncharacterized Proteins Based on Gene Expression Correlation and the PageRank Algorithm.,,Describes method/approach based on resource data; Multiple usage indicators (2 categories),"based_approach, tool_for",2
31539030,TASUKE+: a web-based platform for exploring genome-wide association studies results and large-scale resequencing data.,tasuke,Data mining/querying of existing resource; Multiple usage indicators (2 categories),"mining_data, tool_for",2
31553576,"The EFI Web Resource for Genomic Enzymology Tools: Leveraging Protein, Genome, and Metagenome Databases to Discover Novel Enzymes and Metabolic Pathways.",efi,Uses resource as analysis tool; Multiple usage indicators (2 categories),"reveals_identifies, tool_for",2
34352070,NetControl4BioMed: a web-based platform for controllability analysis of protein-protein interaction networks.,,Focuses on analysis/study using data from resource; Multiple usage indicators (2 categories),"analysis_study, tool_for",2
33639834,miTAR: a hybrid deep learning-based approach for predicting miRNA targets.,mitar,Describes method/approach based on resource data; Multiple usage indicators (2 categories),"based_approach, tool_for",2
29228271,LitPathExplorer: a confidence-based visual text analytics tool for exploring literature-enriched pathway models.,,Data mining/querying of existing resource; Multiple usage indicators (2 categories),"mining_data, tool_for",2
31972373,MMPdb and MitoPredictor: Tools for facilitating comparative analysis of animal mitochondrial proteomes.,mmpdb,Focuses on analysis/study using data from resource; Multiple usage indicators (2 categories),"analysis_study, tool_for",2
32638008,ProVision: a web-based platform for rapid analysis of proteomics data processed by MaxQuant.,,Focuses on analysis/study using data from resource; Multiple usage indicators (2 categories),"analysis_study, tool_for",2
25938432,Tn-seq explorer: a tool for analysis of high-throughput sequencing data of transposon mutant libraries.,,Focuses on analysis/study using data from resource; Multiple usage indicators (2 categories),"analysis_study, tool_for",2
31419935,VIST - a Variant-Information Search Tool for precision oncology.,vist,Data mining/querying of existing resource; Multiple usage indicators (2 categories),"mining_data, tool_for",2
27769238,BCM: toolkit for Bayesian analysis of Computational Models using samplers.,bcm,Uses resource as analysis tool; Focuses on analysis/study using data from resource; Multiple usage indicators (2 categories),"using_with, analysis_study",2
22125388,HGT-Gen: a tool for generating a phylogenetic tree with horizontal gene transfer.,,Uses resource as analysis tool; Multiple usage indicators (2 categories),"using_with, tool_for",2
33028193,MSpectraAI: a powerful platform for deciphering proteome profiling of multi-tumor mass spectrometry data by using deep neural networks.,,Uses resource as analysis tool; Multiple usage indicators (2 categories),"using_with, tool_for",2
25009129,StemSearch: RNA search tool based on stem identification and indexing.,,Describes method/approach based on resource data; Data mining/querying of existing resource; Multiple usage indicators (2 categories),"based_approach, mining_data",2
25062914,tmBioC: improving interoperability of text-mining tools with BioC.,tmbioc,Uses resource as analysis tool; Data mining/querying of existing resource; Multiple usage indicators (2 categories),"using_with, mining_data",2
30865284,PleioNet: a web-based visualization tool for exploring pleiotropy across complex traits.,,Data mining/querying of existing resource; Multiple usage indicators (2 categories),"mining_data, tool_for",2
29974823,Health Equity Assessment Toolkit Plus (HEAT Plus): software for exploring and comparing health inequalities using uploaded datasets.,,Uses resource as analysis tool; Data mining/querying of existing resource; Multiple usage indicators (2 categories),"using_with, mining_data",2
28824589,Fast and Simple Analysis of MiSeq Amplicon Sequencing Data with MetaAmp.,,Uses resource as analysis tool; Focuses on analysis/study using data from resource; Multiple usage indicators (2 categories),"using_with, analysis_study",2
32735679,Planet Microbe: a platform for marine microbiology to discover and analyze interconnected 'omics and environmental data.,,Uses resource as analysis tool; Multiple usage indicators (2 categories),"reveals_identifies, tool_for",2
31091262,Mutplot: An easy-to-use online tool for plotting complex mutation data with flexibility.,,Uses resource as analysis tool; Multiple usage indicators (2 categories),"using_with, tool_for",2
27174935,tRNAscan-SE On-line: integrating search and context for analysis of transfer RNA genes.,,Focuses on analysis/study using data from resource; Data mining/querying of existing resource; Multiple usage indicators (2 categories),"analysis_study, mining_data",2
32315327,"Dataflow programming for the analysis of molecular dynamics with AViS, an analysis and visualization software application.",avis,Uses resource as analysis tool; Focuses on analysis/study using data from resource; Multiple usage indicators (2 categories),"using_with, analysis_study",2
30908487,"Searching algorithm for Type IV effector proteins (S4TE) 2.0: Improved tools for Type IV effector prediction, analysis and comparison in proteobacteria.",s4te,Data mining/querying of existing resource; Multiple usage indicators (2 categories),"mining_data, tool_for",2
28203233,Exo-miRExplorer: A Comprehensive Resource for Exploring and Comparatively Analyzing Exogenous MicroRNAs.,,Data mining/querying of existing resource; Multiple usage indicators (2 categories),"mining_data, tool_for",2
32777825,APRICOT: Advanced Platform for Reproducible Infrastructures in the Cloud via Open Tools.,apricot,Uses resource as analysis tool; Multiple usage indicators (2 categories),"using_with, tool_for",2
31070723,Graphical data mining of cancer mechanisms with SEMA.,sema,Uses resource as analysis tool; Data mining/querying of existing resource; Multiple usage indicators (2 categories),"using_with, mining_data",2
22292078,SPPS: a sequence-based method for predicting probability of protein-protein interaction partners.,spps,Describes method/approach based on resource data; Multiple usage indicators (2 categories),"based_approach, tool_for",2
25426929,"ALLocator: an interactive web platform for the analysis of metabolomic LC-ESI-MS datasets, enabling semi-automated, user-revised compound annotation and mass isotopomer ratio analysis.",,Focuses on analysis/study using data from resource; Multiple usage indicators (2 categories),"analysis_study, tool_for",2
34581565,Rapid Automated Annotation and Analysis of N-Glycan Mass Spectrometry Imaging Data Sets Using NGlycDB in METASPACE.,,Uses resource as analysis tool; Focuses on analysis/study using data from resource; Multiple usage indicators (2 categories),"using_with, analysis_study",2
34928054,LINT-Web: A Web-Based Lipidomic Data Mining Tool Using Intra-Omic Integrative Correlation Strategy.,,Uses resource as analysis tool; Data mining/querying of existing resource; Multiple usage indicators (2 categories),"using_with, mining_data",2
30561550,lordFAST: sensitive and Fast Alignment Search Tool for LOng noisy Read sequencing Data.,,Data mining/querying of existing resource; Multiple usage indicators (2 categories),"mining_data, tool_for",2
23677614,aLeaves facilitates on-demand exploration of metazoan gene family trees on MAFFT sequence alignment server with enhanced interactivity.,,Uses resource as analysis tool; Data mining/querying of existing resource; Multiple usage indicators (2 categories),"using_with, mining_data",2
31368353,OSkirc: a web tool for identifying prognostic biomarkers in kidney renal clear cell carcinoma.,oskirc,Uses resource as analysis tool; Multiple usage indicators (2 categories),"reveals_identifies, tool_for",2
