pmid,title,primary_entity_short,matched_categories,pattern_count
30306900,Enhancing Nationwide Medico-Administrative Databases Analysis with SAF4SUHAD: A Statistical Analysis Framework for Secondary Use of Healthcare Administrative Databases.,saf4suhad,"workflow_pipeline, comparison_benchmark, computational_ml, using_phrases",4
23055631,MACBenAbim: A Multi-platform Mobile Application for searching keyterms in Computational Biology and Bioinformatics.,,"workflow_pipeline, computational_ml, using_phrases, validation_study",4
33833745,Forensic Microbiome Database: A Tool for Forensic Geolocation Meta-Analysis Using Publicly Available 16S rRNA Microbiome Sequencing.,,"workflow_pipeline, comparison_benchmark, data_integration, using_phrases",4
30639314,MapMan4: A Refined Protein Classification and Annotation Framework Applicable to Multi-Omics Data Analysis.,,"workflow_pipeline, comparison_benchmark, computational_ml, data_integration",4
25481009,ICMA: an integrated cardiac modeling and analysis platform.,icma,"workflow_pipeline, comparison_benchmark, computational_ml, data_integration",4
31893376,Quantifying Metabolic Transfer Mediated by Extracellular Vesicles Using Exo-MFA: An Integrated Empirical and Computational Platform.,,"workflow_pipeline, computational_ml, data_integration, using_phrases",4
34124887,HologLev: A Hybrid Magnetic Levitation Platform Integrated with Lensless Holographic Microscopy for Density-Based Cell Analysis.,,"workflow_pipeline, comparison_benchmark, data_integration, using_phrases",4
24475928,geneCommittee: a web-based tool for extensively testing the discriminatory power of biologically relevant gene sets in microarray data classification.,,"workflow_pipeline, computational_ml, using_phrases, validation_study",4
28582481,FunGAP: Fungal Genome Annotation Pipeline using evidence-based gene model evaluation.,ungap,"workflow_pipeline, comparison_benchmark, computational_ml, using_phrases",4
31820382,"High Precision RPPA: Concept, Features, and Application Performance of the Integrated Zeptosens Platform.",rppa,"workflow_pipeline, comparison_benchmark, data_integration, validation_study",4
27153579,ARGs-OAP: online analysis pipeline for antibiotic resistance genes detection from metagenomic data using an integrated structured ARG-database.,oap,"workflow_pipeline, comparison_benchmark, data_integration, using_phrases",4
29360930,"ADEPTUS: a discovery tool for disease prediction, enrichment and network analysis based on profiles from many diseases.",deptus,"workflow_pipeline, comparison_benchmark, computational_ml, using_phrases",4
23709163,"PC-PVT: a platform for psychomotor vigilance task testing, analysis, and prediction.",pc-pvt,"workflow_pipeline, comparison_benchmark, computational_ml, validation_study",4
29944838,Comprehensive Toxic Plants-Phytotoxins Database and Its Application in Assessing Aquatic Micropollution Potential.,,"comparison_benchmark, data_integration, using_phrases, validation_study",4
23802613,Rainbow: a tool for large-scale whole-genome sequencing data analysis using cloud computing.,,"workflow_pipeline, comparison_benchmark, data_integration, using_phrases",4
25644269,ClassifyR: an R package for performance assessment of classification with applications to transcriptomics.,,"workflow_pipeline, comparison_benchmark, computational_ml, using_phrases",4
27975283,TMT One-Stop Shop: From Reliable Sample Preparation to Computational Analysis Platform.,tmt,"workflow_pipeline, comparison_benchmark, computational_ml, using_phrases",4
29718096,GapRepairer: a server to model a structural gap and validate it using topological analysis.,,"comparison_benchmark, computational_ml, using_phrases, validation_study",4
25183062,Pegasus: a comprehensive annotation and prediction tool for detection of driver gene fusions in cancer.,,"workflow_pipeline, computational_ml, data_integration, using_phrases",4
27827988,The European Classical Swine Fever Virus Database: Blueprint for a Pathogen-Specific Sequence Database with Integrated Sequence Analysis Tools.,,"workflow_pipeline, comparison_benchmark, data_integration, using_phrases",4
21994219,The Infobiotics Workbench: an integrated in silico modelling platform for Systems and Synthetic Biology.,,"workflow_pipeline, computational_ml, data_integration, using_phrases",4
24792048,A protocol for visual analysis of alternative splicing in RNA-Seq data using integrated genome browser.,,"workflow_pipeline, comparison_benchmark, data_integration, using_phrases",4
25471253,The COPD Knowledge Base: enabling data analysis and computational simulation in translational COPD research.,base,"comparison_benchmark, computational_ml, data_integration, using_phrases",4
23174015,Bioinformatics Resource Manager v2.3: an integrated software environment for systems biology with microRNA and cross-species analysis tools.,,"workflow_pipeline, comparison_benchmark, data_integration, using_phrases",4
31504171,New insights on human essential genes based on integrated analysis and the construction of the HEGIAP web-based platform.,hegiap,"workflow_pipeline, comparison_benchmark, data_integration, using_phrases",4
31212742,Systematic Analysis of a Military Wearable Device Based on a Multi-Level Fusion Framework: Research Directions.,,"workflow_pipeline, comparison_benchmark, data_integration, using_phrases",4
23427990,"Motif discovery with data mining in 3D protein structure databases: discovery, validation and prediction of the U-shape zinc binding (""Huf-Zinc"") motif.",,"computational_ml, data_integration, using_phrases, validation_study",4
21749710,Algal Functional Annotation Tool: a web-based analysis suite to functionally interpret large gene lists using integrated annotation and expression data.,,"workflow_pipeline, comparison_benchmark, data_integration, using_phrases",4
22772948,A sequence comparison and gene expression data integration add-on for the Pathway Tools software.,,"workflow_pipeline, comparison_benchmark, data_integration, using_phrases",4
25068035,"The Software Ontology (SWO): a resource for reproducibility in biomedical data analysis, curation and digital preservation.",swo,"workflow_pipeline, comparison_benchmark, data_integration, using_phrases",4
23584940,Mass spectrometry based lipid(ome) analyzer and molecular platform: a new software to interpret and analyze electrospray and/or matrix-assisted laser desorption/ionization mass spectrometric data of lipids: a case study from Mycobacterium tuberculosis.,,"workflow_pipeline, comparison_benchmark, using_phrases, validation_study",4
33845759,Performance improvement for a 2D convolutional neural network by using SSC encoding on protein-protein interaction tasks.,ssc,"comparison_benchmark, computational_ml, using_phrases, database_update",4
32628719,OSS-DBS: Open-source simulation platform for deep brain stimulation with a comprehensive automated modeling.,oss-dbs,"workflow_pipeline, computational_ml, data_integration, using_phrases",4
24565063,HeLiVa platform: integrated heart-liver-vascular systems for drug testing in human health and disease.,heliva,"workflow_pipeline, data_integration, using_phrases, validation_study",4
34270058,The Application of an R Language-Based Platform cRacker for Phosphoproteomics Data Analysis.,,"workflow_pipeline, comparison_benchmark, data_integration, validation_study",4
28245811,RNA-protein binding motifs mining with a new hybrid deep learning based cross-domain knowledge integration approach.,ideep,"workflow_pipeline, computational_ml, data_integration, using_phrases",4
22976484,An integrated image analysis platform to quantify signal transduction in single cells.,,"workflow_pipeline, comparison_benchmark, data_integration, using_phrases",4
23846744,An integrated toolkit for accurate prediction and analysis of cis-regulatory motifs at a genome scale.,bobro2,"workflow_pipeline, comparison_benchmark, computational_ml, data_integration",4
31714956,Comprehensive review and assessment of computational methods for predicting RNA post-transcriptional modification sites from RNA sequences.,,"comparison_benchmark, computational_ml, data_integration, using_phrases",4
21736739,An integrated ChIP-seq analysis platform with customizable workflows.,,"workflow_pipeline, comparison_benchmark, data_integration, using_phrases",4
29748851,A Platform for Innovation and Standards Evaluation: a Case Study from the OpenMRS Open-Source Radiology Information System.,,"workflow_pipeline, comparison_benchmark, using_phrases, validation_study",4
29697740,Pattern recognition analysis on long noncoding RNAs: a tool for prediction in plants.,,"workflow_pipeline, comparison_benchmark, computational_ml, using_phrases",4
31007293,From source code to test cases: A comprehensive benchmark for resource leak detection in Android apps.,,"comparison_benchmark, data_integration, using_phrases, validation_study",4
22863766,"An R package suite for microarray meta-analysis in quality control, differentially expressed gene analysis and pathway enrichment detection.",,"workflow_pipeline, comparison_benchmark, data_integration, using_phrases",4
28849560,"Functional Analysis of OMICs Data and Small Molecule Compounds in an Integrated ""Knowledge-Based"" Platform.",pa,"workflow_pipeline, comparison_benchmark, data_integration, using_phrases",4
31222199,Accumulating computational resource usage of genomic data analysis workflow to optimize cloud computing instance selection.,etrics,"workflow_pipeline, comparison_benchmark, computational_ml, data_integration",4
29688356,GAN: a platform of genomics and genetics analysis and application in Nicotiana.,,"workflow_pipeline, comparison_benchmark, using_phrases, validation_study",4
21668950,A computational approach to candidate gene prioritization for X-linked mental retardation using annotation-based binary filtering and motif-based linear discriminatory analysis.,,"workflow_pipeline, comparison_benchmark, computational_ml, using_phrases",4
28358862,Comprehensive framework for visualizing and analyzing spatio-temporal dynamics of racial diversity in the entire United States.,,"workflow_pipeline, comparison_benchmark, data_integration, using_phrases",4
27029637,An integrated analysis tool for analyzing hybridization intensities and genotypes using new-generation population-optimized human arrays.,,"workflow_pipeline, comparison_benchmark, data_integration, using_phrases",4
28577791,PlanTEnrichment: A tool for enrichment analysis of transposable elements in plants.,,"workflow_pipeline, comparison_benchmark, using_phrases",3
26758513,CANEapp: a user-friendly application for automated next generation transcriptomic data analysis.,,"comparison_benchmark, data_integration, validation_study",3
23497159,Promzea: a pipeline for discovery of co-regulatory motifs in maize and other plant species and its application to the anthocyanin and phlobaphene biosynthetic pathways and the Maize Development Atlas.,,"workflow_pipeline, using_phrases, validation_study",3
34174938,"Advancing clinical genomics and precision medicine with GVViZ: FAIR bioinformatics platform for variable gene-disease annotation, visualization, and expression analysis.",gvviz,"workflow_pipeline, comparison_benchmark, using_phrases",3
33324449,Web-Based Genome Analysis of Bacterial Meningitis Pathogens for Public Health Applications Using the Bacterial Meningitis Genomic Analysis Platform (BMGAP).,bmgap,"workflow_pipeline, comparison_benchmark, using_phrases",3
34147079,ORFik: a comprehensive R toolkit for the analysis of translation.,orfik,"workflow_pipeline, comparison_benchmark, data_integration",3
26635364,Wasabi: An Integrated Platform for Evolutionary Sequence Analysis and Data Visualization.,wasabi,"workflow_pipeline, comparison_benchmark, data_integration",3
27519173,ISOexpresso: a web-based platform for isoform-level expression analysis in human cancer.,,"workflow_pipeline, comparison_benchmark, using_phrases",3
31074377,ODAE: Ontology-based systematic representation and analysis of drug adverse events and its usage in study of adverse events given different patient age and disease conditions.,odae,"comparison_benchmark, data_integration, using_phrases",3
30131825,"MARVEL, a Tool for Prediction of Bacteriophage Sequences in Metagenomic Bins.",marvel,"workflow_pipeline, computational_ml, using_phrases",3
26485569,MATtrack: A MATLAB-Based Quantitative Image Analysis Platform for Investigating Real-Time Photo-Converted Fluorescent Signals in Live Cells.,,"workflow_pipeline, comparison_benchmark, using_phrases",3
31443733,Variant Interpretation for Cancer (VIC): a computational tool for assessing clinical impacts of somatic variants.,vic,"workflow_pipeline, comparison_benchmark, computational_ml",3
31427293,Validating the AMRFinder Tool and Resistance Gene Database by Using Antimicrobial Resistance Genotype-Phenotype Correlations in a Collection of Isolates.,,"workflow_pipeline, using_phrases, validation_study",3
27170236,Advancing Exposure Science through Chemical Data Curation and Integration in the Comparative Toxicogenomics Database.,,"comparison_benchmark, data_integration, using_phrases",3
22647087,PyMS: a Python toolkit for processing of gas chromatography-mass spectrometry (GC-MS) data. Application and comparative study of selected tools.,pyms,"workflow_pipeline, comparison_benchmark, validation_study",3
30999845,GenHap: a novel computational method based on genetic algorithms for haplotype assembly.,genhap,"workflow_pipeline, computational_ml, using_phrases",3
32082281,FeGenie: A Comprehensive Tool for the Identification of Iron Genes and Iron Gene Neighborhoods in Genome and Metagenome Assemblies.,,"workflow_pipeline, data_integration, using_phrases",3
34235898,3DPhenoFish: Application for two- and three-dimensional fish morphological phenotype extraction from point cloud analysis.,,"comparison_benchmark, using_phrases, validation_study",3
30241466,ECPred: a tool for the prediction of the enzymatic functions of protein sequences based on the EC nomenclature.,ecpred,"workflow_pipeline, computational_ml, using_phrases",3
32112578,FiRES: A computational method for the de novo identification of internal structure similarity in proteins.,fires,"workflow_pipeline, computational_ml, using_phrases",3
22449399,MotViz: a tool for sequence motif prediction in parallel to structural visualization and analyses.,motviz,"workflow_pipeline, computational_ml, using_phrases",3
25867189,"T346Hunter: a novel web-based tool for the prediction of type III, type IV and type VI secretion systems in bacterial genomes.",,"workflow_pipeline, computational_ml, using_phrases",3
30261835,Sequence homology in eukaryotes (SHOE): interactive visual tool for promoter analysis.,shoe,"workflow_pipeline, comparison_benchmark, using_phrases",3
23703215,WEB-based GEne SeT AnaLysis Toolkit (WebGestalt): update 2013.,,"workflow_pipeline, comparison_benchmark, database_update",3
"21933848, 22434833",The curation paradigm and application tool used for manual curation of the scientific literature at the Comparative Toxicogenomics Database.,,"workflow_pipeline, comparison_benchmark, validation_study",3
"22064862, 24185697",The Candida genome database incorporates multiple Candida species: multispecies search and analysis tools with curated gene and protein information for Candida albicans and Candida glabrata.,,"workflow_pipeline, comparison_benchmark, using_phrases",3
30212910,Spfy: an integrated graph database for real-time prediction of bacterial phenotypes and downstream comparative analyses.,spfy,"comparison_benchmark, computational_ml, data_integration",3
31089974,RIL-Contour: a Medical Imaging Dataset Annotation Tool for and with Deep Learning.,,"workflow_pipeline, computational_ml, using_phrases",3
24555844,PathNER: a tool for systematic identification of biological pathway mentions in the literature.,,"workflow_pipeline, data_integration, using_phrases",3
22480273,Tav4SB: integrating tools for analysis of kinetic models of biological systems.,tav4sb,"workflow_pipeline, comparison_benchmark, data_integration",3
32035227,DeepCPI: A Deep Learning-based Framework for Large-scale in silico Drug Screening.,,"workflow_pipeline, computational_ml, using_phrases",3
33834198,DisBalance: a platform to automatically build balance-based disease prediction models and discover microbial biomarkers from microbiome data.,,"workflow_pipeline, computational_ml, using_phrases",3
29850816,LncADeep: an ab initio lncRNA identification and functional annotation tool based on deep learning.,,"workflow_pipeline, computational_ml, using_phrases",3
23665844,MetPP: a computational platform for comprehensive two-dimensional gas chromatography time-of-flight mass spectrometry-based metabolomics.,metpp,"workflow_pipeline, computational_ml, data_integration",3
22188791,THEME: a web tool for loop-design microarray data analysis.,theme,"workflow_pipeline, comparison_benchmark, data_integration",3
22219203,PASSion: a pattern growth algorithm-based pipeline for splice junction detection in paired-end RNA-Seq data.,,"workflow_pipeline, computational_ml, using_phrases",3
30841853,iGEAK: an interactive gene expression analysis kit for seamless workflow using the R/shiny platform.,igeak,"workflow_pipeline, comparison_benchmark, using_phrases",3
28807044,MetaMeta: integrating metagenome analysis tools to improve taxonomic profiling.,,"workflow_pipeline, comparison_benchmark, data_integration",3
26773058,CrossHub: a tool for multi-way analysis of The Cancer Genome Atlas (TCGA) in the context of gene expression regulation mechanisms.,,"workflow_pipeline, comparison_benchmark, using_phrases",3
25637560,Omics Pipe: a community-based framework for reproducible multi-omics data analysis.,,"workflow_pipeline, comparison_benchmark, data_integration",3
31595406,www.3d-qsar.com: a web portal that brings 3-D QSAR to all electronic devices-the Py-CoMFA web application as tool to build models from pre-aligned datasets.,,"workflow_pipeline, using_phrases, validation_study",3
25760677,PGTools: A Software Suite for Proteogenomic Data Analysis and Visualization.,,"workflow_pipeline, comparison_benchmark, data_integration",3
32449936,CVCDAP: an integrated platform for molecular and clinical analysis of cancer virtual cohorts.,cvcdap,"workflow_pipeline, comparison_benchmark, data_integration",3
32165660,COMPSRA: a COMprehensive Platform for Small RNA-Seq data Analysis.,compsra,"workflow_pipeline, comparison_benchmark, data_integration",3
22901030,CaPSID: a bioinformatics platform for computational pathogen sequence identification in human genomes and transcriptomes.,capsid,"workflow_pipeline, computational_ml, using_phrases",3
27161010,ToxEvaluator: an integrated computational platform to aid the interpretation of toxicology study-related findings.,,"workflow_pipeline, computational_ml, data_integration",3
34500471,scDeepSort: a pre-trained cell-type annotation method for single-cell transcriptomics using deep learning with a weighted graph neural network.,,"workflow_pipeline, computational_ml, using_phrases",3
25329307,IMPACT_S: integrated multiprogram platform to analyze and combine tests of selection.,impact_s,"workflow_pipeline, comparison_benchmark, data_integration",3
31764991,"ADDO: a comprehensive toolkit to detect, classify and visualize additive and non-additive quantitative trait loci.",addo,"workflow_pipeline, computational_ml, data_integration",3
24927599,"High-throughput comparison, functional annotation, and metabolic modeling of plant genomes using the PlantSEED resource.",,"comparison_benchmark, computational_ml, using_phrases",3
30165425,ISDB: a database toolkit for storing and analyzing viral integration site data.,isdb,"workflow_pipeline, comparison_benchmark, data_integration",3
33800487,"iVar, an Interpretation-Oriented Tool to Manage the Update and Revision of Variant Annotation and Classification.",ivar,"workflow_pipeline, computational_ml, database_update",3
31703551,MiPepid: MicroPeptide identification tool using machine learning.,,"workflow_pipeline, computational_ml, using_phrases",3
32117104,sraX: A Novel Comprehensive Resistome Analysis Tool.,srax,"workflow_pipeline, comparison_benchmark, data_integration",3
23875761,"3Omics: a web-based systems biology tool for analysis, integration and visualization of human transcriptomic, proteomic and metabolomic data.",3omics,"workflow_pipeline, comparison_benchmark, data_integration",3
33524015,REDCRAFT: A computational platform using residual dipolar coupling NMR data for determining structures of perdeuterated proteins in solution.,redcraft,"workflow_pipeline, computational_ml, using_phrases",3
32249316,ShinyLearner: A containerized benchmarking tool for machine-learning classification of tabular data.,,"workflow_pipeline, comparison_benchmark, computational_ml",3
30794548,BioNetApp: An interactive visual data analysis platform for molecular expressions.,,"workflow_pipeline, comparison_benchmark, data_integration",3
34589187,PROMISed: A novel web-based tool to facilitate analysis and visualization of the molecular interaction networks from co-fractionation mass spectrometry (CF-MS) experiments.,,"workflow_pipeline, comparison_benchmark, using_phrases",3
28221024,iMet: A Network-Based Computational Tool To Assist in the Annotation of Metabolites from Tandem Mass Spectra.,imet,"workflow_pipeline, computational_ml, using_phrases",3
24771340,NetVenn: an integrated network analysis web platform for gene lists.,,"workflow_pipeline, comparison_benchmark, data_integration",3
22290570,VAR-MD: a tool to analyze whole exome-genome variants in small human pedigrees with mendelian inheritance.,var-md,"workflow_pipeline, comparison_benchmark, using_phrases",3
32715315,Virus-CKB: an integrated bioinformatics platform and analysis resource for COVID-19 research.,,"workflow_pipeline, comparison_benchmark, data_integration",3
29235070,PredPsych: A toolbox for predictive machine learning-based approach in experimental psychology research.,,"workflow_pipeline, computational_ml, using_phrases",3
21854652,Haplo2Ped: a tool using haplotypes as markers for linkage analysis.,,"workflow_pipeline, comparison_benchmark, using_phrases",3
29850798,PEA: an integrated R toolkit for plant epitranscriptome analysis.,pea,"workflow_pipeline, comparison_benchmark, data_integration",3
21998740,"S-MART, a software toolbox to aid RNA-Seq data analysis.",s-mart,"workflow_pipeline, comparison_benchmark, data_integration",3
