pmid,title,primary_entity_short,primary_entity_long,setfit_confidence,matched_categories,num_categories
31762961,MaizeSNPDB: A comprehensive database for efficient retrieve and analysis of SNPs among 1210 maize lines.,,maizesnpdb,,analysis_studies,1
28150236,Bioinformatics Analysis of Protein Phosphorylation in Plant Systems Biology Using P3DB.,p3db,,0.7213028,analysis_studies,1
32112578,FiRES: A computational method for the de novo identification of internal structure similarity in proteins.,fires,,,gene_function,1
33247936,VarStack: a web tool for data retrieval to interpret somatic variants in cancer.,,varstack,,clinical_disease,1
28077405,VRprofile: gene-cluster-detection-based profiling of virulence and antibiotic resistance traits encoded within genome sequences of pathogenic bacteria.,,vrprofile,,analysis_studies,1
21851635,SolRgene: an online database to explore disease resistance genes in tuber-bearing Solanum species.,,solrgene,0.70163107,clinical_disease,1
33008309,PALMER: improving pathway annotation based on the biomedical literature mining with a constrained latent block model.,palmer,,0.7098375,pathway_mechanism,1
33613485,VirionFinder: Identification of Complete and Partial Prokaryote Virus Virion Protein From Virome Data Using the Sequence and Biochemical Properties of Amino Acids.,,virionfinder,,gene_function,1
34107016,VirusViz: comparative analysis and effective visualization of viral nucleotide and amino acid variants.,,virusviz,,analysis_studies,1
27446120,PlantAPA: A Portal for Visualization and Analysis of Alternative Polyadenylation in Plants.,,plantapa,0.7203165,analysis_studies,1
31432427,Essential Features and Use Cases of the Cerebrospinal Fluid Proteome Resource (CSF-PR).,,cerebrospinal fluid proteome resource,,analysis_studies,1
27899582,"The Zebrafish Model Organism Database: new support for human disease models, mutation details, gene expression phenotypes and searching.",,zebrafish model organism database,,"clinical_disease, variants_mutations",2
25040013,Identifying mouse models for skin cancer using the Mouse Tumor Biology Database.,,mouse tumor biology database,0.71249354,clinical_disease,1
27573070,gFinder: A Web-Based Bioinformatics Tool for the Analysis of N-Glycopeptides.,,gfinder,0.71591157,analysis_studies,1
24215026,PTMTreeSearch: a novel two-stage tree-search algorithm with pruning rules for the identification of post-translational modification of proteins in MS/MS spectra.,,ptmtreesearch,,gene_function,1
28651562,GRAPE: a pathway template method to characterize tissue-specific functionality from gene expression profiles.,grape,,,pathway_mechanism,1
28610638,BADERI: an online database to coordinate handsearching activities of controlled clinical trials for their potential inclusion in systematic reviews.,baderi,,,clinical_disease,1
23761454,SigniSite: Identification of residue-level genotype-phenotype correlations in protein multiple sequence alignments.,,signisite,,"gene_function, variants_mutations",2
32738892,RiboMiner: a toolset for mining multi-dimensional features of the translatome with ribosome profiling data.,,ribominer,,analysis_studies,1
23577105,aBEAT: a toolbox for consistent analysis of longitudinal adult brain MRI.,abeat,,,analysis_studies,1
"24077912, 28349240","The Human Gene Mutation Database: building a comprehensive mutation repository for clinical and molecular genetics, diagnostic testing and personalized genomic medicine.",,human gene mutation database,,"clinical_disease, variants_mutations",2
29669518,IRProfiler - a software toolbox for high throughput immune receptor profiling.,,irprofiler,0.70886075,analysis_studies,1
30054214,The DrugPattern tool for drug set enrichment analysis and its prediction for beneficial effects of oxLDL on type 2 diabetes.,,drugpattern,,drug_compound,1
30212910,Spfy: an integrated graph database for real-time prediction of bacterial phenotypes and downstream comparative analyses.,spfy,,0.7230635,pathway_mechanism,1
23541197,"The Pathogen-annotated Tracking Resource Network (PATRN) system: a web-based resource to aid food safety, regulatory science, and investigations of foodborne pathogens and disease.",patrn,,0.7142493,clinical_disease,1
22194640,IMG: the Integrated Microbial Genomes database and comparative analysis system.,img,,,analysis_studies,1
34371319,MDA-CF: Predicting MiRNA-Disease associations based on a cascade forest model by fusing multi-source information.,mda-cf,,,"clinical_disease, pathway_mechanism",2
31127704,VCF-Server: A web-based visualization tool for high-throughput variant data mining and management.,,vcf-server,,variants_mutations,1
29993756,PathEmb: Random Walk Based Document Embedding for Global Pathway Similarity Search.,,pathemb,,pathway_mechanism,1
24555844,PathNER: a tool for systematic identification of biological pathway mentions in the literature.,,pathner,,"gene_function, pathway_mechanism",2
22480273,Tav4SB: integrating tools for analysis of kinetic models of biological systems.,tav4sb,,0.72305715,analysis_studies,1
21696592,Structural influence of gene networks on their inference: analysis of C3NET.,c3net,,,analysis_studies,1
32035227,DeepCPI: A Deep Learning-based Framework for Large-scale in silico Drug Screening.,,deepcpi,,drug_compound,1
32471342,MethGET: web-based bioinformatics software for correlating genome-wide DNA methylation and gene expression.,,methget,,analysis_studies,1
33834198,DisBalance: a platform to automatically build balance-based disease prediction models and discover microbial biomarkers from microbiome data.,,disbalance,,clinical_disease,1
28807044,MetaMeta: integrating metagenome analysis tools to improve taxonomic profiling.,,metameta,,analysis_studies,1
21255607,"Aromatic-Aromatic Interactions Database, A(2)ID: an analysis of aromatic π-networks in proteins.",,aromatic-aromatic interactions database,,analysis_studies,1
26773058,CrossHub: a tool for multi-way analysis of The Cancer Genome Atlas (TCGA) in the context of gene expression regulation mechanisms.,,crosshub,,"clinical_disease, analysis_studies",2
22923303,COMPADRE: an R and web resource for pathway activity analysis by component decompositions.,,compadre,,pathway_mechanism,1
29504905,Closha: bioinformatics workflow system for the analysis of massive sequencing data.,closha,,,analysis_studies,1
34433415,Fast and SNP-aware short read alignment with SALT.,salt,,,variants_mutations,1
33289897,"Seaview Version 5: A Multiplatform Software for Multiple Sequence Alignment, Molecular Phylogenetic Analyses, and Tree Reconciliation.",,seaview,,analysis_studies,1
25794139,CAPER 3.0: A Scalable Cloud-Based System for Data-Intensive Analysis of Chromosome-Centric Human Proteome Project Data Sets.,caper,,,analysis_studies,1
24564609,cellXpress: a fast and user-friendly software platform for profiling cellular phenotypes.,,cellxpress,,analysis_studies,1
31735953,Identification of tRNA-derived ncRNAs in TCGA and NCI-60 panel cell lines and development of the public database tRFexplorer.,tcga,,,gene_function,1
31411687,CDEK: Clinical Drug Experience Knowledgebase.,cdek,,0.61761934,"clinical_disease, drug_compound",2
31439692,Pediatric Cancer Variant Pathogenicity Information Exchange (PeCanPIE): a cloud-based platform for curating and classifying germline variants.,,pecanpie,0.7069288,"clinical_disease, variants_mutations",2
23496976,AUREA: an open-source software system for accurate and user-friendly identification of relative expression molecular signatures.,aurea,,,gene_function,1
28407145,GEPIA: a web server for cancer and normal gene expression profiling and interactive analyses.,gepia,,,"clinical_disease, analysis_studies",2
25338045,ToxDBScan: Large-scale similarity screening of toxicological databases for drug candidates.,,toxdbscan,0.6982785,drug_compound,1
25948583,SELPHI: correlation-based identification of kinase-associated networks from global phospho-proteomics data sets.,selphi,,0.705893,gene_function,1
29429018,MOBCdb: a comprehensive database integrating multi-omics data on breast cancer for precision medicine.,mobcdb,,,clinical_disease,1
31089686,GIDB: a knowledge database for the automated curation and multidimensional analysis of molecular signatures in gastrointestinal cancer.,gidb,,0.7148782,"clinical_disease, analysis_studies",2
21441347,miTALOS: analyzing the tissue-specific regulation of signaling pathways by human and mouse microRNAs.,,mitalos,,"gene_function, pathway_mechanism",2
30786995,lnCAR: A Comprehensive Resource for lncRNAs from Cancer Arrays.,lncar,,0.7048363,clinical_disease,1
34600479,DECONbench: a benchmarking platform dedicated to deconvolution methods for tumor heterogeneity quantification.,,deconbench,,clinical_disease,1
32449936,CVCDAP: an integrated platform for molecular and clinical analysis of cancer virtual cohorts.,cvcdap,,,"clinical_disease, analysis_studies",2
26807911,CERENA: ChEmical REaction Network Analyzer--A Toolbox for the Simulation and Analysis of Stochastic Chemical Kinetics.,cerena,,,analysis_studies,1
22901030,CaPSID: a bioinformatics platform for computational pathogen sequence identification in human genomes and transcriptomes.,capsid,,0.7147023,clinical_disease,1
21273816,A database for the analysis of immunity genes in Drosophila: PADMA database.,padma,,0.7104135,"analysis_studies, species_specific",2
26101548,Open Drug Discovery Toolkit (ODDT): a new open-source player in the drug discovery field.,oddt,,,drug_compound,1
23636887,PhenoTips: patient phenotyping software for clinical and research use.,,phenotips,,clinical_disease,1
32778890,SurvivalMeth: a web server to investigate the effect of DNA methylation-related functional elements on prognosis.,,survivalmeth,,clinical_disease,1
32894181,COCOA: coordinate covariation analysis of epigenetic heterogeneity.,cocoa,,,analysis_studies,1
21791068,miRTar: an integrated system for identifying miRNA-target interactions in human.,mirtar,,,clinical_disease,1
23256889,CYPSI: a structure-based interface for cytochrome P450s and ligands in Arabidopsis thaliana.,cypsi,,,species_specific,1
31169290,ResMarkerDB: a database of biomarkers of response to antibody therapy in breast and colorectal cancer.,,resmarkerdb,,clinical_disease,1
33064305,GABC: A comprehensive resource and Genome Atlas for Breast Cancer.,gabc,,,clinical_disease,1
23236458,CINPER: an interactive web system for pathway prediction for prokaryotes.,cinper,,,pathway_mechanism,1
24484385,uPEPperoni: an online tool for upstream open reading frame location and analysis of transcript conservation.,,upepperoni,,"analysis_studies, pathway_mechanism",2
32619768,SR4R: An Integrative SNP Resource for Genomic Breeding and Population Research in Rice.,sr4r,,,"variants_mutations, species_specific",2
33230148,ClassifyCNV: a tool for clinical annotation of copy-number variants.,,classifycnv,,clinical_disease,1
26530724,PHYLUCE is a software package for the analysis of conserved genomic loci.,phyluce,,,analysis_studies,1
23904198,The Finnish disease heritage database (FinDis) update-a database for the genes mutated in the Finnish disease heritage brought to the next-generation sequencing era.,findis,,0.70641994,clinical_disease,1
34370400,"JWES: a new pipeline for whole genome/exome sequence data processing, management, and gene-variant discovery, annotation, prediction, and genotyping.",jwes,,,variants_mutations,1
33800487,"iVar, an Interpretation-Oriented Tool to Manage the Update and Revision of Variant Annotation and Classification.",ivar,,,variants_mutations,1
29947803,Quokka: a comprehensive tool for rapid and accurate prediction of kinase family-specific phosphorylation sites in the human proteome.,quokka,,,analysis_studies,1
22039405,SNPpy--database management for SNP data from genome wide association studies.,snppy,,,variants_mutations,1
29905870,The Microbial Genomes Atlas (MiGA) webserver: taxonomic and gene diversity analysis of Archaea and Bacteria at the whole genome level.,miga,,,analysis_studies,1
30423077,Semantic Disease Gene Embeddings (SmuDGE): phenotype-based disease gene prioritization without phenotypes.,smudge,,,clinical_disease,1
27302920,A signaling visualization toolkit to support rational design of combination therapies and biomarker discovery: SiViT.,sivit,,0.7065088,pathway_mechanism,1
29084591,Using DIVAN to assess disease/trait-associated single nucleotide variants in genome-wide scale.,divan,,,"clinical_disease, analysis_studies",2
34428318,VIP-HL: Semi-automated ACMG/AMP variant interpretation platform for genetic hearing loss.,vip-hl,,,variants_mutations,1
31069394,AlloDriver: a method for the identification and analysis of cancer driver targets.,,allodriver,,"clinical_disease, analysis_studies",2
30591010,DLAD4U: deriving and prioritizing disease lists from PubMed literature.,dlad4u,,,clinical_disease,1
29940847,ToTem: a tool for variant calling pipeline optimization.,totem,,,variants_mutations,1
30619469,PhageWeb - Web Interface for Rapid Identification and Characterization of Prophages in Bacterial Genomes.,,phageweb,,gene_function,1
34445647,ExpressHeart: Web Portal to Visualize Transcriptome Profiles of Non-Cardiomyocyte Cells.,,expressheart,0.7008184,analysis_studies,1
26673252,CARFMAP: A Curated Pathway Map of Cardiac Fibroblasts.,carfmap,,0.69466585,pathway_mechanism,1
22856375,EnigmaVis: online interactive visualization of genome-wide association studies of the Enhancing NeuroImaging Genetics through Meta-Analysis (ENIGMA) consortium.,,enigmavis,,analysis_studies,1
24705205,HPVdb: a data mining system for knowledge discovery in human papillomavirus with applications in T cell immunology and vaccinology.,hpvdb,,,clinical_disease,1
30097004,miREM: an expectation-maximization approach for prioritizing miRNAs associated with gene-set.,mirem,,,clinical_disease,1
31116477,MetaDome: Pathogenicity analysis of genetic variants through aggregation of homologous human protein domains.,,metadome,,analysis_studies,1
29470400,RaMP: A Comprehensive Relational Database of Metabolomics Pathways for Pathway Enrichment Analysis of Genes and Metabolites.,ramp,,,"analysis_studies, pathway_mechanism",2
29701758,BNPMDA: Bipartite Network Projection for MiRNA-Disease Association prediction.,bnpmda,,,clinical_disease,1
31602464,PathBank: a comprehensive pathway database for model organisms.,,pathbank,0.71198,pathway_mechanism,1
30154154,TIP: A Web Server for Resolving Tumor Immunophenotype Profiling.,tip,,,"clinical_disease, analysis_studies",2
28346786,Break Down in Order To Build Up: Decomposing Small Molecules for Fragment-Based Drug Design with eMolFrag.,,emolfrag,,drug_compound,1
27532626,FRETBursts: An Open Source Toolkit for Analysis of Freely-Diffusing Single-Molecule FRET.,,fretbursts,,analysis_studies,1
34530727,TFTenricher: a python toolbox for annotation enrichment analysis of transcription factor target genes.,,tftenricher,0.7174113,analysis_studies,1
22430798,MethLAB: a graphical user interface package for the analysis of array-based DNA methylation data.,,methlab,,analysis_studies,1
"29858801, 33755549",Allele Frequency Net Database.,,allele frequency net database,0.70084715,variants_mutations,1
29746620,Grouper: graph-based clustering and annotation for improved de novo transcriptome analysis.,,grouper,,analysis_studies,1
"23256906, 24261964",CAPER: a chromosome-assembled human proteome browsER.,caper,,,analysis_studies,1
29687309,DR2DI: a powerful computational tool for predicting novel drug-disease associations.,dr2di,,,"clinical_disease, drug_compound",2
29873773,"PSSMSearch: a server for modeling, visualization, proteome-wide discovery and annotation of protein motif specificity determinants.",,pssmsearch,0.7197621,analysis_studies,1
33212503,DeepBL: a deep learning-based approach for in silico discovery of beta-lactamases.,deepbl,,,discovery_findings,1
23134618,C²Maps: a network pharmacology database with comprehensive disease-gene-drug connectivity relationships.,c²maps,,0.70845044,"clinical_disease, drug_compound",2
25890833,WHATIF: An open-source desktop application for extraction and management of the incidental findings from next-generation sequencing variant data.,whatif,,,variants_mutations,1
21256977,AskHERMES: An online question answering system for complex clinical questions.,,askhermes,,clinical_disease,1
21714896,DOSim: an R package for similarity between diseases based on Disease Ontology.,dosim,,0.7095295,clinical_disease,1
32144346,NBIA: a network-based integrative analysis framework - applied to pathway analysis.,nbia,,,pathway_mechanism,1
31088348,anamiR: integrated analysis of MicroRNA and gene expression profiling.,anamir,,,analysis_studies,1
27801297,Path2enet: generation of human pathway-derived networks in an expression specific context.,,path2enet,,pathway_mechanism,1
26647377,Manta: rapid detection of structural variants and indels for germline and cancer sequencing applications.,manta,,,clinical_disease,1
32997169,MetFID: artificial neural network-based compound fingerprint prediction for metabolite annotation.,metfid,,0.70471686,drug_compound,1
30596994,MoMo: discovery of statistically significant post-translational modification motifs.,momo,,,discovery_findings,1
29564396,A Reference Viral Database (RVDB) To Enhance Bioinformatics Analysis of High-Throughput Sequencing for Novel Virus Detection.,rvdb,,0.6005269,analysis_studies,1
31888639,Genome analysis and knowledge-driven variant interpretation with TGex.,tgex,,,variants_mutations,1
26138036,"CER Hub: An informatics platform for conducting comparative effectiveness research using multi-institutional, heterogeneous, electronic clinical data.",,cer hub,,clinical_disease,1
29871933,TCIApathfinder: An R Client for the Cancer Imaging Archive REST API.,,tciapathfinder,,clinical_disease,1
31287543,Semalytics: a semantic analytics platform for the exploration of distributed and heterogeneous cancer data in translational research.,,semalytics,0.6961048,clinical_disease,1
33508309,aScan: A Novel Method for the Study of Allele Specific Expression in Single Individuals.,ascan,,,variants_mutations,1
22901092,DTome: a web-based tool for drug-target interactome construction.,dtome,,,drug_compound,1
29934899,Enalos Suite: New Cheminformatics Platform for Drug Discovery and Computational Toxicology.,,enalos suite,,drug_compound,1
30821321,Destin: toolkit for single-cell analysis of chromatin accessibility.,destin,,,analysis_studies,1
34184738,DeepIPs: comprehensive assessment and computational identification of phosphorylation sites of SARS-CoV-2 infection using a deep learning-based approach.,,deepips,,gene_function,1
26315209,"CSN and CAVA: variant annotation tools for rapid, robust next-generation sequencing analysis in the clinical setting.",cava,,,"clinical_disease, variants_mutations",2
21647737,iScreen: world's first cloud-computing web server for virtual screening and de novo drug design based on TCM database@Taiwan.,,iscreen,,drug_compound,1
"22434831, 23110975",Disease model curation improvements at Mouse Genome Informatics.,,mouse genome informatics,,clinical_disease,1
26400040,Xtalk: a path-based approach for identifying crosstalk between signaling pathways.,xtalk,,0.71283716,pathway_mechanism,1
28716001,Variant Ranker: a web-tool to rank genomic data according to functional significance.,,variant ranker,,variants_mutations,1
25971740,CAPRI: efficient inference of cancer progression models from cross-sectional data.,capri,,,clinical_disease,1
28069594,SigMod: an exact and efficient method to identify a strongly interconnected disease-associated module in a gene network.,sigmod,,,clinical_disease,1
28655339,India Allele Finder: a web-based annotation tool for identifying common alleles in next-generation sequencing data of Indian origin.,finder,,,variants_mutations,1
30614735,HColonDB: A Database for Human Colon Cancer Research.,,hcolondb,0.6780441,clinical_disease,1
33179749,RJunBase: a database of RNA splice junctions in human normal and cancerous tissues.,,rjunbase,,clinical_disease,1
27645405,DMAK: A curated pan-cancer DNA methylation annotation knowledgebase.,dmak,,0.69191,clinical_disease,1
26140928,"EvoDB: a database of evolutionary rate profiles, associated protein domains and phylogenetic trees for PFAM-A.",evodb,,,analysis_studies,1
33602974,Enrichment analyses of diseases and pathways associated with precocious puberty using PrecocityDB.,,precocitydb,,clinical_disease,1
30487811,SeqVItA: Sequence Variant Identification and Annotation Platform for Next Generation Sequencing Data.,,seqvita,,variants_mutations,1
31131402,BioUML: an integrated environment for systems biology and collaborative analysis of biomedical data.,biouml,,,analysis_studies,1
23034089,EpiExplorer: live exploration and global analysis of large epigenomic datasets.,,epiexplorer,,analysis_studies,1
31049585,MyDGR: a server for identification and characterization of diversity-generating retroelements.,mydgr,,,gene_function,1
33460906,ExHuMId: A curated resource and analysis of Exposome of Human Milk across India.,,exhumid,0.6877261,analysis_studies,1
22213072,"UMD-DYSF, a novel locus specific database for the compilation and interactive analysis of mutations in the dysferlin gene.",umd-dysf,,0.6628399,analysis_studies,1
29872545,RegenDbase: a comparative database of noncoding RNA regulation of tissue regeneration circuits across multiple taxa.,,regendbase,0.70006704,gene_function,1
34019643,eVITTA: a web-based visualization and inference toolbox for transcriptome analysis.,evitta,,0.7023818,analysis_studies,1
22641854,DroPNet: a web portal for integrated analysis of Drosophila protein-protein interaction networks.,,dropnet,,analysis_studies,1
25808223,Glia Open Access Database (GOAD): A comprehensive gene expression encyclopedia of glia cells in health and disease.,goad,,,clinical_disease,1
24838565,DINIES: drug-target interaction network inference engine based on supervised analysis.,dinies,,0.7185576,drug_compound,1
23431356,crcTRP: a translational research platform for colorectal cancer.,crctrp,,0.6301172,clinical_disease,1
29457794,Recon3D enables a three-dimensional view of gene variation in human metabolism.,,recon3d,,clinical_disease,1
26590258,"MitoAge: a database for comparative analysis of mitochondrial DNA, with a special focus on animal longevity.",,mitoage,,analysis_studies,1
31848596,RHPCG: a database of the Regulation of the Hippo Pathway in Cancer Genome.,rhpcg,,,"gene_function, clinical_disease, pathway_mechanism",3
26343150,"Exploring Natural Products from the Biodiversity of Pakistan for Computational Drug Discovery Studies: Collection, Optimization, Design and Development of A Chemical Database (ChemDP).",chemdp,,,drug_compound,1
27977206,CanProVar 2.0: An Updated Database of Human Cancer Proteome Variation.,,canprovar,,"clinical_disease, analysis_studies",2
30371760,GCDB: a glaucomatous chemogenomics database for in silico drug discovery.,gcdb,,0.652921,drug_compound,1
21223570,A platform for processing expression of short time series (PESTS).,pests,,,gene_function,1
27780248,TheSNPpit-A High Performance Database System for Managing Large Scale SNP Data.,,thesnppit,0.7130286,variants_mutations,1
24861622,MORPHIN: a web tool for human disease research by projecting model organism biology onto a human integrated gene network.,morphin,,,clinical_disease,1
33879798,"ODFM, an omics data resource from microorganisms associated with fermented foods.",odfm,,0.712784,clinical_disease,1
29745832,cmFSM: a scalable CPU-MIC coordinated drug-finding tool by frequent subgraph mining.,cmfsm,,,drug_compound,1
24090499,InsertionMapper: a pipeline tool for the identification of targeted sequences from multidimensional high throughput sequencing data.,,insertionmapper,,gene_function,1
23180760,Genomics of Drug Sensitivity in Cancer (GDSC): a resource for therapeutic biomarker discovery in cancer cells.,gdsc,,,"clinical_disease, drug_compound",2
28522612,GenomeVIP: a cloud platform for genomic variant discovery and interpretation.,,genomevip,,variants_mutations,1
24330842,TRAPID: an efficient online tool for the functional and comparative analysis of de novo RNA-Seq transcriptomes.,trapid,,,analysis_studies,1
28387819,SLiMSearch: a framework for proteome-wide discovery and annotation of functional modules in intrinsically disordered regions.,,slimsearch,,analysis_studies,1
22513993,INRICH: interval-based enrichment analysis for genome-wide association studies.,inrich,,,analysis_studies,1
34570769,GRAFIMO: Variant and haplotype aware motif scanning on pangenome graphs.,grafimo,,,variants_mutations,1
22217600,MCScanX: a toolkit for detection and evolutionary analysis of gene synteny and collinearity.,,mcscanx,,analysis_studies,1
28407035,IcyTree: rapid browser-based visualization for phylogenetic trees and networks.,,icytree,,analysis_studies,1
