entity_name,total_papers,spacy_papers,v2_papers,source,pmids
refseq,121,121,12,both,"21269480,21300622,21914464,22064861,22102581,22102591,22121212,22135297,22139921,22140104,22257667,22641850,22900013,22955987,22982435,23027045,23193264,23197657,23197660,23618375,23677943,23736533,23864220,24069606,24186831,24234444,24259429,24259432,24285305,24316578,24444128,24484385,24667251,24705206,24980130,25140992,25311246,25355515,25377257,25378338,25398906,25414345,25510495,25637560,25764973,25819073,26013488,26170238,26215545,26284514,26322066,26553804,26578580,26590402,26615191,27114493,27162180,27323842,27899596,27899620,27910033,28053163,28324432,28365736,28413726,28572580,28865429,28886750,29069412,29069475,29112715,29140470,29140524,29220466,29635394,29708767,29761469,29765358,30395323,30407534,30535227,30558550,30615123,30814982,30949694,31020553,31032842,31035717,31117939,31210272,31602479,31665454,31738401,31754718,31777944,31820804,32003788,32398145,32439998,32448124,32831172,32841606,33045721,33070442,33148820,33167031,33179748,33181826,33193550,33194784,33221922,33270901,33290720,33313828,33581338,33926379,34268494,34330336,34384346,34748542,34931882"
prokaryotes,120,120,0,spacy,"21366926,21559461,21674231,21824423,22039152,22121212,22125388,22140171,22417913,22424087,22676320,22726705,22747501,22862831,23180791,23236458,23323735,23417799,23519487,23547897,23599422,23613683,23677608,23727957,23805260,23828782,24175918,24198250,24214966,24369854,24475242,24516366,24822057,24828789,25028489,25270086,25316676,25355515,25398905,25520192,25841437,25873935,26040196,26283419,26376976,26488482,26490957,26553804,26563467,27185890,27214907,27227549,27230105,27270714,27342196,27342282,27465544,27630248,27789703,27924023,28105921,28171531,28460063,28529077,28542466,28545394,28628218,28807046,28985502,29177508,29329409,29665371,29724163,29868863,30014593,30256983,30395283,30519231,30543627,30753697,30835791,30845912,31081040,31214154,31249101,31286860,31294057,31506471,31620779,31740968,31741225,31863076,31884971,32006104,32213253,32246067,32282909,32284610,32349659,32402073,32472030,32690973,32727974,32737307,33042102,33068435,33068436,33095861,33117966,33196830,33247934,33306800,33537706,33539888,34133710,34155373,34323935,34523988,34677568,34688246"
encode,117,117,15,both,"21349863,21558156,22075998,22086958,22908213,22951037,22955982,22955987,22955988,22955989,22955990,23068444,23193274,23203885,23203987,23221638,23255151,23308364,23411719,23448259,23599922,23696878,23731483,23875683,24089456,24244640,24261964,24265224,24270787,24313344,24340000,24813212,24886216,25058159,25262644,25306238,25361969,25378307,25393678,25477382,25762420,25785185,25786205,25884877,25903933,25928765,26015273,26025621,26144527,26481351,26527727,26529777,26615194,26740527,26773058,26859295,26969411,26980513,26990993,27451428,27531214,27612452,27645405,27863956,27924024,28100700,28403240,28535296,28605766,29077884,29106447,29126249,29145608,29165655,29284660,29309061,29316735,29382254,29528370,29590301,29733404,29757393,30101316,30247654,30329036,30413482,30416387,30445619,30578913,30598101,30668832,30841849,31034468,31075273,31165883,31465497,31494246,31665439,31680168,31691824,31713622,31751002,31820804,32117432,32133509,32345346,32727537,32728046,32728249,32765587,32814038,33076821,33221922,33231677,33858322,34180954,34541447"
pubchem,117,117,15,both,"21216779,21414988,21456522,21618009,21696144,21702939,21734330,21933373,21936816,21989943,22084255,22135289,22140104,22140110,22247277,22559876,22564364,22650976,22693105,22769057,22889332,22976213,23019491,23088335,23155465,23193264,23203875,23203877,23220571,23299552,23317704,23330685,23497729,23721660,23918250,23991755,24078711,24188205,24198245,24225386,24234439,24259429,24460210,24533037,24876890,24928188,25398906,25433696,25451822,25855812,25934803,25935546,26082805,26175801,26177200,26201396,26228432,26322134,26392543,26400175,26423722,26432833,26464438,26500705,26615191,26834843,26955064,27230105,27490165,27509041,27895719,27899561,27899599,28090217,28172359,28184254,28224019,28316655,28346087,28453915,28481528,28660674,29140470,29451740,29520288,29718389,29934899,29979714,30219840,30334203,30371825,30395293,30564943,30614735,30778259,30848455,31250014,31557052,31602479,31614716,31688938,32159764,32510549,32810730,32916052,33003203,33067876,33095870,33151290,33426407,33480398,33685519,33726837,33980298,34314492,34370395,34955819"
geo,112,112,7,both,"21177655,21177656,21414985,21685050,21864367,22130872,22140104,22188791,22629346,22685160,22931563,23193258,23203880,23219992,23340253,23388151,23975789,24303324,24460210,24564956,24574116,24599084,24650281,24675620,24813212,24892985,24987669,25152233,25278960,25347823,25398906,25562198,25592564,25765347,25907774,25971742,26134183,26228431,26581413,26615191,26868054,27008011,27130330,27134731,27303626,27323392,27392431,27503226,27797771,27806696,27846806,28529706,28549078,28923003,28925997,28934507,29049295,29059374,29106664,29145608,29186302,29485625,29490630,30040079,30106394,30137226,30278585,30307528,30371817,30413482,30416387,30668638,30668832,30959271,31110304,31231515,31390943,31559014,31665759,31733057,31757212,31811943,31861980,31917401,31978081,32050905,32140729,32179762,32276847,32338561,32500289,32510568,33002137,33104772,33125076,33193699,33247935,33270889,33546584,33705981,33778495,33879674,34019643,34037798,34122523,34147352,34166365,34183042,34487148,34736471,34774049,35003208"
publically available,111,111,0,spacy,"21592376,21609792,21752111,21932828,22218860,22303335,22350557,22486545,22489185,22688270,22715316,22929026,22970114,23155465,23272172,23496976,23613677,23650583,23824864,23875173,24048354,24053356,24199845,24223973,24266983,24434032,24586132,24661141,24678734,24771340,24875471,24875496,25104313,25133604,25212755,25254153,25277458,25378318,25388589,25428361,25431329,25475634,25523208,25643705,25682266,25739783,25903933,25960936,25961669,26139635,26177200,26239539,26304539,26518717,26568629,26645212,26751762,26791506,27048349,27053566,27081157,27118202,27374121,27375595,27436239,27574113,27603265,27622383,27634949,27766955,27800578,27870245,27903896,27922621,27989944,28077567,28164152,28225587,28502612,28616931,28830114,28962356,28968746,29122012,29186423,29220464,29352322,29363422,29454060,29564396,29628922,29733382,29785479,30165481,30208340,30228995,30325349,30598077,30629299,30811403,30967549,31265323,31796060,32286817,33051448,33194784,34156448,34358300,34589187,34593825,35003208"
gene expression omnibus,105,105,2,both,"21414985,21967760,22130872,22140104,22188791,22629346,22685160,22931563,23129297,23193258,23193264,23193272,23203880,23219992,23314754,23340253,23388151,23496976,24259429,24303324,24319002,24381135,24574116,24650281,24675620,24892985,25086704,25152233,25332399,25398906,25971742,26134183,26314578,26395080,26475471,26615191,26653323,27008011,27130330,27134731,27185889,27303626,27323392,27503226,27789704,27797771,27846806,27866912,28238542,28413616,28549078,28711973,28761062,28923003,28925997,29049295,29186302,29433427,29485625,29688376,29693178,29978613,30010738,30040079,30137226,30261835,30278585,30340080,30416387,30530337,30659409,30701323,30789283,30895303,30959271,31110304,31231515,31290545,31324861,31368353,31390943,31559014,31665759,31733057,31811943,31917401,31978081,32050905,32140729,32276847,32436316,32766702,33002137,33124659,33193699,33245774,33247935,33515030,33705981,33778495,34122523,34183042,34260718,34736471,35003208"
reactome,94,94,21,both,"21063943,21082427,21199820,21364759,21498403,21523460,21712192,21715386,21751369,21933848,22012987,22096230,22123737,22139914,22161332,22165958,22700314,22923303,22985186,23046449,23706629,23819467,24217918,24243840,24316579,24951798,25313161,25332395,25332396,25541727,25591449,25982732,26053019,26087747,26134183,26356345,26481351,26553803,26578601,26582928,26656494,26661513,26673252,27045824,27091357,27485441,27742822,27799469,27806696,27899595,27899649,28158609,28249561,28336542,28812536,29049295,29077811,29136216,29145629,29165610,29186351,29316735,29377902,29378288,29470400,29490008,29554099,29590301,29617950,29688321,29761469,29850816,30124768,30261835,30357405,30428831,30767762,30813377,31307376,31363752,31583638,31649730,31680153,31691815,31802127,31906604,32486891,32895427,33170273,33633781,34244719,34530727,34922446,34928054"
chembl,88,88,14,both,"21388575,21751369,21936816,21948594,21978256,22650976,22769057,22798082,22821596,23161688,23240691,23257198,23292636,23537208,23657106,23944269,24160896,24188205,24214965,24234439,24262214,24533037,24666037,24805060,24876890,25313161,25348214,25404129,25433696,25883136,25995041,26155308,26201396,26305108,26432833,26500705,26633997,26678650,26719774,26822210,26908025,27472010,27509041,27678076,27899562,27993519,28158609,28270862,28316655,28660674,28678787,29322930,29392860,29643539,29790904,29979714,30251842,30351302,30357356,30398643,30499394,30619195,30753475,31292807,31418763,31589649,31614716,31971579,32035227,32047598,32117874,32331540,32363750,32390334,32399567,32679723,32961130,33067876,33245234,33431010,33431016,33431043,33522806,33929850,33980298,34437766,34579792,34955819"
omim,86,86,7,both,"21258063,21362185,21472891,21520336,21633941,21715386,21880147,21930248,21949701,22039151,22046267,22075990,22080554,22210871,22255115,22434831,22434833,22439011,22551073,22693211,22730454,22735708,23180791,23203875,23378291,23636887,23761449,23947436,24002112,24146757,24178989,24217912,24217915,24393765,24548788,24932006,25075115,25100685,25211293,25277758,25347823,25392416,25422781,25428349,25428351,25664462,25961669,26051359,26094768,26187044,26507285,26582918,26838676,27045824,27587660,27829360,27899596,28077570,28124611,28502612,28594829,28654725,28812536,29106618,29370821,29490008,29590633,29860484,30335154,30626175,30809638,30841849,30932845,30993004,31094220,31255713,31307376,31453287,31544935,32122231,32487193,32508008,32895427,32911083,33007622,34541447"
an open,81,81,0,spacy,"21624159,21982300,22180793,22235263,22556315,22829744,25355582,25570905,25890833,25921073,25977800,26019122,26153368,26154972,26179317,26357328,26496191,26558901,26695483,26737662,26966655,27140145,27142836,27177143,27713081,27805047,27869105,28182744,28192130,28275668,28362818,28374144,28493862,28862214,28938003,29049280,29095940,29096505,29146965,29189094,29206104,29257126,29426939,29485626,29500026,29611842,29663059,30199376,30226875,30251992,30418576,30576490,30708353,30856198,30936564,30947281,31029130,31788512,32522662,32610063,32869137,32922207,33057676,33099010,33119593,33253147,33378370,33395940,33436710,33444244,33571205,33824913,34127402,34163301,34312990,34528664,34616045,34711957,34735497,34882760,34903654"
kyoto encyclopedia of genes and genomes,75,75,2,both,"21401935,21546552,21633941,21959868,22080510,22110036,22130871,22140115,22166047,22345505,22441797,22700311,22857267,23091603,23176546,23308364,23314755,23330685,23348786,23717556,23766290,23819467,23874618,23956306,24178989,24214961,24225320,24279809,24302289,24444128,24499703,24651476,24812336,25228593,25367050,25388589,25604238,25888481,26094768,26134183,26204518,26243833,26322134,26481431,26626150,26980516,27252213,27318307,27404214,27801297,27866912,28204845,29059524,29470400,29978613,30191166,30239681,30285760,30321428,30767762,30883301,30910961,30942867,31611909,31657800,31836898,31990579,32265943,32369596,32421310,32879224,33407081,33816940,34111608,34408730"
