entity_name,total_papers,spacy_papers,v2_papers,source,pmids
gene expression omnibus,75,75,2,both,"21414985,21967760,22140104,22188791,23129297,23193258,23193264,23219992,23340253,23388151,23496976,24259429,24319002,24381135,24650281,25086704,25152233,25398906,25971742,26314578,26475471,26615191,26653323,27008011,27130330,27134731,27185889,27303626,27323392,27503226,27789704,27797771,27846806,27866912,28238542,28413616,28549078,28711973,28761062,28925997,29433427,29485625,29688376,29693178,29978613,30010738,30040079,30137226,30278585,30340080,30416387,30530337,30789283,30959271,31110304,31231515,31324861,31368353,31390943,31559014,31665759,31811943,31917401,31978081,32050905,32276847,32766702,33245774,33247935,33515030,33705981,34122523,34183042,34260718,34736471"
a large-scale,75,75,0,spacy,"21375730,21736759,21737439,21895812,21948594,22135290,22174272,22559876,22682155,22689645,22702658,22726705,22856375,23203872,23299413,23613707,23740839,23772554,23774715,23828837,23962616,24143170,24225386,24267918,24324716,24336805,24649511,25262355,25313160,25521965,25630311,26582922,26982336,27084943,27127885,27279488,27402679,27560970,27650402,27893392,27894340,28004786,28108657,28591841,28640810,29126285,29237557,29296939,29320579,29396322,29426939,29854243,29934697,30052772,30266409,30296227,30357342,30364951,30379882,30424756,30601935,31159731,31274982,31558550,31665499,31701147,31724722,31857203,32079733,32195587,33119753,33179754,33576798,33941085,34507528"
refseq,73,73,5,both,"21269480,21300622,21914464,22064861,22102581,22102591,22140104,22257667,22900013,23027045,23193264,23618375,23677943,23736533,23864220,24186831,24234444,24259429,24285305,24316578,24484385,24705206,25140992,25311246,25377257,25378338,25398906,25414345,25510495,25637560,26322066,26578580,26590402,26615191,27114493,27899620,27910033,28365736,28413726,28572580,28865429,28886750,29069412,29069475,29112715,29140470,29761469,29765358,30395323,30407534,30558550,30615123,30814982,30949694,31032842,31210272,31665454,31738401,31754718,31777944,32003788,32439998,32448124,33045721,33070442,33167031,33179748,33270901,33581338,33926379,34330336,34748542,34931882"
encode,69,69,9,both,"21349863,22075998,22086958,22908213,22955990,23068444,23193274,23203885,23599922,24244640,24261964,24265224,24313344,24340000,24813212,25262644,25306238,25361969,25378307,25786205,25928765,26015273,26144527,26740527,26773058,26859295,26969411,26980513,26990993,27451428,27531214,27612452,27863956,27924024,28100700,28403240,28535296,28605766,29077884,29126249,29145608,29165655,29284660,29316735,29382254,29528370,29590301,29733404,29757393,30101316,30329036,30416387,30445619,30578913,30598101,30668832,31075273,31494246,31665439,31680168,31691824,31713622,31751002,32133509,32345346,32765587,33076821,33231677,34180954"
prokaryotes,62,62,0,spacy,"21824423,22039152,22125388,22140171,22424087,22676320,22726705,22747501,22862831,23180791,23236458,23323735,23547897,23677608,23805260,23828782,24198250,24214966,24475242,24516366,25028489,25270086,25316676,25520192,26040196,26283419,27230105,27270714,27342196,27465544,27630248,27789703,27924023,28105921,28171531,28460063,28529077,28542466,28545394,28807046,29177508,29665371,29724163,29868863,30256983,30395283,30519231,31081040,31214154,31740968,31741225,31884971,32246067,32282909,32349659,32402073,33068435,33068436,33247934,33539888,34323935,34688246"
pubchem,61,61,7,both,"21216779,21414988,21702939,21933373,21936816,21989943,22135289,22140104,22140110,22247277,22559876,22693105,22889332,23193264,23220571,23299552,23317704,23330685,23918250,23991755,24078711,24188205,24225386,24259429,24876890,24928188,25398906,25433696,25451822,25855812,26082805,26177200,26228432,26322134,26423722,26432833,26464438,26500705,26615191,26834843,26955064,27230105,27490165,27895719,28346087,29140470,29520288,29718389,29934899,29979714,30219840,30371825,31557052,32916052,33003203,33067876,33095870,33151290,33426407,33980298,34314492"
h,58,0,58,v2,"21453324,23204843,25348399,25407802,25627673,25652236,25889572,26314578,26423616,26691694,27098585,27472236,27549193,27664130,27694195,27716038,27910033,27993782,28011781,28031034,28073756,28081714,28087515,28119307,28130228,28130242,28158419,28174895,28334101,28334222,28334338,28365729,28365736,28369191,28472345,28472360,28541490,28545394,28807036,28881964,28881966,28962576,29678128,30053270,30066633,31266480,32646415,32693783,33109072,33243176,33557954,33677507,33864455,33984507,34134783,34344372,34344425,34461244"
omim,55,55,6,both,"21258063,21362185,21472891,21930248,22039151,22075990,22080554,22210871,22255115,22434831,22434833,22439011,22551073,22693211,23180791,23378291,23636887,23947436,24002112,24146757,24178989,24217912,24217915,24393765,24548788,24932006,25075115,25100685,25347823,25392416,25428349,25428351,25664462,25961669,26507285,26582918,27045824,27587660,28077570,28124611,29370821,29490008,29860484,30626175,30809638,30932845,31094220,31307376,31453287,32122231,32487193,32508008,32895427,32911083,33007622"
publically available,55,55,0,spacy,"21592376,22218860,22303335,22350557,22688270,22929026,22970114,23272172,23496976,23875173,24199845,24434032,24586132,24771340,24875471,24875496,25212755,25388589,25428361,25431329,25643705,25960936,25961669,26139635,26177200,26568629,26751762,26791506,27374121,27375595,27603265,27634949,27766955,27903896,27922621,28225587,28616931,28962356,28968746,29122012,29220464,29352322,29363422,29628922,29733382,30165481,30208340,30228995,30598077,30629299,30967549,31265323,31796060,34156448,34358300"
reactome,51,51,14,both,"21498403,21933848,22012987,22096230,22123737,22923303,23046449,24243840,24316579,24951798,25332395,25541727,25982732,26087747,26356345,26578601,26661513,27045824,27091357,27485441,27742822,27799469,27806696,28249561,28336542,29077811,29145629,29186351,29316735,29377902,29470400,29490008,29590301,29617950,29761469,29850816,30124768,30357405,30428831,30767762,30813377,31307376,31649730,31680153,31691815,31802127,31906604,32486891,32895427,34244719,34922446"
dbsnp,46,46,4,both,"20672376,21258063,21278187,21731755,21992066,22039151,22140104,22210871,22369494,22491796,22693211,23035929,23193264,23433959,23618375,24234437,24259429,24356117,24517501,24651862,25228593,25385275,25398906,25404132,25788626,26228432,26585827,26615191,27402678,27799474,27810480,27903894,28968638,28968746,29036298,29590294,29761469,31343683,31689201,31738401,31797632,31924160,32487193,32895427,33095870,33196844"
interpro,42,42,7,both,"21082426,21411447,21556138,21762488,21785143,21959868,22096229,22144685,22301074,22592381,22790981,23180791,23185044,23826978,24165881,24280345,24340041,25356683,25428351,25428371,25765346,26322066,26994912,27153567,27297221,27899635,28193156,28453683,28850115,29390084,29426939,29761469,29961821,30364992,30445541,30626175,31665454,31733063,32399560,33070442,33156333,33407081"
chembl,41,41,9,both,"21936816,21948594,22798082,23161688,23240691,24188205,24214965,24262214,24876890,25348214,25404129,25433696,25883136,26155308,26305108,26432833,26500705,26678650,26822210,27899562,29790904,29979714,30251842,30357356,30398643,30753475,31292807,31418763,31589649,31971579,32035227,32117874,32390334,32399567,33067876,33245234,33431010,33522806,33929850,33980298,34579792"
drugbank,41,41,4,both,"21636590,22901092,23046449,23161684,23220571,23240691,23330685,23720490,23826885,24149052,24203708,24203711,24316579,25392416,25925572,26072486,26155308,26228432,26504143,26822210,27295093,27490165,27980099,28759605,29237557,29316735,29490008,29790904,30219840,30476227,30497261,31096089,31885041,31990579,32035227,32221612,32390334,33431010,34023895,34188160,34783553"
an open,40,40,0,spacy,"21624159,21982300,22180793,22235263,22829744,25890833,25921073,26154972,26496191,26737662,26966655,27177143,27713081,27869105,28182744,28192130,28362818,28493862,28862214,28938003,29049280,29095940,29189094,29426939,29500026,30856198,32522662,32869137,32922207,33057676,33119593,33253147,33395940,33571205,33824913,34127402,34528664,34616045,34711957,34903654"
scop,39,39,3,both,"21082426,21255607,22099701,22123743,22127860,22135305,22213543,22800569,23193292,23203878,23203986,23437146,23715893,24130308,24293656,24316579,24857970,25262355,25356683,25414345,25559128,26228684,26553811,26827237,27256311,27319297,27899574,29069520,29961821,30127348,30332415,30445541,31350874,31593887,31648227,31724711,31906604,33245761,34081107"
string,39,39,3,both,"21975133,23410028,24149052,24830558,25300481,25352553,25392416,25907774,26678566,27924014,28077569,28238542,28368827,28498885,28622336,29040681,29106664,29352257,29504895,29617745,29699484,30219840,30249048,30278585,30450911,30626175,30717676,31665454,31680157,31843688,31882993,32001390,32895427,32921303,33104802,33237311,33396976,34308911,34370723"
eqtl,38,38,1,both,"21712248,21961731,22171328,22453064,24217915,24285297,24779372,25037307,25505091,25818895,26428293,26944084,27451428,27733502,27995664,28334222,29036324,30208340,30304335,30371817,30689845,31177403,31410488,31504167,32477412,32941613,33020484,33045747,33090994,33219693,33245779,33330918,33581338,33734315,34117863,34425882,34493866,34730175"
clinvar,38,38,5,both,"24234437,24259429,24861626,25385275,25398906,25521334,25542617,25890833,26582918,26615191,27153700,27604408,28968638,29126202,29370821,29539190,29590301,29762787,30311388,31106342,31114901,31116477,31161214,31738401,32076423,32293014,32487193,32508008,32926138,33007622,33021671,33095870,33247936,33300982,33565189,33586368,33836063,34355501"
kyoto encyclopedia of genes and genomes,37,37,1,both,"21959868,22110036,22140115,22166047,22345505,22857267,23314755,23330685,23348786,23717556,23766290,24178989,24279809,24499703,24651476,24812336,25228593,25388589,25604238,26322134,26626150,26980516,27801297,27866912,29470400,29978613,30239681,30767762,30942867,31611909,31990579,32265943,32369596,32421310,32879224,33407081,34408730"
mirbase,36,36,12,both,"21327987,21602264,21641561,21693556,22135287,22144203,22276777,23044543,23220571,23282099,24275495,24316579,25338717,25897123,26228432,26473382,26887375,27091357,27131362,27766940,27797767,28025342,28180281,29036653,30053237,30065744,30423142,30598108,30626175,30993337,30999860,31602478,33106848,33109630,33211869,33872372"
ucsc genome browser,35,35,0,spacy,"22013967,22069465,22075998,22121227,22908213,23193274,23476021,23599922,24227676,25261406,25348212,26719891,26740527,27087310,27899642,28137767,29106570,29140473,29316735,29329372,30407534,30626175,31680159,31691824,31906604,32001327,32533862,32540200,32568373,32821910,32976578,33247936,33396976,33965348,34156446"
database,34,0,34,v2,"21575179,21584191,22529179,22545773,22674159,22836712,23175610,23180763,24234915,24279809,24599084,24990533,25398903,25404132,25435547,25534749,25940562,25945037,26140380,26343150,26467478,27527702,27893392,28049134,28365718,28651548,29280990,29982559,30321400,30446142,31032842,31813095,31906603,33125077"
sequence read archive,31,31,0,spacy,"21177655,22140104,23193264,23657089,24259429,25267795,25398906,26615191,26732614,27153614,27659943,27905880,28013273,28369246,28535296,28605765,29216377,30166985,30590391,30624648,30942868,31110304,31210271,31225863,31504157,31728526,31978081,32766702,32883210,33221926,33515237"
cath,31,31,3,both,"21082426,21177655,21255607,21646335,22006843,22213543,22583488,22607234,23203986,23333734,23715893,24270792,25943547,25964299,26139634,26590404,26969678,27256311,27899584,28814324,29069520,29501620,30298402,30398663,30445541,30629147,31424530,33002111,33245761,34081107,34244700"
rfam,29,29,5,both,"21576754,21609960,21619640,23044543,23640335,23865810,24005040,25356683,25382310,25392425,25845596,26555444,26980512,27330139,27756204,28185557,28475710,29069520,29112718,29454313,29927072,30169792,30395267,30993337,32499815,33106848,33135044,33211869,33396976"
cosmic,28,28,2,both,"22693211,23618375,23704925,24454733,24669769,24861626,25703262,25765346,25841438,26647377,27727438,27903894,27910033,29077939,29091996,29278730,29898651,30371878,30626175,31199787,31504173,31711193,32360910,32508008,32657416,33068406,33222322,34137435"
sra,27,27,1,both,"21427194,25267795,26450948,27659943,27663500,27924024,28108447,28369246,28535296,28605765,28968841,29079682,29216377,29228186,29905763,30371817,30445619,30668832,31110304,31728526,31762961,31978081,32883210,33095870,33125076,33221926,34252927"
online mendelian inheritance in man,26,26,5,both,"21258063,21472891,21930248,22075990,22255115,22434831,22434833,22551073,22693211,23378291,23636887,23875761,24002112,24146757,24178989,24393765,24932006,25428349,25664462,26507285,30932845,31453287,31834354,32122231,32911083,33109251"
interaction database,24,23,1,both,"21575196,22096227,22121220,22529179,22923304,23143270,23707966,24234451,24861621,25378338,25428363,25480373,26496949,26516188,27829362,27980099,29087512,29177508,30249048,30380112,30476227,31647101,33978706,33996073"
gpu,23,23,0,spacy,"21339531,21372087,21414986,21471009,22640374,22954633,23331707,23557111,24481593,24773593,25077821,26920848,27370123,27402792,28087515,28646874,30287930,30903685,32818262,33257864,33307250,33926379,34208327"
european nucleotide archive,22,22,5,both,"21949797,23203883,24165880,24214989,24265224,24608034,26861660,27733501,27899630,28077566,28369191,28386528,28503844,28888135,29036529,29160623,30103816,30228995,30821128,31722421,33211879,33399824"
macos,22,22,0,spacy,"22285826,27153000,27153697,27493193,28453684,30101282,30615063,30649183,30825368,30865258,31796413,31834354,32315327,32399567,32706854,32881101,33067342,33734313,33750289,34182919,34370400,34739369"
pride,22,22,7,both,"21365759,22040741,22096232,22434838,23042674,23603108,25904633,25910694,26527722,26545397,26740669,27560970,27733501,29741719,30395289,31467290,31686107,31701143,32415162,32508104,33307250,34342226"
hpo,21,21,1,both,"24217912,25664462,25725061,26385205,27797759,28336542,29370821,29452392,29860484,30367579,30809638,30843052,31106342,31307376,31701156,31829207,32122231,32459809,32997699,34082700,34113009"
regulatory relationships,21,21,0,spacy,"21791068,22743225,23161675,25433699,25910695,26066708,26072489,28974472,29186340,30184150,30285109,30598101,30689723,30689845,31287491,31672983,31848596,32858223,33245774,33693667,34113986"
david,20,20,1,both,"21749710,22543366,23118487,23410028,23958726,24883265,25652236,25907774,26140380,26581084,27744178,28238542,28968630,32738156,33035346,33076954,33216897,33677507,33879674,34183042"
iedb,20,20,8,both,"22080554,22610854,22681406,23734660,23815072,25717196,26450949,27153594,27301453,27479659,28444127,28472356,29281002,29878047,30014462,30357391,31114900,31736974,33772585,34388468"
map,20,13,9,both,"23180769,23972281,24465922,24608764,25161239,28596423,28962576,29195078,29197720,29617941,29635306,29854243,30591010,33351756,33658510,33685383,33903708,33973408,34782688,35088001"
chebi,19,19,3,both,"23007431,23109552,23895341,23935056,24735706,25332395,26228432,26467479,26933452,27128319,27230105,27275187,27554092,27789701,30272209,31688925,33445429,33980298,34314492"
d,19,0,19,v2,"21827651,21938213,22080554,22510480,23132505,23720490,24369152,25356683,25693513,26140380,26405458,29311748,30084000,31106379,31813695,32508888,33767730,34843456,34848704"
ctd,19,19,9,both,"21933848,22165817,22434831,22434833,23046449,23180769,23221176,23221299,24288140,24919658,26860211,27161011,27170236,27171405,27457921,27630201,29914348,33068428,34458863"
smart,19,18,6,both,"21082426,21498403,21785143,22053084,22144685,23327565,24589857,25300481,26582926,26963185,28057684,29040681,29316735,31135347,31395530,31805986,33104802,33396976,33653260"
cdd,19,19,5,both,"22140104,22510480,23197659,23368899,23618375,25212755,25398906,25414356,25964299,26615191,27297221,27670643,27899635,27899674,29659718,31777944,31851420,31906604,33270901"
cnn,19,19,1,both,"28444127,29329398,29873706,29982330,31424530,31461491,31568974,31714956,31722485,31830260,31860715,32652926,32657370,33431004,33639834,33640787,33735277,33845759,34252971"
comparative toxicogenomics database,18,18,12,both,"21933848,22434831,22434833,23180769,23221176,23221299,23740741,24288140,24919658,26860211,27161010,27161011,27170236,27171405,27457921,27630201,33068428,34458863"
proteomexchange,18,18,4,both,"24574175,25159016,25297486,25305539,25435543,25904633,26224020,26227301,26527722,26545397,28135259,28678506,29555687,30252093,30395289,31686107,33995478,34342226"
bioproject,17,17,1,both,"22139929,22140104,23193264,24259429,24767513,25398906,26615191,27634291,28387199,28605765,28888135,29785409,30166985,30365034,31702008,33175170,33515237"
cog,17,17,2,both,"22621371,23203984,23375020,23952586,25428351,25428365,25604238,26561344,29472600,30349509,31665454,31752672,33039623,33045721,33167031,33396976,34585726"
c,17,2,15,both,"21450716,22954625,23369392,24678985,25161239,25428365,26660198,27701074,27867422,29226381,30714210,30768152,31282937,31860715,33181824,34039412,34504503"
pypi,17,17,3,both,"23630176,25273102,29850891,30102335,30298069,30873531,31068132,31077305,31240307,32101277,32311033,33341884,33586368,33750289,34165490,34301175,34404349"
cran,17,17,1,both,"22402612,22682516,23242262,24728855,25413436,25619996,25644268,25652236,27323392,28073756,28130242,28361684,28968630,29506206,31843688,33736590,34557218"
gbif,16,16,2,both,"22649282,23794918,24198707,24244913,24843289,26448704,27199606,28195585,28765725,30275736,31656398,31942161,32292277,33510575,33863897,34566452"
genome,16,0,16,v2,"22434831,22829725,22847375,23595662,24767249,25521334,25627242,28413726,29069466,29106613,30311388,30583062,31672996,32338196,32632821,32990755"
ena,16,16,6,both,"21177655,21949797,22096232,23203883,24214989,25378341,25845596,27733501,27899630,28369191,28888135,29160623,30228995,31722421,33211879,33399824"
m,16,0,16,v2,"22053084,22188791,22209237,22309450,22491036,23493258,26314578,27242035,29281009,29284660,29859376,31559753,31612915,31917401,32707870,33275647"
metacyc,16,16,2,both,"22002696,22102576,22102589,23236458,23530693,23800136,24180668,24280345,25157598,26578601,26925033,30335785,31032842,31688932,33070442,33305310"
human genome variation society,15,15,0,spacy,"21394829,21520333,22334387,23280990,23550138,23564842,24498619,25273102,26315209,26582918,27789569,28967166,29106570,29696732,33161418"
immune epitope database,15,15,10,both,"23734660,24144535,25717196,26680271,27153594,27479659,28444127,29281002,29878047,30014462,30357391,31601176,31736974,33772585,34585726"
elm,15,15,6,both,"22110040,22555647,22638578,25069839,25122463,26615199,28426660,29316735,29947803,30986209,31412138,31680160,31906604,32507889,33963857"
bioportal,14,13,1,both,"21599929,21738333,22621763,23479348,24034841,24103152,24499703,25093074,25361575,27069559,27152146,29409535,29637199,30400805"
asd,14,14,3,both,"21272355,23774715,23825557,24090431,24293647,25666423,26365237,27055826,27790361,29186576,31705629,31707700,32875540,34788279"
silva,14,14,2,both,"21453324,22369513,23145153,23193283,23650520,23736532,25957349,27166378,28824589,30185512,30821316,32246067,33135044,34748542"
arrayexpress,14,14,1,both,"21177655,21177656,21317143,22096232,22190598,23193286,24599084,26475471,27153728,27733501,28549078,29059374,31978081,33211879"
