entity_name,total_papers,spacy_papers,v2_papers,source,pmids
publically available,56,56,0,spacy,"21609792,21752111,21932828,22486545,22489185,22715316,23155465,23613677,23650583,23824864,24048354,24053356,24223973,24266983,24661141,24678734,25104313,25133604,25254153,25277458,25378318,25475634,25523208,25682266,25739783,25903933,26239539,26304539,26518717,26645212,27048349,27053566,27081157,27118202,27436239,27574113,27622383,27800578,27870245,27989944,28077567,28164152,28502612,28830114,29186423,29454060,29564396,29785479,30325349,30811403,32286817,33051448,33194784,34589187,34593825,35003208"
pubchem,56,56,8,both,"21456522,21618009,21696144,21734330,22084255,22564364,22650976,22769057,22976213,23019491,23088335,23155465,23203875,23203877,23497729,23721660,24198245,24234439,24460210,24533037,25934803,25935546,26175801,26201396,26392543,26400175,27509041,27899561,27899599,28090217,28172359,28184254,28224019,28316655,28453915,28481528,28660674,29451740,30334203,30395293,30564943,30614735,30778259,30848455,31250014,31602479,31614716,31688938,32159764,32510549,32810730,33480398,33685519,33726837,34370395,34955819"
pfam,54,54,3,both,"21622657,21873637,22096236,22467916,22736259,22741533,22942020,23203869,23283513,23324169,23514411,23734176,23819467,24028389,24271397,24288371,24467778,24581802,24632601,24931138,25161256,25306399,25348407,25361972,25630330,25889708,25900361,25911153,25976240,26854601,26892257,27115632,27552220,27742820,28112271,28386247,28456806,29220461,29293498,29359269,29699476,30357350,30418645,30500919,30796988,30943284,31606900,31793899,31923512,33616668,33641184,33711918,34627387,34895309"
refseq,48,48,7,both,"22121212,22135297,22139921,22641850,22955987,22982435,23197657,23197660,24069606,24259432,24444128,24667251,24980130,25355515,25764973,25819073,26013488,26170238,26215545,26284514,26553804,27162180,27323842,27899596,28053163,28324432,29140524,29220466,29635394,29708767,30535227,31020553,31035717,31117939,31602479,31820804,32398145,32831172,32841606,33148820,33181826,33193550,33194784,33221922,33290720,33313828,34268494,34384346"
encode,48,48,6,both,"21558156,22951037,22955982,22955987,22955988,22955989,23203987,23221638,23255151,23308364,23411719,23448259,23696878,23731483,23875683,24089456,24270787,24886216,25058159,25393678,25477382,25762420,25785185,25884877,25903933,26025621,26481351,26527727,26529777,26615194,27645405,29106447,29309061,30247654,30413482,30841849,31034468,31165883,31465497,31820804,32117432,32727537,32728046,32728249,32814038,33221922,33858322,34541447"
chembl,47,47,5,both,"21388575,21751369,21978256,22650976,22769057,22821596,23257198,23292636,23537208,23657106,23944269,24160896,24234439,24533037,24666037,24805060,25313161,25995041,26201396,26633997,26719774,26908025,27472010,27509041,27678076,27993519,28158609,28270862,28316655,28660674,28678787,29322930,29392860,29643539,30351302,30499394,30619195,31614716,32047598,32331540,32363750,32679723,32961130,33431016,33431043,34437766,34955819"
reactome,43,43,7,both,"21063943,21082427,21199820,21364759,21523460,21712192,21715386,21751369,22139914,22161332,22165958,22700314,22985186,23706629,23819467,24217918,25313161,25332396,25591449,26053019,26134183,26481351,26553803,26582928,26656494,26673252,27899595,27899649,28158609,28812536,29049295,29136216,29165610,29378288,29554099,29688321,30261835,31363752,31583638,33170273,33633781,34530727,34928054"
an open,41,41,0,spacy,"22556315,25355582,25570905,25977800,26019122,26153368,26179317,26357328,26558901,26695483,27140145,27142836,27805047,28275668,28374144,29096505,29146965,29206104,29257126,29485626,29611842,29663059,30199376,30226875,30251992,30418576,30576490,30708353,30936564,30947281,31029130,31788512,32610063,33099010,33378370,33436710,33444244,34163301,34312990,34735497,34882760"
kyoto encyclopedia of genes and genomes,38,38,1,both,"21401935,21546552,21633941,22080510,22130871,22441797,22700311,23091603,23176546,23308364,23819467,23874618,23956306,24214961,24225320,24302289,24444128,25367050,25888481,26094768,26134183,26204518,26243833,26481431,27252213,27318307,27404214,28204845,29059524,30191166,30285760,30321428,30883301,30910961,31657800,31836898,33816940,34111608"
drugbank,34,34,1,both,"21627327,22591347,22821596,23019491,23269503,23418190,23424109,23546522,23906817,24234439,24303301,24533037,25934797,26219079,26633997,26695483,26955465,27010673,27509041,27993519,28522849,28660674,28717830,29126136,30499394,30581775,30614735,31333719,31514149,31602464,31874614,32365960,33480398,34907160"
geo,34,34,1,both,"21864367,22130872,22629346,22685160,22931563,23203880,23975789,24303324,24460210,24564956,24574116,24675620,24892985,24987669,25562198,26134183,26228431,27392431,28923003,28934507,29049295,29186302,30106394,30413482,31733057,31757212,32140729,32179762,33002137,33104772,33193699,33778495,34019643,35003208"
proteomexchange,32,32,2,both,"21082437,22949509,23203882,25047258,25158685,25346215,25407602,25677556,25977788,26058579,26305468,26349841,26351202,27054188,27487407,27717283,27852747,27899654,27924013,28902400,29178193,30654742,31452088,32786688,32804927,33028193,33166149,33617236,33687724,34312990,34411258,34433823"
gbif,31,31,1,both,"24228241,24453546,24843257,24899828,25099149,25927831,25953079,26379465,26491392,26798295,27917054,28765723,29674937,31619686,32256158,32733138,32733141,32821214,33177948,33402872,33551658,33866560,33935558,33937987,34316271,34393582,34690515,34759732,34866962,34938144,35002367"
omim,31,31,1,both,"21520336,21633941,21715386,21880147,21949701,22046267,22730454,22735708,23203875,23761449,25211293,25277758,25422781,26051359,26094768,26187044,26838676,27829360,27899596,28502612,28594829,28654725,28812536,29106618,29590633,30335154,30841849,30993004,31255713,31544935,34541447"
gene expression omnibus,30,30,0,spacy,"22130872,22629346,22685160,22931563,23193272,23203880,23314754,24303324,24574116,24675620,24892985,25332399,26134183,26395080,28923003,29049295,29186302,30261835,30659409,30701323,30895303,31290545,31733057,32140729,32436316,33002137,33124659,33193699,33778495,35003208"
ucsc genome browser,27,27,1,both,"21633941,21975940,21982513,22080555,22086951,22536961,23155063,23255150,23390370,23448259,23819467,23908057,24270787,24984850,25277458,25428374,25685613,26094768,26343929,26590259,27574198,27896724,29040761,30989093,32497138,33221922,33270111"
automated annotation,26,26,0,spacy,"21519115,21814502,22151178,22434839,23157438,24880686,25776020,27662762,28723579,29391424,29746666,30401722,30913289,30943207,31151407,31358873,31462275,31540972,31584084,32875947,33003696,33270111,33365016,33625357,33941694,34553213"
saccharomyces genome database,26,25,19,both,"21595960,21815093,21901739,22110037,22434836,23203989,23396302,23487186,25707592,25997651,26631123,26631124,26631125,26631126,26631132,26767846,27252399,27688070,28365727,28451979,29688362,29761454,30715277,31612944,32128557,33677561"
g protein,26,26,0,spacy,"23087376,23798574,23860256,24304901,25522378,25563186,25895059,27155948,27993519,28830426,29055037,29203139,29383467,29472638,29788177,30576645,30835466,31236561,31710713,31710714,31710715,31710716,31710717,31710718,31710719,33390906"
pharmacogenomics,25,25,0,spacy,"22103613,22833496,22992668,23046495,23201637,23376192,23428471,23546522,23570835,23819467,23824866,25228099,25729430,25952014,27631363,28704821,29194583,29888066,30334215,30440392,30553813,30999867,31051019,31306493,32488227"
pharmgkb,25,25,6,both,"22103613,22174293,22529178,22564364,22580177,22591347,22595086,22683993,22992668,23046495,23376192,23418190,23424146,23546522,23819467,24297561,25729430,25952014,26219079,29474005,29888066,30999867,31306493,32365960,33547344"
mouse genome informatics,24,24,4,both,"21633941,21864367,22326070,22434834,23195312,23881287,24444128,25348409,25939429,26045019,26047590,26084703,26092691,26094768,26500249,27061206,27899677,27930808,28365740,28838066,29126148,29695735,29761459,33104772"
database,24,0,24,v2,"21177657,22233519,23613683,23674503,24222850,25210196,25320561,27055828,27882884,27943539,28343315,28961353,29092943,29359269,29564396,29616364,30419069,30722483,32983559,33008298,33134750,33676410,34641400,34699529"
global biodiversity information facility,24,24,0,spacy,"22399472,24899828,24899851,25927831,25953079,26312049,26692809,26798295,27956850,28765723,29416428,30371820,31086477,32256158,32733141,32821214,33551658,33866560,33935558,33935559,34316271,34389730,34393582,34690515"
clinvar,23,23,1,both,"23463607,24667251,26456690,26590259,26919060,27037489,28365738,28502612,28812536,28882004,29036329,29473246,30311374,30586411,30841849,31275557,31606900,32938008,33193602,33261099,33289511,33502607,34541447"
dbsnp,23,23,3,both,"21982513,22086951,22591347,22594998,22683993,23203880,23418190,23819467,23819846,24214964,24467687,24886216,25407965,26229585,28654727,30053238,30311374,30395293,30418626,31275557,31602479,32108478,34782917"
sgd,22,22,16,both,"21595960,21901739,21949701,22110037,22434836,23396302,23487186,25707592,26631123,26631124,26631125,26631126,26631132,26767846,27252399,27688070,28365727,28451979,29761454,30715277,31612944,32128557"
ddbj,21,21,9,both,"22110025,22139910,23180790,23193272,23193287,23667475,23888101,24194602,26578571,27867804,27924010,29040613,29190397,29526484,29876460,30357349,30413482,32033366,32071998,33156332,33166387"
map,21,16,5,both,"21498923,21989180,22499690,22787465,23160415,24037269,26568329,26671801,26778924,27384127,27490954,27835030,28241374,28973466,29220457,30239175,30290815,31249436,31291467,32947964,34050164"
string,21,21,3,both,"23203871,23418190,24233784,24792157,25361972,25881313,26615188,28724991,28782718,28812536,29660498,29698482,30421398,30476243,30815000,33076816,33147626,33972211,34530444,34630517,34907160"
cnn,21,21,0,spacy,"26886976,28984180,29545529,29994246,30709336,31138159,31217113,31283476,31396271,31430292,31466261,32367111,32421642,32699072,32865404,33110087,33502982,33997191,34403452,34677393,34907213"
ctd,20,20,13,both,"22125387,22595086,22874182,23046495,23093600,23144783,23160415,23613709,25326323,25977785,26357317,27651457,28717830,29351546,29846728,30247620,31331263,32570388,32663284,33430995"
cambridge structural database,20,19,6,both,"21417267,23929679,24056361,24382699,24679186,25610627,25750664,26114926,26745458,27048717,27048719,28177306,28291758,28291759,29425456,30920565,31489338,32831251,33166143,33384860"
arrayexpress,20,20,3,both,"21619703,21864367,22064864,22110025,22629346,23193272,23734176,24304889,24675620,25050811,25332399,25361974,25852852,26481351,27392431,30357387,30413482,31757212,32140729,33104772"
pride,19,19,7,both,"21063943,21082439,22447219,22701464,22949509,23203882,23666733,25047258,25158685,27054188,27493588,27899654,27924013,28902400,29140531,29178193,32994485,33193699,33617236"
biogrid,19,19,5,both,"21718467,21751369,22151178,22165958,22737589,23203989,24358368,25591449,26243826,26729909,26729913,27170286,27896958,28077563,29698482,30689846,30942743,33070389,34907160"
international nucleotide sequence database collaboration,19,19,8,both,"22080546,22110025,22121212,22139910,23180790,23180798,24194602,26553804,26578571,27924010,29040613,29067736,29190397,30129000,30357349,31024904,32761142,33156332,33166387"
insdc,18,18,7,both,"22080546,22110025,22139910,23180790,23180798,23230445,24194602,26553804,26578571,27924010,29040613,29190397,29280348,30129000,30357349,31024904,33156332,33166387"
rgd,18,18,14,both,"21296746,21321022,22434847,22730454,23379628,23434633,23603846,23794737,23881287,25265995,25355511,27009807,27736745,29590633,30753478,31713623,32077245,34741192"
cosmic,18,18,3,both,"21609966,23603536,24667251,24990767,25211293,25355519,26229585,26777304,27001666,27091472,27899578,29092928,29145625,30894373,31617563,33193699,34259866,34625425"
human protein atlas,18,18,1,both,"21752111,22623277,22971420,23231990,23252913,23436708,23856366,23994227,25231543,26481351,27487407,28853897,28940711,28980472,31500569,31780840,32139519,33146890"
mgi,18,18,5,both,"21633941,22084198,22434834,22730454,23195312,24444128,25939429,26047590,26084703,26094768,26500249,27899677,27930808,28161522,28838066,29761459,32991828,33104772"
gencode,18,18,7,both,"22951037,22955982,22955987,22955988,23448259,26187010,26590259,26738065,27113186,27250503,28386015,29092928,29106417,31820804,33221922,33270111,33326074,34316704"
comparative toxicogenomics database,18,18,12,both,"22125387,22874182,23046495,23093600,23144783,23160415,23203877,23613709,24218542,24721284,25326323,27009807,27651457,29351546,29846728,30247620,31331263,32663284"
rat genome database,17,17,14,both,"21296746,21321022,22434847,23434633,23603846,23794737,23881287,25265995,25355511,25632109,27009807,27736745,29590633,30753478,31228151,31713623,34741192"
interaction database,17,16,1,both,"21848450,22115179,22135292,22238258,23203989,24137008,24803509,25313161,25776020,25885037,26656949,27055828,29156001,29657278,30371822,31639057,33794052"
sra,17,17,1,both,"23180790,24267917,26582915,27501190,27867804,28771471,29420797,29876460,30335154,30413482,31207407,31397305,31733057,33152092,33328476,33914028,34553213"
sequence read archive,17,17,0,spacy,"24267917,26582915,27867804,28111364,28736702,28771471,29526484,29876460,30413482,31397305,31744903,32071998,33328476,33914028,34048573,34484161,34489462"
genome,17,0,17,v2,"22080555,22084198,23155063,24071849,24270787,24591511,24609470,24626952,25691825,26375999,27530686,28049410,29288495,29625045,33689392,34588443,34911434"
ena,16,16,5,both,"22080548,22139910,23193287,23734176,25404130,26029378,26615190,27867804,28648396,29190397,29526484,29876460,30395270,32255760,33166387,34966925"
metacyc,16,16,4,both,"21523460,21633941,21824409,22233419,22639224,23192547,24218215,24225315,25378310,25538713,26094768,26527732,26973684,29059334,31586394,32460703"
iedb,16,16,11,both,"23172234,25140192,25300482,25685613,26551944,28352270,28365732,28456806,28634590,30515166,31761977,32108478,32615639,33201237,33592504,33777034"
gps,16,16,0,spacy,"21939059,22761703,23318308,24843257,26094424,26421926,26703809,27144310,28708080,29961270,30900164,31241153,31647030,32822610,33318981,34001237"
eqtl,16,16,0,spacy,"23345460,25048349,25174004,26615194,27470167,27480116,27506385,29184056,31001319,31849009,31960906,32098967,32149610,32385526,33235230,34911434"
scop,16,16,2,both,"21429187,21622657,21945336,22275069,23193223,23203869,24304899,25348407,26357331,27914894,29331638,30357403,30403770,30820573,30943284,32621218"
european nucleotide archive,15,15,5,both,"22064864,22080548,23193287,23734176,25404130,25414350,26615190,29190397,30395270,32071071,32255760,33166387,33196830,33328168,34966925"
csd,15,15,6,both,"21417267,23929679,24056361,24382699,26745458,27048719,27589215,28291758,28291759,30920565,31489338,31895936,32831251,33384860,33514754"
international mouse phenotyping consortium,15,15,5,both,"22415892,22422677,22940749,22991088,24194600,25992600,26092691,26314589,27262858,28650483,30100824,31121816,31127358,32005800,39132094"
hmdb,15,15,5,both,"23161693,25224438,25934797,26950159,27977166,28479067,29106626,29140435,29547800,29663269,31602464,31953818,32614575,34111608,34928054"
regulatory relationships,15,15,0,spacy,"21217125,23448274,26363021,26424082,26989154,27540173,28509974,28855263,29069510,29325629,30200613,30542062,31695717,32135007,32898258"
chebi,15,15,4,both,"22065232,22135291,22480202,23180789,25038553,25313161,25904997,26546514,27213033,28158609,28651575,29605928,33430995,33726837,34638170"
mirbase,14,14,5,both,"21269452,21558790,21822254,23448274,23865691,24639157,24759728,24835514,25157074,25398902,28049410,30846812,31608376,32997234"
peptideatlas,14,14,7,both,"22941959,23252913,23666733,24261998,25158685,26699206,27487407,27924013,28853897,28902400,28938075,33683131,33757883,34411258"
gpu,14,14,0,spacy,"21696144,24110280,24137668,26719890,26751378,27482905,27603022,29530617,29691798,30541430,30990851,31045205,31100074,33914788"
nextprot,14,14,8,both,"22139911,23205526,23252913,23308364,26194582,26615188,27487407,28168870,28853897,28980472,29695735,30191714,30576492,31581775"
intact,13,13,5,both,"21718467,21751369,22165958,23813641,24233784,25313161,25591449,25776020,26077899,27115627,27392431,29698482,30602777"
cdd,13,13,2,both,"21571812,21769189,22434827,22645317,23104888,23108912,23568469,24237261,24581802,24667251,24931138,25935546,34627149"
wormbase,13,13,7,both,"21595960,21633941,22326070,23203989,24194605,26094768,27259971,29761466,29761467,30942676,31744903,32185395,33884078"
flybase,13,13,8,both,"21595960,22127867,22326070,23203989,24653003,24715220,25398896,25707592,26935103,27226167,27730573,30364959,30689844"
mapreduce,13,13,1,both,"24021384,24913605,25202745,25858285,26839887,27552220,27905520,29854184,29861711,30004242,30417014,30542062,30999863"
interpro,13,13,1,both,"22533924,23203869,24225320,24237261,24778629,24885296,25900361,26481351,26526709,27552220,30191166,30398656,34895309"
wwpdb,13,13,3,both,"21976737,25352555,25425036,26317409,27789697,28142195,28291755,29067736,29533231,31396911,31691821,32006287,34908533"
human metabolome database,13,13,5,both,"22064855,22821596,23161693,24218206,24533037,26950159,27560453,29140435,29547800,29663269,31760947,31953818,34111608"
mimic,13,13,2,both,"21985007,26102525,26731286,26846781,27219127,27730581,29036464,29218875,29854102,30091705,31483265,33581323,34380547"
expression database,12,9,3,both,"24910945,25404128,25461382,25712262,25939429,27048349,28365740,29364988,30590250,32012179,32140729,33767193"
xenbase,12,12,10,both,"21956895,22956097,22956109,24139024,25313157,25380782,26022975,26391338,27039265,29059324,29761462,31733057"
tair,12,12,3,both,"21633941,22140109,23660284,24174544,24185698,24508333,26094768,26201819,26989150,27987164,31245752,34411258"
resource,12,0,12,v2,"23203869,26045019,26284514,26362267,27863903,28838066,29136216,31130983,31318422,32275651,32563332,33849055"
hpo,12,12,1,both,"23244533,26262161,26615194,26838676,29025394,30476213,31164903,31255713,31479590,31735951,33632281,34354088"
expression atlas,12,12,2,both,"24304889,25819073,26481351,26553803,29130193,30357387,30371822,31598718,31665515,31988262,33104772,33193550"
asd,12,12,1,both,"22139918,24297568,26151311,29145823,30167575,30339214,30815091,31303374,31454647,31665428,32823270,33261099"
i,12,0,12,v2,"21727053,21877292,22493526,22611057,23555552,24203340,25992600,31771223,31796752,33156332,34248822,34690515"
wikidata,12,12,4,both,"25944105,26989148,28365742,31287543,31557529,31723674,32180547,33211851,33237278,33482803,34156445,34209818"
online mendelian inheritance in man,12,12,2,both,"21633941,21880147,24150938,25055920,25277758,26094768,26838676,27829360,28654725,30841849,30883301,32917675"
s,12,0,12,v2,"21390321,23087698,24201028,25068035,26024842,26529777,27226753,28081116,32488061,32589507,32728249,35113396"
dna data bank of japan,12,11,6,both,"22110025,23180790,23193287,24194602,25414350,26578571,27924010,29040613,29190397,30357349,33166387,33196830"
sar,12,12,0,spacy,"22607449,23110536,23809058,24805060,28316655,28712298,31468964,32071998,32626544,32770043,33049043,34315912"
sam,12,12,0,spacy,"21699220,27861637,28949551,29879919,30097089,30241075,31744902,32248122,32704068,34136100,34489462,36119373"
data bank,11,0,11,v2,"22969036,23193259,25425036,26317409,27603019,29067736,32006287,32558264,32776019,34739839,34908533"
arabidopsis information resource,11,11,4,both,"21633941,22140109,22326070,22859749,23203989,24185698,26094768,26201819,26989150,31245752,33999024"
p,11,0,11,v2,"22126435,22315102,22678431,23362456,23651452,24103452,26385814,28839186,30799499,31409798,31871975"
atlas,11,7,9,both,"23553801,23932568,27404214,28160322,28940711,29461514,31665515,32421779,33737651,34042877,34608931"
cazy,11,11,3,both,"21622642,23514094,24130572,24270786,25614757,26284514,27318307,28403817,29359269,31300677,32424209"
ecocyc,11,11,8,both,"21668997,23143106,24363340,24974895,26442933,27899573,30406744,30698741,31319812,33763039,34394059"
immune epitope database,11,10,9,both,"23172234,25140192,25300482,26551944,28365732,28456806,28567560,28634590,29231143,30515166,33777034"
cog,11,11,0,spacy,"22080555,22096236,23813641,24581802,25889708,27673730,28053163,28386247,28732082,31923512,32694108"
smart,11,11,6,both,"22427539,23304371,24581802,24890864,25333954,26022565,27018265,27068335,31276535,33239338,34648133"
d,11,0,11,v2,"21781297,22640470,23415072,25348407,28448031,30643200,32081792,33175131,33680356,33793633,34405124"
c,11,0,11,v2,"23893318,25521507,26375206,28116331,29560792,31101011,31918660,32212654,32380177,33734353,34112812"
bioproject,11,11,2,both,"22080546,22110025,22737589,26504517,27501190,29036542,30395293,31667304,32028680,34217485,34489462"
cad,11,11,1,both,"21601679,26133479,26624015,26886976,27623536,28475309,29545529,30419069,31645559,32157503,32939378"
lovd,11,11,5,both,"21520336,21618345,21901790,22581690,23720012,23904198,26773573,31286593,31447425,34354088,34521998"
rfam,11,11,2,both,"21624887,22883983,23125362,23504016,24060102,24639157,31032840,31691821,32849767,33449976,34663179"
a,11,1,10,both,"25093068,25977801,26021595,27208273,27329782,27384127,27681175,28655750,30386322,31551601,32540816"
gramene,11,11,7,both,"20931385,24217918,26519403,26519404,26553803,27987178,29165610,30541929,31245718,33170273,33193550"
ipd,10,10,7,both,"21361877,22994154,23180793,25048120,25414341,26826444,29247682,29858800,31641782,31667505"
knime,10,10,3,both,"22607449,23088274,23110532,23497729,26855674,27498275,29736719,31368867,31483265,34312990"
lamp,10,10,0,spacy,"23584940,26980518,28142124,28317856,28573472,28877673,29542319,31902976,32488061,32844169"
mdr,10,10,1,both,"21781283,21811633,23104888,26615200,26818666,28306363,30147039,30147040,34001121,34550361"
regulondb,10,10,8,both,"23203884,24903516,26527724,26980514,29220462,29556520,30040192,30115066,30698741,34461312"
impc,10,10,4,both,"22940749,22991088,24194600,25992600,26314589,27262858,30100824,31121816,31127358,39132094"
patric,10,10,8,both,"21896772,23332401,25172288,25573919,26903996,27297683,28968762,29277864,30352937,31667520"
